,BTC,ETH,BCH,XRP,LTC,DASH,XEM,MIOTA,XMR,NEO,ETC,ZEC,EOS,XLM,BAT,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,-0.144298319333006,0,0.189216703025518,0.147349260823963,0.0574061177838459,0.106315824308171,0,0.0540057051800755,0,0,0.053430608506784,-0.0354759760903442,0,0,0,0,0,0
ETH,0,0,0,0.238783600762382,-0.00907368222625696,0,0,0.0198750781355441,0,0,0.401997722255766,0.177968596680833,0.0402048293883446,-0.120791343592551,0.223981485896325,0,-0.329421370993582,0,0,0.118380937946896
BCH,0,0,0,0.394074247581303,-0.453060596523661,-0.281838689457198,1.20899607485031,-0.636654282664461,0.154425995631722,-0.0169950828502354,0.447113916642041,0.87227894929988,0.0486813984587581,-1.16969061615605,0,0,0,0,0,-0.345779472797085
XRP,0,0.254977998459349,0.105719466508581,0,0,0,0.0408933511945286,-0.110286467043224,0.0902478796086946,0,0.204726077765896,-0.000000000000000000867361737988404,0.0348441610230494,0.264475856442475,0,0,0,0,0,-0.0445507612935728
LTC,0,0,0.000272677658792011,0.0533678885376283,0,-0.102190599562329,0,0.106842684955027,0.0925339937431761,0.0159006334186945,0.250722645725995,0,-0.00000000000000000693889390390723,0.0205455292564183,0.0132397467649857,0,0,0,0,0
DASH,0.235844397228337,0,0.0647266686289445,0,-0.136120972282406,0,0.145182484050918,0.124460056486166,0.106450233738081,0.053821090902929,0,0.338235958993465,0.0540868309170962,0,0,0,0,0,0,0.0499747188194125
XEM,0.207885081240953,0,0,0,0,0.0950828999398853,0,-0.0363777828514335,0,0.0412798865407395,0,0,0.14911688005588,0.191689624230183,0.210452787098689,0,0,0,0,0
MIOTA,0.295609806413902,0,-0.0828453155735262,0.247530486132575,0.109885228417176,0.101729360505054,0.286099352779275,0,0,0.0234992111003538,0,0.631398525595205,0,0,0,0,0.647827080488117,0,0,0
XMR,0,0,0.106068424035584,0.154779008643415,0,0.325739230154947,0.0223242677134929,0.0550038295234682,0,0.091612571264017,0,0.0601349652092815,0.0448410872243331,0.190359116482996,-0.0961998061214543,0,0,0,0,0
NEO,0,0,-0.0437239246261485,0,0,-0.104268393908488,0.366861658835298,0.127132119914434,0.0201914985982951,0,0,0.160953905117922,0.0546293280715546,0.0525354316644357,0.038925719967319,0,0,0,0,-0.0663760732563202
ETC,0,0.330079488532827,0,0.0847905938910583,0.303482719562782,0,0,0.0608565096406158,0.169757530501409,0,0,0,0.013650216949218,-0.167678495540645,0.0373378267877153,0,0,0,0,0
ZEC,-0.121538655511982,0.240927026351705,0.0283406245248905,0,0,0.119847466254238,-0.0772737151912244,0.189185408529521,0.0222890715389408,0.00766255633786004,0,0,0.0517050440763776,0.190138221909347,-0.0126238893204661,0,0,0,0,0.0929569279558983
EOS,0.31760976093127,0.171615907319843,0,0,-0.495378926844739,-0.318554253104588,0,0,0,0.0190384628030847,0.510002859226617,0.587762385565025,0,0.334127295164162,0,0,0,0,0,0
XLM,0,0.178140944596529,-0.0223747094387584,0.00710934804465587,0.0263426343196487,-0.258621111647744,0.217079667717689,0.0847993156958327,0.526027396534432,0,0,0.0828073322075031,0.0923681482478466,0,0.150256054503113,0,0,0,0,0.0231132034878193
BAT,0,0.162197368845609,-0.0674348421877828,0,0,0.117272408557993,0.239720616530948,0,0.00000000000000000173472347597681,0.141188509614655,0,0.161118175944827,-0.0338345293730464,0.318365181466256,0,0,0,0,0,-0.0943111996096924
BV010082.INDEX,-0.152686030410607,-0.00818575709884437,-0.0210260599600745,0,0.0211035021774004,0.0349421001762733,0.0293489059046398,-0.0119867921040548,0.0247669086787167,-0.0193881098756828,0,-0.000000000000000000867361737988404,0.0107503476138718,-0.0202088803825312,0.0383379752067449,0,-0.145760634323204,0,0,0.0149942488281778
CVIX.INDEX,0.00521865668692877,0,0,0.0547374884711385,0.0173724872380297,0,-0.0150285068556675,0.0394842907186438,0.0298703215656029,0.023173157013308,0,-0.101867249599935,0,0.00000000000000000173472347597681,0,0,0,0,0,0.0923914416126191
DXY.INDEX,0.0209221687340025,-0.0214293447357599,-0.00389169437337539,0.00289148402316151,0.0102558294447404,-0.0107536022592407,0,0.0136051049105412,0.00678702658437062,-0.0174893710171038,0.0150512975498716,-0.0129538047837386,0.00569217045127909,-0.00624469141292663,0.00655571787745891,0,-0.00696095365719205,0,0,-0.0101651653878821
SPX.INDEX,0,0,0.00195157820649474,0,0.00212349977375253,-0.0197654053713692,0,0.00570125506503193,-0.00241468448397937,0.0031261701018877,-0.00457742339135491,0,0.00273404220606202,0.00277837215336326,0.000646620004534388,0,0,0,0,-0.0537470741430166
VIX.INDEX,0,0.405066032713505,0,0,0,-0.101140863909781,0.158070748260131,0.105950160524166,0,-0.477221146805476,0,0,-0.206225319436854,0.117552612453644,0,0,2.38821154156591,0,0,0
