,BTC,ETH,XRP,BCH,LTC,ADA,EOS,XLM,MIOTA,NEO,XEM,XMR,DASH,TRX,ETC,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,0.192557409537773,0,0,0.00102098976094673,0,0.168330498879938,0.076889309105727,0.0129174612333478,0.0223824582424349,0.109556407065371,0.0735024657080051,0,0,0,0,0,0
ETH,0,0,0.187388511037322,0.33870416324505,0.132835555282864,0.0522705365243904,0,0,-0.0697733406034852,-0.0771368627975221,0.0387489795105487,0.0608797976800417,0.184277830278071,-0.00653814945705143,0,0,-0.106766513325829,0,0,0.0422733973427729
XRP,0,0.194522541995938,0,0,0,0,0.189815109541495,0,0,0.102604932232246,0.19546591212292,0.0699706298317824,0,0,0,0,0,0,0,-0.0846616947636689
BCH,0,0.465971131509346,0,0,0.197862814887032,0,0,0.285666168676831,0,0,0,0,0,0.10256819274579,0.0256919433393249,0,0,0,0,0
LTC,0,0.240504670062379,0,0.278671837149265,0,0,0,-4.33680868994202e-19,0.15909682757267,0,0.0811632519771746,0,0.13443494787367,0,0,0,0,0,0,0
ADA,0,0.540710118601117,0,-0.218950422049732,-0.00177265383161171,0,0.143507544988153,-1.73472347597681e-18,0.262405913104991,0.104617794252159,0.176433335311875,0.130772913384352,0,-0.0536888890872324,0.0492064987487463,0,0,0,0,-0.0218105633521099
EOS,0.20518758922937,0,0,0,0.254348153907495,0,0,-0.0636283000521317,0,0,0,0.159343219640114,0,0,0.179697797141941,0,0,0,0,-0.136139685639894
XLM,0,0,0,0.149300540330068,0,0.202825263430003,0,0,0.202708973257294,0.174507214755951,0.0932482416030119,0,0.0844008065699626,0.0485644436286906,0,0,0,0,0,0
MIOTA,0.1241747000801,0,0.0815017616483481,0,0,0,0.102655227558351,0.0258089740873219,0,0.345531301657514,0.117777406474889,0.0708454493480666,0,0.0741826745630404,0,0,0,0,0,0
NEO,0,0.324092271402921,-0.0121487634010485,-0.232145179997493,0.0250895923908078,0.0958000367401042,0,0,0.270956114284131,0,0,0.0783759672799719,0,0,0.293426076937857,0,-0.358250423884241,0,0,0.0955420894120897
XEM,0,0.458748861765689,-0.0927131723578722,-0.417155371281242,0,0.307564657355126,-0.0927563320149368,0.328474199315338,-0.0415259256694782,0.126325045401165,0,0,0,0.243641579731719,0.10577645438066,0,0,0,0,0.0204164893246619
XMR,0.875530172240544,0.0540848998726818,0,0,0.301088327335786,0,0,0.267792510878825,0.0736514553574281,0.08953280948749,-0.333020504511061,0,0.035917638405621,0.0731186212833955,-0.126778619908188,0,0,0,0,0
DASH,0.378296682008352,0.147790906812633,0,0,0,0.0910537853446544,0,0,0.112859672474693,0.0263435161433324,0.0444791789513922,0,0,0.0702764828988241,0.000208163422760008,0,0,0,0,0.0686521331593974
TRX,0,0,0,0.161708815167798,0,-0.487044581722215,0.0455388863971732,-0.226772608189322,0.281606706598372,0,0,0,0.855879526946891,0,0.219173110363584,0,0,0,0,-0.163497582231134
ETC,0,0,0.751978406763717,0,0,0.0226528273848166,0.079669188103149,0,0,0.101206248196813,0.139063988264485,-0.179670258839356,0,0.0512978387408751,0,0,0,0,0,-0.0198154112362089
BV010082.Index,0,-0.0142911320542321,0,0,0,0,0.002322324284235,0.104561084049018,0,0,-0.0727719700483236,-0.018123796228151,0.103821986366395,-0.00687395439436711,-0.0240681819620156,0,0,0,0,-0.0743619862509646
CVIX.Index,0,0,0.070218463752826,-0.137685023073955,0.0112661148557624,0.111745345418774,-0.117358603971404,0.0148943252428859,0,-0.0444358264235578,-0.239317834101218,-0.0624388589501634,0.25083725189217,0.0502282387841639,2.16840434497101e-19,0,0,0,0,0.0053711160381924
DXY.Curncy,0,0,0.0224187726348173,-0.00953382306815876,0,0.0169142910301063,-0.00440559200657042,-0.00133919770983391,0.00510844554536755,0,0,-0.0228581127828236,0,-0.00963410322784445,0,0.0336570836109787,0,0,0,0.00781530430233899
SPX.Index,-0.049904047106335,-0.0036974513264541,0,0,0.00814189027587133,0,0.0295449220847557,0,0,0,0,0,-0.017676408338956,-0.0282260789569123,0.02951110476816,0.0756406194507555,0,0,0,-0.0882599139502616
VIX.Index,-0.284457529678926,0,0,0,-0.353843499094358,0,0,0,-0.205529761919454,0.407716611801583,0.208670387700209,0,4.33680868994202e-19,0.193775920494757,0.0271670596457529,-1.09946662075339,0,0,-3.38394545589269,0
