,BTC,ETH,XRP,BCH,LTC,DASH,XEM,NEO,XMR,MIOTA,ETC,ADA,XLM,ZEC,EOS,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0.350750201231628,0,0,0.0773106694655578,0.070244020893416,0.0345214757319153,0,0,-0.155002190096082,0.0999502396104969,0,0,0,0.127459624869541,0,0,0,0,-0.125538138724756
ETH,0.331876174917806,0,0.124027215606463,-0.0185304437563534,0.0936458072598139,0,0,0.0178946492013526,0.115267022127527,0.193080283269507,0.0675238983084537,0.0441314497428752,0,0,0,0,0,0,0,0.056415870435588
XRP,-0.105093103180897,0.670514967773779,0,0,0.0289693614239062,-0.144284312469506,-0.242337549348356,-0.0717498561421412,0.187670229761258,0,1.38777878078145e-17,0,0.0910519491641005,0,0.145252791884214,0,0,0,0,-0.235725521461013
BCH,0,0,-0.0599542312808702,0,0,-0.423079770528676,0.132218355585771,0.107137441803882,0.270314011465529,0,0.461923000368601,-0.0758046440488869,0.0458940094481665,0,0,0,0,0,0,0
LTC,0,0,0.356768589761145,-0.108845104825629,0,0,0.193724957715539,0,0.0163691295900323,0,0.587494330250119,-0.0559149583583677,0,0,0,0,0,0,0,0
DASH,0,0,0.301843562573014,0.0967525368432113,-0.0538566653920376,0,0,0,0.15787063559119,0.312679227421534,0,0,0.0287072970844414,0.0125176820334798,0,0,0,0,0,0
XEM,0,0.616826356255957,-0.0752466043411126,0.218360596042194,0.0417367589595148,0,0,0.0346455619784224,0.133646735170915,0.0723726577237205,-3.46944695195361e-18,-0.0686899737028446,0.0332515460635909,0,0.0262269223716589,0,0,0,0,0
NEO,0,0.216693718008563,0.0948547467992653,0.543527097412269,0.10326221161021,0,0,0,0.0744258585810271,0,-0.13232602591732,0,0.191121884504153,-0.0303321747639245,0.174155424501588,0,0,0,0,-0.536169841536103
XMR,0,0,0.255982088400272,0,0,0,0.0983326949472433,0.121478574462722,0,0.0573254459042666,0.144043571879439,0.170443129748818,0.0693606687794988,0.182583177495852,0,0,0,0,0,0
MIOTA,0,0,0.0189267677339057,0,-0.175753791664987,0,0.160100264182895,-0.220106688708894,0,0,0,0,0.0992021229030341,0.455275090942848,0.438985220614731,0,0,0,0,0
ETC,0,0.103196990492191,0.156392092566427,0,0.681609089476791,0.0803636703384917,-0.0445933450681062,0.0174240005580431,0.0412207927175406,0.0646973768588279,0,0,0.0855516841953227,0,0,0,0,0,0,0
ADA,0.926200887530413,-0.568272069323794,0,0.240554888240833,0.211009638385018,0,0.218196186527375,0,-0.248912143293722,0.0206590996182833,-0.228226200959364,0,-0.154156677107367,0,0,0,1.94787141717133,0,0,0.0160600964221491
XLM,0,0,0.498072123057588,0.205777855330757,0,0,0,0.126159437261116,0,0.822909618963772,0.512895221354587,0.00879253190113209,0,0,-0.453399204514831,0,0,0,0,-0.819865314351388
ZEC,0,0.161703472678109,0,0.169491852534362,0,0.447713870109448,-6.93889390390723e-18,-0.114090211584359,0.101857088578293,0.12896759310285,0,0,0.0888945824649125,0,0.24166248691204,0,0,0,0,0.0590935541753296
EOS,0,0.635429625558604,3.46944695195361e-18,0,0.309386407496784,0,-0.374458639298423,0.228575916057122,0.0300631907639595,0.180476984000985,0,-0.0983239422108936,0.129302056153594,0.221121322074529,0,0,0,0,0,0
BV010082.Index,0,0,0,0,-0.0407165885867413,-0.0789646379175265,0,0.0332212810467321,-0.0444533985504473,0.0264238185599057,0.0370024548671708,-0.00475823382021313,0.00350349471156269,-0.00804376104256375,0.043485073199869,0,0,0,0,-0.0873331019930875
CVIX.Index,0,0.0504283520926969,-0.0125189049780689,0.0917864326683021,-0.00457783923530766,-0.163162367516232,0.138690671537651,-0.0106101544277173,0,0,-0.0918899823987442,0,0,0.00649475762875367,-0.0465575700851851,0,0,0,0,0.0333007188893065
DXY.Curncy,0,0,0,0,0.00258429043143842,-0.0300517862196281,0,0.0110837639271578,0.00315238004129461,0.00540547002586006,0,-0.0143579963995336,0.00190538904525745,0.00307276109595391,0,0,-0.0140592454262061,0,0,-0.00224144495786282
SPX.Index,0.00178914867732197,0,0.00264038141747162,0,0,0,0,0.00161925452238059,-0.00385299488110129,0,0,0,0.00151357771712692,-0.00871954837941578,0,0,0,0,0,-0.0321936193362187
VIX.Index,0,0.171729673578486,0,0.222962127763316,0,-0.271564819123289,0,-0.0508087471258452,0,0,-0.133535663770221,0.067329097100128,0.058051948104719,0.186079483364895,-0.208380695610022,0,0.852735285523509,0,0,0
