,BTC,ETH,XRP,BCH,EOS,LTC,XLM,ADA,MIOTA,TRX,NEO,XMR,DASH,ETC,XEM,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0.104970797990173,0,0,-2.16840434497101e-19,0,0,0,0.133129705639206,0.057634823598688,0,0.147057460530155,0.0802118305279064,0.0993639862351113,0.0461643454480531,0,-0.0681422849558687,0,0,0
ETH,0.0756833132548101,0,0.445882716564412,0.0586761615308353,0.0167679697505532,0,0,0.155121880526567,0.109489820599511,0.0246283452873992,0,0,0,0.129345174441612,0,0,0,0,0,0
XRP,0,0.176893390251086,0,0.159830333029726,0.0483244714253384,0.123074298228372,0.0950027749291903,0,0.0644689851241378,0.163313506966301,0,0,-0.134061488869269,0,0.0741055064725644,0,0.0117137079299747,0,0,0.0871421427016359
BCH,0,0.393417910461332,0,0,0.224869411981369,0,0,0.246624203039334,0,-0.09922817177616,0,0,0.149617230147826,0.0562789412810067,0,0,0,0,0,0
EOS,0,0,0,0.423233375823857,0,0.228800098009973,-0.585005472946855,0.20328707373344,-0.0527310846499593,0.276551988248602,0.474566387048618,0,0,0.0790468475170142,0.226398992349023,0,0,0,0,0
LTC,0,0,0.053277286835549,0.38084211479006,0.0192886752012884,0,0,0,0,0,0,0.00269413268203081,0,0.120551873916351,0.279059434368743,0,0,0,0,0
XLM,0,0.0409036997306807,0,0.300872001498695,0.0973169578650256,0,0,0.264327896955853,0.00973526115907971,0.0633537304782538,0.0365889736976122,0,0,-0.0188736291833905,0,0,0,0,0,0
ADA,0,0,0,0.0160546456877429,0.152621280655684,0,0.0626106994416073,0,0.0858545174359286,0.29185321827328,0,0.0853297403418282,0,0.0680036173138374,0.124073582462061,0,0,0,0,0
MIOTA,0,0,0,-0.300757604303622,0.115263092529231,0.088189984785426,0.508151667974152,0.547787299060249,0,-0.041812426218157,0.737198775843039,-0.0177767959870301,0,0.084571441821567,-0.566941044588878,-0.153678167750392,0,0,0,0.0242597674510047
TRX,0,0.314702276352409,0.332473625396278,0.0181424286899319,0.0955979648868696,0,0,0.0166030931227103,-0.128863929154609,0,0.121447773847138,0.321694691410076,0,0.105008098707365,0,0,0,0,0,0.00833823770902518
NEO,0,0,0,0,0.00555817104983643,0,0,0,0.393366993359463,0,0,0,0.0688788857912696,-0.135907148893872,0.431707324966778,0,0,0,0,0.0793162261666761
XMR,0.529106365554754,0.291148710386201,0,0,0,0,-0.0222189830447185,0,-0.0205798098287107,0.0909190962248942,0.214511640134587,0,0,0,0.258042880744673,0,-0.128618023623045,0,0,-0.0613609809720243
DASH,0.0874926896695814,0,0,0.190994039921588,0,0,0,0,0.00457607191863936,0,0.198719159260947,0,0,0,0.233000747362741,0,-0.0578297561177997,0,0,-0.0583483100687829
ETC,0.877925109049483,0,0,0.170955122861695,0,0,0,0,0.293874816361904,0,0.238870629915557,0,-0.419673093278719,0,0,-0.274046663487928,0.064913416911928,0,0,-0.0316889878390575
XEM,0,0.184496769785678,0,0,0,0,0.440289478669116,0.0981800777951609,-0.268728248068817,0,0.322869735701892,0,0.0890312505855504,0.111545998574495,0,0,0,0,0,0
BV010082.Index,0,0,0,0,-0.109894776820962,0,0,-0.138638188897861,0,0,0,0.166609718795885,0.0300792892983528,0,0,0,0,0,0,-0.224618046660062
CVIX.Index,0,0,0,0.0691174098979857,0,0,0,-0.0737040684189644,-0.146267058816141,0,0.198392604246709,0.174645896050062,-0.208757379961234,0.0808226379388329,0,0.0745841563308686,0,0,0,0.105432534223015
DXY.Curncy,0,0,0,-0.0160869647071851,0.0143265031782003,0,0.0448354035200958,-0.0680153998271432,-0.00878452524657613,0.0315046661948482,-0.00391476664674289,0.00872167490630933,-0.00749732530781918,0.027917700625258,-0.0234363749009685,0,0.0304990409296044,0,0,0.00869489357736249
SPX.Index,0,0,0,0.00359550866187583,0,0,0.0115212818884716,0.00416527053677036,-0.0283528694176948,0,0,0,0,0.0157373675442142,0,0,0,0,0,-0.0560038014029325
VIX.Index,0,0,0,0,-0.336674267080788,0,-0.0745690200988492,-0.116818507814309,-0.102737440659716,0.0264825546777721,0,0.0854850413451117,0,-0.25687638571156,0.683305595124654,-0.416179158655213,0,0,-1.88848106000974,0
