,BTC,ETH,XRP,LTC,EOS,BCH,XLM,BNB,TRX,ADA,BSV,XMR,MIOTA,DASH,MKR,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0.148869364401909,0,-0.000000000000000000867361737988404,0.0672074725254025,0.0830628932333641,0.0559226459183336,0.0439039912726963,0,0.049083929954202,0,0,0.0908620277402941,0.0153027978372028,0,0,0,0,0,0
ETH,0,0,0,0.254232570733047,0.113796458670936,0.307598010583465,0.10193338413163,0,0,0.143752359094905,0,0,0,0,0,0,0,0,0,0
XRP,0,0.0189143276950688,0,0.0710152474181555,0.0433434686787724,0.119719344149432,0.147956071680721,0,0.0492034430255981,0.114428096904432,0,0,0,0.0844791618700688,0.00986714463222783,0,0.162130810396593,0,0,0.00676889536395013
LTC,0,0.307342578652021,0,0,0.219048639849358,0.0292693122427448,0,0.0488280278948713,0.238045392643299,0.271524600645295,0,0.0193363225241354,0.221907211275417,-0.204204244486691,-0.208051370157196,0,0,0,0,0.087039532686384
EOS,0,0,-0.106386007780766,0.331320550557653,0,0.241996080724976,0,0.021659501297921,0,-0.0308162763232443,0,0,0.230766179076103,0.201900088213194,0.249054012263145,0,0,0,0,-0.0593735281271516
BCH,0.0924241873522049,0.10729739922223,0.345195676393275,0,0.286683111574211,0,0.132702880318055,0,0,0,0.176260817042128,0,0.103072280886192,0,-0.0998327529911909,0,0,0,0,0.0246315185940026
XLM,0,0,0.270959141675352,0.17695014807811,0,0.0871286742748253,0,0.0797255292526731,0,0.0562216251178028,0.0595319194053376,0,0.216488099790106,0,0,0,0,0,0,-0.0911303377535948
BNB,0,0,-0.326627492185582,0.156503637534703,0.00449502949075856,0,0.358708492223298,0,0.164921146833769,0.18959622782686,0,0.620362289656943,0,0,-0.00000000000000000346944695195361,0,-0.12654794816807,0,0,0
TRX,0,0,0.00316001609272377,-0.0461002597750825,0.075531529234279,0.283314862390083,0.136613782149034,0,0,-0.0689476752254927,0.11636292606982,0.136677497858438,0,0,0.0401849685049794,0.409860913028559,0,0,0,0.164587764963721
ADA,0,0,0.118353272181422,0.125381809727845,0.0663355861277179,0.289068790740079,-0.00000000000000000173472347597681,0.0500136478259914,0,0,0.0380908779488914,0.0764889998171234,0.216984152801575,0,0.0446536471098347,0,0,0,0,0.00207379279017732
BSV,0,0.106461956288557,0.593553377668457,0,0,0.197730977465734,0,0,0.0597715278782468,0,0,0,0,0.104419394729673,0.158318267357592,0,0.241698457104373,0,0,-0.0958409481716256
XMR,0,0,0,0,0,0.159214034412016,0.224213718505439,0,0.067744238508581,0,0.178705069020207,0,0,0.0271057463990651,0.123204030958606,-0.0430971762462501,0.0757360323330801,0,0,-0.0454992013172754
MIOTA,0,0.202360431505951,0,0.00819214323202312,0,0.0084411854972244,0.0178889424846076,0,0.0646905971302756,0.422895368855615,0.0573994180016693,0,0,0,0,0,0,0,0,-0.0502312516142454
DASH,0,0.134399609006571,0,0,0,-0.0000000000000000277555756156289,0.20992439663362,0.10916703452219,0,0.194094152917446,0,0.157663565861201,0,0,0.0466027441443426,0,0,0,0,0
MKR,0,0.0965767574439216,-0.439904200911287,0,0.153427709994656,0,0,-0.0538738560929724,-0.157698988857832,-0.0721581382746495,0.620898558812626,0.376427062058037,0,0,0,0.127422092704576,0,0,0,-0.107613822930439
BV010082.INDEX,-0.488815554076143,0.251129131617591,0.0962011434628181,-0.0613237297809623,0,-0.129839590813829,0.105136387178733,-0.0156484277093612,0.0672711906374808,0.155179463768881,-0.0407176074263985,0,-0.220018241738699,0.139608617615843,0.02841453709304,0,-0.455807790691145,0,0,0.0877780347306938
CVIX.INDEX,0,0.279647703829199,0.396927047800205,0,0.143739321911577,-0.365023941348812,0.0732141932515849,0,0.062121740821658,-0.23994392194489,-0.0898785423261634,0,-0.251872876181375,-0.0701252329300521,-0.00913048716346289,0,0,0,0,-0.0947191748065987
DXY.INDEX,0,0,0.0309788864782838,0,0,0,0,0.0094496907400935,-0.0603990723597457,-0.0000555813577187433,0.0118874182830736,0.0214844557035689,-0.0137708757756381,0.0183748429335706,0.000495497663099759,0.0806658919590192,0.0212491650630853,0,0,0.0264085628447327
SPX.INDEX,-0.0956419243767647,0,0,0.000000000000000000216840434497101,0.0208297033514182,-0.000000000000000000867361737988404,0,0.000499255732137397,0,-0.0242884593541852,0.0453928949889306,0.0278896255020001,0,-0.0263093208869419,0.00516325034053662,0.00471538472801172,-0.0381956355952798,0,0,-0.0738776565342025
VIX.INDEX,0,0,0.410926150155881,-0.0355754076580219,-0.0379841809649574,0.100811854461427,0,0,0,0,0,0,0,-0.111456436497477,-0.161844698414102,-0.450781086814229,0,0,-3.47897521488525,0
