,BTC,ETH,XRP,BCH,LTC,DASH,XEM,NEO,MIOTA,XMR,ETC,ZEC,ADA,XLM,EOS,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0.0430779122386476,0.0253899242859658,0.162520525461731,0.048867905646531,0.0220146122274114,0.0676458832341501,0.180240385408069,0,0,0,0,0.0460161506421957,0.0695610961565566,0,0,0,0,0
ETH,0,0,0,0.0110965109422256,0.0812581150211091,0,0.144815194314212,0.0110548273253797,0.141746179442447,0.0716042339325144,0.0727856394776552,0.0499625907253879,0,0.140444036955154,0.0115609750569589,0,0,0,0,0.0885660777608797
XRP,-0.250841140200854,0,0,0.128399797433771,0.120115851374449,-0.0526108183745183,0,0.120990275800202,0,0.17380109849127,0,0,-0.0112626437437471,0.149319890692593,0,0,0,0,0,0
BCH,0.694509875793297,-0.578513269956257,0.160702511119085,0,0.121270147553274,0,0.358628540867825,-0.0598753099659771,0.139057445246357,-0.138994295059195,0,0.293116134186641,-0.24637735185778,0,0,0,0,0,0,-0.208870417173046
LTC,0,0.19001794219651,0.0499966793561857,0.0365791585983852,0,-0.0854680928145218,-0.0749555886014137,0.0148452132284306,0.109477792497699,0,0.7456160100707,0,0,0.0342719171514323,-0.0894571925272528,0,0,0,0,0
DASH,0,0,0,0.190819034267947,-0.112256316026468,0,0.0844667835463458,0.0444643191486837,0.26774878157275,0.160729493345163,0,0.139764446144884,0,0,0,0,0,0,0,-0.0256080640719009
XEM,-0.147113297939536,0.870779562620143,-0.0218022077192411,0.0174635320676827,0.0992792681649141,0.323278514307337,0,0.10140599187426,-0.0576224704521596,-0.165691773417764,0,0.0551980147730587,0,0.0259089112773157,0,0,-0.121733668719424,0,0,0.102463847441795
NEO,0,0,0,0.0247998344504919,0,0.0545512269377056,0.131797876599956,0,0.206464623410245,0,0,0,0,0.471903747507428,0.135831471865279,0,0,0,0,-0.329297348230537
MIOTA,0,0,0,-0.0720631151446292,0,0,0.0246701713035113,-0.183956931523685,0,0.0627521148274041,0,0.438109292564238,0,0.0756881028665333,0.410298997604896,0,0,0,0,0
XMR,0,0,0.336716114981924,0.0878706004962273,0.0483397465538754,0,0.08908921299615,0.0636336795353591,0,0,0.0870825820905872,0.163397108524676,0,0.0592722384202337,0,0,0,0,0,-0.033799692871776
ETC,0.0470378963354027,-0.00000000000000000693889390390723,0.123514854246284,-0.0129445540009393,0.706797991517029,0.0911745573681598,0,0.0450399653007511,0.0660660376338269,0.0514091002440728,0,0,0,0.126042046454726,-0.129342216612209,0,0,0,0,0
ZEC,0,0,0,0,0.0614336475235154,0.223852184245163,0.382747581389835,-0.045132596112593,0.196115412114188,0.0298127292633286,0,0,0,0.113541362935601,0,0,0,0,0,0.087319383355303
ADA,0,0,0,0.0378087664118197,0,0,0.188959700397627,0.00000000000000000173472347597681,0.151359445904994,0,0,0,0,-0.410395985864095,0,0,0,0,0,0
XLM,0,0,0,-0.255077930021031,0.00000000000000000693889390390723,-0.332755174057051,0.471686259581811,0.00185657731369397,0.0510589636926408,0.3735724933072,0.112545790366487,0.395568684174735,0,0,0,0,0,0,0,0.0213697620801224
EOS,0,0,0,0.0678088368688012,0.369512911724218,0,0,0.223740683379396,0.26948986432054,0.225355583758004,0.0250265538591176,0.0617715866576418,0,0.114765802660486,0,0,0,0,0,0
BV010082.INDEX,0.0199698000856057,0.00000000000000000346944695195361,0,-0.00588000759648429,0.00844801377608408,-0.0926947063467376,0,-0.00448793307384665,0,0,0,0.0288613018230387,0,0.0239651063963148,0.0379979489149796,0,0,0,0,-0.0909658990308891
CVIX.INDEX,0.0197495316312721,0,-0.0117464245724143,0,0,-0.100434771139847,0.120721874621252,0,0.0423555777054561,0.0461586015419031,0,0,-0.0373156615112953,0,-0.0974299551929708,0,0,0,0,0.0895199299882421
DXY.INDEX,-0.00498738260267029,-0.00786772438392876,0,0.00297748051817052,0,-0.0280417469243585,-0.00000000000000000010842021724855,0.00553605356766296,0.00686225545108473,0.00535372765821079,0,0.00445972310174341,0,0.000000000000000000216840434497101,0.0131792698126755,0.0428701306614398,0,0,0,-0.00309376468763984
SPX.INDEX,0.0123678441682028,0,0.000276846535836324,-0.00886163303984595,0,-0.00145101282627921,0,0,0.00177662774106484,-0.000807395680008352,0.0000000000000000000271050543121376,-0.0150596267647947,0,0.00390962161713635,0.00146083697925851,0,0,0,0,-0.0356820997777132
VIX.INDEX,0,0.0500345810421924,0.05601500426871,-0.126182832404899,0,-0.342414691565277,0.300380247922309,-0.00841049651043849,0,-0.0524087161862145,0,0.143610042651079,0,0,-0.0973685665657416,0,1.08887497781616,0,-10.560740771671,0
