,BTC,ETH,XRP,BCH,EOS,LTC,BNB,XLM,ADA,TRX,XMR,DASH,BSV,XTZ,MIOTA,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0.208162103756719,0.0583145520069708,0.0876770749924313,0.0517610534954081,0,0.00607677491989448,0.0388065039359349,0,0,0,0.0248043586024241,0.0389870518153899,0.011066699561392,0.0413241312763412,0,0,0,0,0
ETH,0,0,0.384716835702145,0.0034139010821185,0.241395512606266,0.0916267574016345,8.67361737988404e-19,0.00376551780621811,0,0,0.0890569610548798,0,0,0,0.132015627790692,0,0,0,0,0
XRP,0,0.19631439532285,0,0.00729742396050672,0.0814196173652611,0,0.0318745488592979,0.104777221993032,0.0105860762044054,0.0825237392186248,0.0920990023963894,0,0.0297537343673094,0.0547372604511013,0,0,0,0,0,-0.0272194599963083
BCH,0.344728724726059,0.0232473740727619,0,0,0.0830051134130873,0.316211590356709,-0.0726321491678094,0.0480593980010721,0.275433542231273,0,0,0,0.0827800688822818,0.00673219530408806,0,0,0,0,0,0
EOS,0,0.642991005225322,0,0.133068349156046,0,0.332297646140805,0,0,0,0,0,0,-0.148755925788076,0,0.169210824310707,0,0.0561344106661186,0,0,0
LTC,0,0,0,0.210989228721025,0.241615344794875,0,0.122186902647355,0,0.140823291286254,0,0,0,0.172157403533837,0.0454894988502964,0,0,0.0374238360330837,0,0,0.0176950939292291
BNB,0,0,0,-0.0667042817520311,3.46944695195361e-18,0.178704056426407,0,0.0457885488984871,0,-0.398512456824161,0.635028156293164,0,0,0.0495989118440969,0,0.152928447093389,0,0,0,-0.262976110170775
XLM,0,0.173196996937628,0,0.0604764945763894,0,0,0,0,0,0.0266613099963995,0.163675716618488,0.242123943436402,0.167120744201864,-0.0488266980559599,0,0,0,0,0,-0.0490693650875841
ADA,0,0,0.290845726857947,0.250130715921489,0,0.265498314373134,0,0.0831334540067104,0,0.0741567661929755,-0.1095152379459,-3.26093157399648e-06,0,0,0.117613090619761,0,0,0,0,0
TRX,0,0,0,0,0.119432240312577,0.0890640762644036,0.0390686684222644,0.26474707961919,0,0,0.240311824687711,0.0601481001625846,0.0811336704300439,0.102090579280797,0,0,0,0,0,0.118152725664539
XMR,0,0.236224576073601,0,-0.00807116774704527,0,-0.0907058727205487,0.144867856127225,0.188539204991953,0.0313431884107238,0.187229816685132,0,0.163406156339341,0,0.0201646770731604,0.0626610400450252,0,0,0,0,0
DASH,0,0.479471710992805,0,0,-0.0442732792315272,0,0.078864284847375,0.13687262859474,-0.0273946214243088,0,0,0,0,0,0,0,0.0929726794031905,0,0,-0.000965513149182355
BSV,0,0.353257333346953,0.183004150005986,-0.581185935453416,-0.486277503863223,1.63591714661215,-0.748783814339625,0,0.0432082096133658,0,-0.409741233301078,0.673182190100677,0,0,0,0,0.170062837171202,0,0,0
XTZ,0,0,1.0672970897255,-0.232395427402481,0.439269776968128,0,-0.147374646356636,0,0.181138695874291,6.93889390390723e-18,-0.457145501624952,-0.252904134589664,-0.134087564896626,0,0,0,-0.808775329061407,0,0,0
MIOTA,0,0.386745170554328,0.235915716845145,0,0,-0.0853217937414842,0.0610976294554791,0.0476600103040905,0.152042430896982,0,0,0,0.0155749432847102,0,0,0,-0.0659905752914244,0,0,0
BV010082.Index,0,0,0,0.0466152391725916,0,0.183789493895527,0.0255962599620931,0,-0.323673655281283,0,0.183683584817713,0,0,-0.0852898758227568,0,0,-0.214911725252253,0,0,0
CVIX.Index,0,0,0.134876443464617,-0.0151942063789973,-0.0303589256349511,0.105379749900363,0,0,0,0,0,0.0716257828601089,-0.114529559307699,-0.274168907877002,0,-0.586171007579999,0,0,0,-0.112813579293359
DXY.Curncy,0,0.0134213643166779,0.0120893081584121,0.0127043069230545,0,-0.0182226162797645,0,0.0123725322397969,-0.000335608809506433,0,0.00688436629909445,0.0205261519665043,0.00871591970884831,0.00328306134447745,-0.0830496810350616,0,0.0257244407754864,0,0,0.0124326952538468
SPX.Index,0,0,0.0300998775225898,0.0270153059288366,0,0,0.00713514045338227,0,-0.0343228268702743,0.00209702176138471,0.050046582427216,-0.0145015969049402,0,0.00237871223640722,-0.0314331447171478,0,0.00348480923995838,-0.0278297571451724,0,-0.0771230412870014
VIX.Index,0,0,0,0,-0.459723082610146,0,0.0701851618853568,0,0,0.316897328554875,0.383967608004237,-0.106758215540914,-2.77555756156289e-17,0.119541686953124,0.0128812860278877,-0.373328146114678,0,0,-5.07171123643222,0
