,BTC,ETH,XRP,BCH,EOS,LTC,BNB,BSV,XLM,ADA,TRX,XMR,DASH,MIOTA,ATOM,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0.166242091038739,0.0231946090093704,0.104924987070306,0,0.00651671732215549,0,-0.027993273987283,0,0.334884556734752,0.0386940452648513,0,-0.0749967146392192,0,0.0759776543447234,0,0,0.0628253543692961
ETH,0.290725971319036,0,0.315215786972924,0.039464693472034,0,0,0.0232994479765381,0.0254715330869936,-0.00000000000000000693889390390723,0.0546620844768952,0,0.142873255234115,0,0,0,0,-0.12552218677368,0,0,0.0127948974759629
XRP,0.120834043436288,0,0,0,0.0501796112928459,0.137305540707099,0.0253652917901632,0.015738815963935,0.0464876344522182,0,0.224449917206503,0.172123054316577,0,0.18347100491881,0.0304510038988507,0,0,0,0,0.0231453262955091
BCH,0.616084667467412,0,0,0,0.0935245913379725,0.307779838506759,0,0.0411637251486739,-0.0749847541905766,0.250962135665414,0,0,0,-0.11852215364095,0.029785714224262,0.24036276695183,-0.132127470822741,0,0,0.0138461868499991
EOS,0.322673882894827,0.29007933510119,0.00276660485263049,0.199723469121142,0,0.0636814491398735,0,0.00357418769671779,0.333812404781622,0,0.0166766654013118,-0.150628160913852,-0.012618053349241,0,0,0,0,0,0,0.120129374534923
LTC,0.192011297850452,0,0,0.114234452740108,0.256937226836085,0,0,0.0456387430140301,0,0.231749918533524,0,0.131733028144067,0,0,0,0,0,0,0,0
BNB,-0.398966501714297,-0.11518307777618,0,0,-0.115975598090554,-0.0260512452256091,0,0.11231726919514,0,0.184314037589918,-0.0708933095727117,0.434145907085772,0.358816657826502,0,0.00782025184495517,0,-0.129660138593266,0,0,0
BSV,0.544805218982868,0,-0.122473159340144,-0.631257477061467,-0.00000000000000000346944695195361,0.338871877044668,0,0,0,0,0,0,0.819067559765764,0.19169452269339,0.0375028966199071,0,-0.232413904932617,0,0,0
XLM,-0.0204158682428781,0.134457941594601,0.491862394125743,0.116023260499215,0.0494013132658662,0,-0.0913750683236261,0.0142199484309276,0,0,0,0,0.128571626964263,0,0.0633919651271358,0,0,0,0,0
ADA,0,0.0587358144699078,0.279670035367315,0.184122454096795,0,0.25302530405007,0,0.0106922624087063,0.11531118489567,0,0.00000000000000000173472347597681,0.00000000000000000173472347597681,0,0.0258135775654048,0.0243802428175907,0,0,0,0,-0.00654895299706493
TRX,0,0,0.306621781652544,0,0.243399404935304,0.00000000000000000346944695195361,0.00339593909934725,-0.0153550801593766,0,0,0,0.245914781758504,0.0774243956392725,0.0896418321837649,0,0,0,0,0,0.084321562418393
XMR,0.199147694435291,0.148840983047405,0.0892833379665103,0,0,0,0.166482460210015,0.0389412037594709,0,0,0.359230088616474,0,0.224164745517625,0.0699393339563288,0.006212655401318,0,-0.198533294002174,0,0,-0.0823704335098503
DASH,0,0.155909967842544,0,0.126212976417828,0,0,0,0,0.215780399167847,0,0,0.0129540101121735,0,0.1947661752951,0.0171855652036334,0,0.0633090760530524,0,0,0.00602598330833686
MIOTA,0.135123583312534,-0.107048668565111,0,0.000000000000000000867361737988404,0,-0.101415669346662,0.234774416385792,0.0622773597156585,0.000581781987667257,0.132842566446709,0.0241673241419069,0.550632195619387,0,0,-0.0381825079727746,0,0,0,0,-0.0413620040016003
ATOM,-1.14758838698704,0,0,0.354331447595233,0,0.379054921354267,0,0.262726343861551,1.044289899815,-1.37147016791245,0.0540812175787892,1.44505939916504,0.279160671620988,-0.564216461647494,0,0,1.9503751751446,0,0,0
BV010082.INDEX,0.0408087283453566,0,0.0550069417122808,0,0,-0.184093326993735,0.0691393901091949,0.0212485409856193,-0.151181089946079,0,0.234550502846193,0,0,0,0,0,0,0,0,-0.164655881205833
CVIX.INDEX,0.406652964355423,0,-0.392636522261239,-0.546208730603299,-0.166509202950102,0.758479127614624,-0.529511963385519,0.0450244945488996,0.252462910167152,-0.200591721651824,0,-0.939629965490724,1.11638684985889,-0.115845046696564,0,-0.0841156208118701,0,0,0,0.216746734542333
DXY.INDEX,0,0.0233917102714107,0.00176322482225829,0,0.0183609819505448,-0.0079263907284974,-0.000638169423020076,0.00159714899933294,0,0,0,-0.0124829175591361,-0.0286229727940531,0.00764690457704002,0.0066553500052081,0,-0.00392565233859501,0,0,-0.0000000000000000000542101086242752
SPX.INDEX,-0.00366675538303204,0,-0.0273610360959154,0.0000000000000000000135525271560688,0,0,-0.00682442258394754,-0.00393028633115234,-0.00493842768881812,-0.0137232625414807,0.0332824417841687,-0.00817695214569199,0.00860405944008799,0,-0.0142926312865538,0,-0.0000000000000000000271050543121376,0,0,-0.0659575886679203
VIX.INDEX,0,-0.307241665105067,0,0,0,0,0,0,-0.332189790199831,0,1.336967632249,-1.42561455882271,0.609933230519607,0,0.0814895039716203,-0.747967579327976,0.0193314100921092,0,-1.39170741437221,0
