,BTC,ETH,XRP,EOS,BCH,LTC,BNB,XLM,ADA,TRX,XMR,DASH,BSV,MIOTA,XTZ,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0.178453750590275,0,0.0303516319369999,0.0512747351063612,0,0.0375980841435689,0,0.0395719151147963,0,0.137440081456775,0,0.0138409217491855,0.0904678495844145,0.00973605361409155,0,0,0,0,0
ETH,0.626924115608199,0,0.206563201341429,0.0381645338320798,0,0,0.0526428558886132,0.0468838089770232,0,0.0931343921035943,0.00389427214245651,0.0581227858904602,8.67361737988404e-19,0,0.0331304233875811,0,-0.0754103900779646,0,0,0
XRP,0.289245118380452,0.186728497123822,0,0.0623455292749272,-0.0022096929704324,0,0.00833457899634924,0.119249431612832,0,0.0210343405154007,0.129406510855609,0,0.0235174770935306,0.0558150334192656,0.0572431832168217,0.035917445906952,0,0,0,0
EOS,0,0.299609909957611,0,0,0,0.489477470642553,0,0.103140088539979,0.101614113379905,0,0.20150776670189,0,-0.0841480655475083,0.0954064379701506,0.069504390760229,0,0.107786926569196,0,0,0
BCH,0.542756336158153,-0.0772659315033337,-0.0940590604983417,3.46944695195361e-18,0,0.342636251029685,0,0.152274765073919,0.329500648984266,0.0960866312192891,-0.00511963989392229,0,0,-0.136378900285325,0.017911952833589,0,-0.070061710329564,0,0,0
LTC,0,0,0,0.201442467091066,0.215802433112583,0,0.160873764594863,0,0.129794062595535,-0.0233123362372604,0.114159768025913,0,0.146001960496574,-0.0308930373312196,0.0987325881102524,0,0.0600306853638365,0,0,0
BNB,0,-0.471386766115205,0.283899840098574,0,-0.314970475981143,0.38282333929712,0,0,-0.00801165469370088,-0.0456064802171356,0.300904507863846,0.190145767961789,0.390505963212075,-0.227467261893416,0.039594696125563,0.271604689083849,0.173809000677441,0,0,-0.276693367092483
XLM,-0.103906713381456,0,0.698596961791314,0.0326366564215435,0.0689766824317506,0,0,0,0,0,-0.157899386694095,0.42772464132966,0,0.142995451281946,-0.00468993114637967,0,0.0132932804928238,0,0,-0.0481355325743529
ADA,0,0,0.208549689311853,0,0.206757902958768,0.321349237189041,0.0281980939262197,0.0984685669935387,0,0.0781733258679202,0,0,0,0,-0.0231165126478623,0,0,0,0,0
TRX,0,0.069182439758914,0,0.0597387721327825,0,0.0778156224838948,-0.0201126874681887,0.148832943238723,0,0,0.232889637591249,0.253856366472498,0.0545810893260685,0.114744754193739,0.0581802510202797,0,0,0,0,0.214755849509616
XMR,0.277650261499325,0.358197855300811,0,0,-0.107274007825589,0,0.0685418779424205,0.271762779115943,0.0917061696046291,0,0,0.040123264148343,0.0430764237486833,0.204120638918875,0.00684915638625706,0,-0.206169330313132,0,0,0
DASH,0,0.33920564260993,0.00241940403835318,0,0,0.149559294260354,0.100169347583286,0.190783269007652,0.0184271919222325,0,0,0,0,0,0,0,0.0703443367783172,0,0,-0.0494447167719328
BSV,0,0.319151041331798,0,0,-0.612024096539937,1.48885920773038,-0.555446540016867,0,0.152495332470757,0.0668284272920284,-0.470143110331035,0.45860662676651,0,-0.0288989411755189,0,0,0,0,0,-0.0413731335397611
MIOTA,0,0.210275882693841,0.10259696713306,0,0,0,0.0541891797641857,0,0.0780194942694638,0.0692491072281054,0.150152127161691,0,0.0203205758648546,0,0,0,0,0,0,0
XTZ,0,0.277478689761449,0.808347547748763,0.278314505842625,-0.244229426938085,0,-0.113700854204952,1.0479037253614,-2.77555756156289e-17,-0.317526671993559,-0.632200903362266,0,0,0,0,0,-0.381243156718444,0,0,0
BV010082.Index,0,0,0,0,0.0175171938083505,0.211335770341291,0.029069824616261,0,-0.279173007157697,0.212477453779862,7.1704894982913e-05,0,0,0,-0.0714594516174933,0,-0.127470991543325,0,0,-0.0880031526283179
CVIX.Index,0.208040006056417,0,0.303962508625456,0,-0.356852279394388,0.480036494352506,-0.136731769784505,0.578676390500889,0,-0.0223059715289774,-0.66819895216216,0.203983054529599,-0.288741367063222,0,-0.358557846286044,-0.496341932929518,0,0,0,0
DXY.Curncy,0,0,0.0104009373582989,-0.014523518542573,0.0120724783693709,0,0,0,-0.00193187894908775,0,0.0124388119307385,0.0228960196208428,0.00878450987690605,-0.0695370148653131,0.00239329001926056,0,0.00623928131865963,0,0,-2.16840434497101e-19
SPX.Index,0,0,0,0.0269042082092304,0.0127870513001999,0,0,-0.00998999854281459,-0.039131794859344,0,0.0307548318242203,-0.00631079982428554,0,0,0.00196731525612023,0,0,0,0,-0.0730898603930194
VIX.Index,0,0,0,-0.443502803783966,0.123195503189778,0,6.93889390390723e-18,-0.139269873106737,0.00918161468374755,0.365725478416802,0.0461000513594675,-0.0925236735532285,0.174806899133126,0,0.0247028464731126,-0.618051909036052,0.0569843867010418,0,-4.20288505651651,0
