,BTC,ETH,XRP,BCH,LTC,ADA,XLM,NEO,EOS,MIOTA,DASH,XEM,XMR,ETC,TRX,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0,0.284401269459283,0,0,0.0569573253226875,0.00344052045245089,0,0,0,0.0528546898029886,0.145529840269629,0,0,0,0,0,0
ETH,0,0,0.00847167249536867,-0.00000000000000000346944695195361,0.234517738548382,0.0211151811409623,0.09461281538918,0.14742423530871,0.117104081793438,0.00000000000000000346944695195361,0.0121832902185799,0.0427566653780907,0,0.163558521156594,0,0,0,0,0,0
XRP,0,-0.211326810496538,0,0,0.403705001075994,-0.0863401010276591,0.295261224989539,-0.0458063218331442,0.12182736134985,0,0,0.201213819906339,0,0.16085472943761,0.079036657628922,0,0,0,0,0
BCH,0,0,-0.0699029519883711,0,0.0606401861386392,0,0.0282343892882247,0.197653281464407,0.130436891191086,0,0.328609235584058,0.00685026522278556,0.167545115885444,0.09570050109392,0,0,0,0,0,0
LTC,0.210157829311509,0,0.0141986786076903,0,0,0,-0.00000000000000000173472347597681,0,0,0.197752999654549,0,0,0,0.121844396666329,0.0269907096374012,0,0,0,0,0
ADA,0.0926398000276914,0,0.0395842789740787,-0.0496974876231974,0,0,0.0735818660605223,0.041368945061719,0,0.402971395725832,0,0.140587835089232,0.0923492131047825,0,0,0,0,0,0,0
XLM,0,0,0.195872113534012,0.0506915964911899,0,0.511605001796187,0,0.207705374812591,0,0,0,0.145426568512294,0.0467765863939631,0,-0.179858203063653,0,0,0,0,0
NEO,0.0422142674995341,0.557233839694495,0.0033435818811336,0,0.177998052957397,0,0.138651826436313,0,-0.0756626129725989,-0.148790011139496,0.19392769124292,0,0.0616886813880098,0.261351556722703,-0.0236563042535935,0,0,0,0,-0.0905788893118463
EOS,0,0,0.0424678816160167,0.242373226229036,0.19644876984202,0,0.146065210986725,-0.0876784641274014,0,0.152576867877633,0,0,0,0.126610216336501,0.184145645185362,0,0,0,0,-0.025182074945563
MIOTA,0,0,0.177521356847545,0.071968204036691,0.287626242369682,-0.0745843532033896,0,0,0.328561663863958,0,0,0.0640588317409786,0,0.398852735579637,0,0,0,0,0,0
DASH,0,0.0197565267811483,0.0386164594745229,0,0.232793557643074,0,-0.00000000000000000346944695195361,0,0.0921161235728381,0.186060019356281,0,-0.0584566916460159,0.204277849148523,0.0857740093644703,0.0427633480659372,0,0,0,0,0.0423087508863569
XEM,0,0,0.252570177832644,0.0485164700751507,0,0,0.0978201737350758,0,0,0.405984958809977,0,0,0,0,0.0194692669972272,0,0,0,0,0
XMR,0.113686823328595,0,0.000000000000000000867361737988404,0.202571893898316,0,0,0.110707909333598,0,0,0,0.12677816976623,0,0,0.146214580758114,0.0486828589357859,0,0,0,0,0
ETC,0.120233396469377,0.0538753839425615,0.155311008954747,0.0738314335943374,0,0,0,0.133314521847134,0,0.353423699157661,0.0503437017832811,0,0,0,0.0749713687106035,0,0,0,0,0.117014189678345
TRX,1.0326997265118,0,0.109545469557127,0.310020509412686,-0.892782303744002,0.197495577088421,0,-0.441414167192156,0,0.462277618993406,0.137694257164545,-0.73773972907835,0,0.541768405184374,0,0,0,0,0,0
BV010082.INDEX,-0.00907386559000463,-0.00782840797138852,0,0,0.0404899970743088,-0.00470678648089831,-0.0516962420667675,0,0,0.0289555762971168,0,-0.00634779328617465,0,0.0126342709045213,-0.00605979671836043,0,0,0,0,-0.0378284619274515
CVIX.INDEX,0.0130074691751393,0,0.0405334410047163,0,0,0.0544587404404557,-0.029498952110108,0.00433820375484528,0,0,-0.0291871198065448,0.0359737702219906,-0.0689083647124227,0,-0.0210735869961288,-0.197867948161228,0,0,0,0.0106000022319137
DXY.INDEX,-0.0068873986963476,0.010180218953465,0.00384987307398654,0.00602516630347987,0,0.00000000000000000010842021724855,-0.00809979973437502,0,-0.016553209507803,0,-0.00203580694401563,0.0144626800902503,0,0,-0.00736263514788258,-0.0770740707278605,-0.0877220341753089,0,0,0
SPX.INDEX,0,0,0.00962006374536656,0.0118950842098973,0,-0.0181466407257389,0,0.0351809197633442,0.00979248611406701,0,0,0.0117420218011684,0,-0.0618590169530303,-0.00835356282957203,0,0,0,0,-0.0747430980203206
VIX.INDEX,-0.694911404807107,0,-0.191569036278099,0.0443142818598158,0,-0.035863938725125,0.0000000000000000138777878078145,0.375488228685778,0.306594090484144,-0.0432457792205237,-0.253429289642822,0,-0.154141769867874,0.106849933477389,0.0784758245032182,-3.09416317928534,0,0,-1.43613788224775,0
