,BTC,ETH,XRP,BCH,BSV,LTC,EOS,BNB,INNBCL,XTZ,LINK,ADA,XLM,TRX,LEO,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,0.0629752926628042,0.00934933583823003,0.136273403315265,0.143851257179412,0,0.000460350854642198,0.0773472511247556,0,0,0.0591254247586815,0,0,-0.0418372127906624,0,0,0,0.0217965658113105
ETH,0,0,0,0.15333680122097,0,0.15014498396419,0.0763417610185256,0,0.00146167230379901,0.149305519149039,0,0,0.0982522493506048,0.332321911297904,0,0.00580347940075336,0,0,0,0
XRP,0,0.234911944616369,0,0.0618879526288961,0,0.0766364725762509,0.0713700204495209,0,1.35525271560688e-20,0.0894614160891561,0,0.0258044714618367,0,0.17290136991908,0,0,0,0,0,0
BCH,0,0,0,0,0.253087574173752,0.298031183976563,0,0.267211310607706,1.35525271560688e-20,0,0,0,0,0.0176092717189301,0,0,0,0,0,0
BSV,0,0.928803794338205,0.372131465478585,1.31557297139554,0,0,0.626902919703396,-1.66371570060523,-0.0196042418329791,0,0.109413525497108,0,-0.819866517544981,-0.535402591396977,0,0,0.0372283199955799,0,0,-0.0160589613259282
LTC,0,0.227832388929491,0,0.147988663978097,0.00561189067913353,0,0.295522680747886,0,0.000406634898909439,0,0,0.220197246020041,0,0.162417248093249,-0.0426436029695124,-0.0625929310895498,0,0,0,-0.0126206623016597
EOS,0.199117990810687,0,0.204577545073748,0,0.106919840692911,0.31656512842833,0,0.0429255736871352,0.00184070118515089,-0.152253359425383,-0.0700043668324262,0.130129197714249,0,0.321033242195684,0,-0.204330991770809,0.0416015737086587,0,0,-0.0819720315340419
BNB,0,0.202757607136663,0,0.333196332685804,-0.0542118752316053,0.292884987127725,0,0,-0.00291758513328507,0.0770985377706991,0,0,0,0,0,0,0,0,0,0.019834840118655
INNBCL,0,0,38.23198566383,13.1824235091534,-4.36770769595423,8.78169087041803,-8.20094074880548,0,0,1.59218525365981,0,-39.1683204978718,0,-4.42049464155897,13.0096212506602,-8.19792117289891,0,0,0,-2.33216235285131
XTZ,0,0.300064127488945,0,0,0,0,0,0.00363263457264915,-0.0053530337665708,0,0.419508138091194,-0.0730345681865436,0,0.165423047030401,-0.0153160573011451,-0.134932946230277,0,0,0,-0.0358577757319301
LINK,0,-0.0371850204042453,-0.173986439121321,0,0,0.280867612007392,0,0.106127785143736,-0.00538139317914215,0.191370450762192,0,0,0,0.328809089321246,0.0809567615209951,-0.131477841698075,-0.0146987128846932,0,0,-0.0918324765568355
ADA,0,0,0,0.101728236232437,-0.0503501494837995,0.376467829206715,0.09990532491028,0.094030740102157,0.00449247411155634,0.128641237548827,0.0512281001360874,0,0,0.150426117633502,0,0,0.033527279847783,0,0,0
XLM,0.0993811114010412,0.123445916730718,0.304960837586951,0.0233756804339741,0,0,0,0.168627120617383,-0.00050550125869435,0,0,2.71050543121376e-20,0,0,0,0,0,0,0,0
TRX,0,0.0674147254506429,0.252806723637981,0,0.0147128522905475,0.190926350973528,0.124914323681791,0,-0.00213478773730853,0.0115432162372478,0,0.296228974127305,0.0511867462104415,0,0,0,-0.0143706943746233,0,0,0
LEO,0.19537242260339,0,0,0,-0.0147000159601275,-0.219180255270005,0,0.16545225613743,0.00843079680406052,0.021053537983331,0.0198797484599002,0,0.228047792723864,0,0,-0.0426389525934003,0.0566724715449774,0,0,2.16840434497101e-19
BV010082.Index,-2.40127533359811,1.81486123732391,-0.164960852960932,0.271875909285348,0.0490777858260941,0.568437239825735,0,-1.09488697640231,-0.0238452405862612,-0.530207182073883,0.584337324991529,0.00762306416260265,0.542744004027175,-1.04215506900469,0.301647840104508,0,-3.46944695195361e-18,3.13366193178198,0,-0.110372373629908
CVIX.Index,0,-0.114236343366132,0,0,0.0502508124349683,0,0,0,-0.00593093957260693,-0.206022124636823,1.73472347597681e-18,0.395851984729291,0.0137088895353521,-0.303918203125475,-0.118925554965878,0.0143563287886761,0,0,1.06112656368981,0.195078933559624
DXY.Curncy,0,0,0,0.00863847473290073,0.0013121911820791,-0.023383429135191,0,0,-0.000572942521448907,-0.0154657200992437,0,0,0.0398908141694915,0,0,0.0372013464577552,-0.0282737766213748,0,0,0
SPX.Index,0,0,0,-0.0136233419746328,0,0.0219097085731221,0,0,-8.74940446396107e-05,0,0,0.0213050594652888,0,0.0487912549521882,0,0.0731004879786304,0.0067032071947123,0,0,-0.106953501864448
VIX.Index,0,0,0,-0.0830340842040366,-0.0171046005875039,0,0.106501623529102,0,-0.00975176570977194,0.087087182068617,0.0267413998829928,0,-0.44514406293648,0,0,-0.174635460117789,0,0,-3.50803928534698,0
