,BTC,ETH,XRP,LTC,BCH,EOS,BNB,BSV,XLM,TRX,ADA,XMR,LEO,DASH,MIOTA,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0,0.215157292157374,0.0663406452496047,0,0,-0.0679049394856433,-0.0456839412391343,0,0.393514313776596,0.0726570927912958,0.0506078796995037,0.0365969811778538,0,0.238524259853478,0,0,0.0439415926228408
ETH,0.232935136501832,0,0.234608165250051,0,0.0759272239914672,-0.0118228406785897,0.0109867034390764,0.0212671654241779,0,0,0.201171299902592,0.233447985077069,0.117970507794338,0,-0.0556968478320182,0,-0.0589227189916887,0,0,0.0137038110066714
XRP,0,0,0,0.112133240951608,0,0.145905674988389,0,0.018397747312185,0.00000000000000000346944695195361,0.225039048673204,0,0.292913850416063,0,0,0.158348592134037,0,0,0,0,0.0155049301788526
LTC,0,0,-0.00000000000000000173472347597681,0,0.155069180773412,0.11957613263244,0,0,0,0.131466289391569,0.0983265627477133,0.11281027835605,0,0,0.0840386123648666,-0.142147561010312,0,0,0,0.0356613990644449
BCH,0.633440995352844,0,0,0.144383617525524,0,0.136215908698854,0,0.0791311153567175,0,0,0.2154621691765,0.0118002730923405,0,0,-0.192832523329894,0,-0.103689245470952,0,0,-0.0141506530772703
EOS,0,0.383380565420469,-0.226679347363332,0.048699329765737,0.65535866444961,0,-0.00239316245564771,-0.130619682630924,0.252641499819351,-0.101823579131381,0,-0.0778433279197101,0.230545548752556,-0.144625197094051,0.271364757444802,0.28879710475901,-0.0946818891930415,0,0,0.187269113762939
BNB,-0.438680233136135,-0.0997236650451842,0,0,0,0,0,0.0356130939006155,0,0,0.232519506150956,0,0.0285047844646145,0.555050301581259,0.053522767326716,-0.0318390606655564,0,0,0,-0.118817283896464
BSV,0.546790886417027,-0.29240879224382,-0.243469751225656,0,0.246062170802935,0,-0.126381328480565,0,0,0.111330802214246,0,0,-0.0272425839579192,0.301437482629412,0.298570695454131,0.00000000000000000346944695195361,0,0,0,0.180316228997961
XLM,-0.0922395476984868,0.234050297032471,0.427334944778341,0,0.162251022855011,0.0877119685050854,-0.0473827806264771,0.00703896844394543,0,0.0129473287920407,0,0,0,0.104304127244072,0,0,0,0,0,0.0225609950602017
TRX,0,0,0,0,-0.248542397375077,0.470760304744295,0.0899394959873357,0.0104600219274389,0,0,0.271827791557306,0.306699598833279,-0.138305794854494,0,0.13083514571141,0.00000000000000000010842021724855,0,0,0,0.130334292520898
ADA,0,0.274586207113116,0,0.171583160206135,0.0379267923095411,0,0,0,0,0.297452957124776,0,0.169354609696355,0,0.149977594814809,-0.0330476463044765,0.0431227466126449,0,0,0,-0.000000000000000000867361737988404
XMR,0.477446800206315,0,0.0398855907261588,0.00000000000000000173472347597681,0,0,0.0209597737758324,0.0211805846175638,0,0.213387884525717,0.0447437400072477,0,0,0.239521718922415,0.0412990945007691,0,0,0,0,0
LEO,0,0.0689136763796095,0,0.327969727989659,0.22935913912838,-0.19494442112019,0.175899181897423,0.0285800395283655,0.124763080076983,-0.077331096736391,0,-0.955689662143966,0,0,0.391657933109097,0,-0.289882635570624,0,0,-0.0236494027359934
DASH,0.0498695459444749,0,0.053218436261061,0,0.317445914209398,0.0137646247733341,0.108844222948378,-0.00986009589795572,0,0,0.0863585542055572,0.0780107397595434,-0.0094009995940713,0,0.138586486610154,0.0905226382595779,0,0,0,0.0335399132893621
MIOTA,0,-0.126110263631051,0,0.144170882364878,-0.275510968354624,0.22762551694318,0,0.124949780289106,0.559912873038167,0.177083286969307,0,0.051484097460488,0.112463340079601,0.0967725455773999,0,0,0,0,0,-0.12619300785144
BV010082.INDEX,0,-0.0999571487992344,0,0.268656476220659,0.0693278310630353,0.0528252617569855,0,-0.0211786101648758,0,-0.190129682234784,0,-0.548881029074414,-0.244615966253534,0.301515220132626,0.363586180701404,0,0,0,0,-0.0929373926599527
CVIX.INDEX,0,0,0.370989672237881,0.0666610487062814,-0.186515104645701,0,0.20241097745476,-0.0329412731208003,-0.14105666891603,0.294405683774507,-0.448650659497687,-0.0471934011070182,0.0950899452371395,0,0,0.0170060046470525,0,0,0,0.0810894126773019
DXY.INDEX,0,0,0,-0.0182766522972782,-0.0223236083979116,0.0286348943234457,0.000695301183624291,0,0,-0.0278389491666768,0.0216339597647561,-0.000190647488227537,-0.012097468471293,-0.0131834579672986,0,0.0461787425968974,0.00235207983773561,0,-0.12108390874648,0
SPX.INDEX,0.0301196457409872,0,-0.026769592168878,-0.0123994545116757,0,0.024039216759513,-0.00488766404222442,-0.00370255900699882,-0.0183311809809259,-0.00202782676074782,0,-0.0379783473205125,0.0168094308689593,0,0.0242801047170227,0.0149870355378044,0,0,0,-0.0587639420043057
VIX.INDEX,0,0,0.879176393848905,0,-0.624474856675427,0,0,0,-0.733005080914067,0.0769500956316879,0.56437423627022,-0.859069205380633,-0.256069434368796,0.613576581039612,0,-0.614117087586843,0.302750759494418,0,-2.26074711499673,0
