,BTC,INNBCL,ETH,XRP,BCH,BSV,LTC,BNB,EOS,TAGZ5,XTZ,XLM,ADA,LINK,XMR,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,-0.00245430250255994,0,0,0.532178616491229,0,0,0.0826322456052183,0,0,0.167679089582218,0,0,0,0,0,0,0,0,0
INNBCL,0,0,22.0653526371427,0,0,-0.287741176884706,11.8976440842697,-29.6404607216916,-14.7883669901531,3.71415422651317,0,4.38780013354119,14.3440561902039,0,-11.8226351514613,-11.6472280191348,-1.16598211731875,0,13.6650099150307,0.13129870504508
ETH,0,9.69061482308828e-05,0,0,0.193458917506659,0.0606192470494458,0.0856132119800426,0.0564659319235335,0.0215535197679863,0.047586552348001,0.229400576067608,0,0.0199782552425701,0.0563379812651867,0.232443847048653,0,0,0,0,0
XRP,0,-0.00439246762594812,0.122262540538523,0,0,0,0,0.135467576357952,0.107477173177342,0,3.46944695195361e-18,-8.67361737988404e-19,0.282804611622551,0.0651363356506689,0.101917463093542,0,-0.0224825169517536,0,0,0.0452846662569789
BCH,0,0,0.328570458348036,0,0,0.29549184507374,0,0.138567634228718,0.0814953267500319,0.0149277181377045,0.11622007930334,0,0,0,0,0,0,0,0,0
BSV,0.0895525552990537,-0.0122904725262465,0.139590725147338,0,0.42490469894977,0,0,0,0,0,0,0.0530874198444819,0,0,0.352693001816034,0.034803099307527,0.105946965680362,0,0,-0.0700201832878649
LTC,0,0.00112679970455276,0.0691870935550451,0.0985404724547761,0.115302068227379,0.000845442933502565,0,0.125918437047715,0.233718233970658,0,0.0781378115127611,0,0.154537051605787,0,0.0198936806970502,0,0,0,0,0
BNB,0.0419981127096733,-0.00499328175863731,0.318881037730306,0,0.430691146144141,0,0,0,0,0,0.0639374995077988,0,0,0.0760007899597647,0,0,0,0,0,0
EOS,0,-0.00109052122581642,0.427000753439642,0,0.0971797274761705,0.0879882638077566,0,0,0,-1.0842021724855e-19,0,0.218625314378903,0.0335893247280956,0,0.0762574461982418,0,0.00764154498769259,0,0,0
TAGZ5,0,-0.00932667726435897,0.472218964719888,0,1.69691466168072,-0.1096209086465,0,-2.04825955541354,0,0,0.968259954765335,0,0,0,0,-0.411524286740381,0,0,0,0
XTZ,0,-0.00268965564838886,0.313244996419619,0,0,0.158239878372074,0,0.104893060823587,0,-8.67361737988404e-19,0,0,0,0.427564600604435,0,0,0,0,-0.124815327825945,0
XLM,0,-0.000224201761102849,0,0.499211343794572,0.0967933702333584,0.0914479131700152,0,0,0,0,0.0956196972579397,0,0.0550357195024379,0,0,0,0,0,0,0
ADA,0,-0.0010823282322592,0,0,0,0,0.493561437454597,1.38777878078145e-17,0.270379963954756,0,0.210045827532383,0,0,3.46944695195361e-18,0.0118094588704397,0,0,0,0,0.0192130858593346
LINK,0,-0.00667563642745452,0.196219377010897,0,0.0812300322822152,0,0,0.18246209269459,0,-0.0130546549203081,0.454262645140848,0,0.12879530329345,0,0,0,0,0,0,0.0295466752561761
XMR,0.0854924322252939,0.00389492251171912,0.149734079519132,0,0,0.0247294466981009,0,0.231590391439413,0.169716030536843,0,0,0,0.23386510294103,0.00782792080368038,0,0,-0.00887964249634833,0,0,0
BV010082.Index,0,-0.00506161204778974,0.26044231834643,0,0,0.260846172467434,0,-1.15928905397095,0,0.0349970033693871,-0.778732144112459,1.11906684901627,0,0.426616067443113,0,0,0.137781426544597,0,0,0
CVIX.Index,0,-0.00660379450829966,0,0,0,0,0,-0.605370950539938,0,-0.22278075657253,0.539490679731735,0,0,0,0,0.32461012861844,0,0,-0.596982853397922,0.279513818409123
DXY.Curncy,0.0449335061328964,-0.000334422841721009,0,-0.118121126143712,0,-0.00820751160554896,0,0.0401115478105251,0,0.00179405660434798,0.0474393337116828,0.0257297461786572,0,-0.0170993036847807,0,0.00755785652724509,-0.0163150098736651,0,-0.0242479561706547,-0.0141142059996571
SPX.Index,0,0.00193824670249014,0,0,-0.283393307294045,-0.0559123783780282,0,0,0,0,0,0.202531964575393,0,0.196006641090944,-0.0387373981910238,0.271742206716835,-0.0396514881566334,0,0,-0.194485000164448
VIX.Index,0.0414124433147826,0.0352173713258654,0,0,0,0,0,-0.327620389632737,0,0.101134749121338,0,0.502964183476835,0,-0.380167976271502,0,0,0.214663277468908,0,-1.16760981504942,0
