,BTC,ETH,XRP,BCH,LTC,XEM,ETC,DASH,MIOTA,XMR,NEO,EOS,ZEC,XLM,DOGE,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,-0.00202572793155768,0,-0.15167288094029,0.226884556491745,0.20035944933194,0.0147324724244731,0.0162406396055519,0,0.140836107081869,0.0550610725733209,0,0,-0.0858423515540828,0,0,0,0,0,0.0599457538827663
ETH,0,0,0.170881478696318,0,0,0,0.224732723994996,0,0.148500147456308,0,0,0.0543730033488043,0.0260674245780392,0.0494208040146038,0.226619512182595,0,0,0,0,0.13270592091662
XRP,0,0.18923822807116,0,0,0,0.163111969349641,0,0.257517258469771,0.090857473891427,0.0187833355587538,-0.0344007523256767,0.0423968075198367,-0.246393680255083,0.207619861952926,0.0951177039909351,0,0,0,0,-0.0252080603009785
BCH,-0.798260813542296,0,0.934586940935784,0,-0.810320232928664,0.586321081933708,0.680642448755922,0,-0.393666031575549,0.519867365181645,0,0.14167062572553,0.414223739077683,-1.20542782534402,0.253749776058974,0,-1.80294218258533,0,0,-0.386697008141624
LTC,0.308032006194453,-0.0479103451637196,0,0,0,0,0.218996721211374,-0.140969287468017,-0.0336560597148566,0.0244700660104427,0.131073378736256,0,0.0878075838332525,0.0096623976055595,0.177898177611929,0,0,0,0,0
XEM,0.306293030719738,0,0.270762070270458,0,0.238709906595633,0,0,0,-0.0533632781216595,0.257648945134873,-0.017341629209131,0.109493701713505,-0.112045673931171,0.0240584896864898,0,0,0,0,0,0
ETC,0,0.191824837008974,0.0125869058959387,0,0.251849370832602,0,0,0.307151846785604,0.11845891352851,0.0683716450985022,-0.0641429402951707,0.0154205715391837,0,-0.123613634187421,0,0,0,0,0,0.172556214259987
DASH,0.105104074772038,0.0821977229944457,0,0,0,0.165265801374713,0.19857464908986,0,0,0.168920284364722,0.0547898013031234,0,0,0,0.0416771094073321,0,0,0,0,0.123328647025602
MIOTA,0.297603870486196,0,1.18738312479621,0,0,0.069997586599563,0.266670549811651,0,0,0,0.0129719373853613,0.0289998694679516,0,0.124161890015812,0,0,0,0,0,0.121692753445043
XMR,0,0,0,0,0.13204763590724,0.136250275944238,0,0.449459420875838,0,0,-0.016510971852279,0,0,0.264591732369148,0.020635750624944,0,0,0,0,0
NEO,0,0.43198611615422,-2.07009878738361,-0.485774508331399,-0.248120859608536,1.27965704289467,0,0.799907665383887,0,0,0,0.0547094474087076,0.25138977259998,0,0,0,-3.80457471566268,0,0,0
EOS,0,0.537091860859427,0,-0.0519831962652422,-0.564506342001779,0.405035674426119,0.177328996187644,-0.0790049875068237,0,0,0.169250578961168,0,0.0620212944221525,0.0903503275414556,0,0,0,0,0,-0.0326917560216636
ZEC,0,0.260186104715883,0,0,-0.0180275514599453,-0.0265811333046808,0,0,0.0182982037347731,0,0.0660765148829061,0.0254998768115715,0,0.263967810789519,0.198972757098335,0,0,0,0,0.0407263637166222
XLM,-0.363499481868193,-0.0151382762079038,0.331242247496624,0.041754613824002,0.105533496470679,0.25740588102236,0,0,-0.0301807966282976,0.651119131000572,0.0556926558880247,0.042948306994369,0.251222080180405,0,0,0,0,0,0,0
DOGE,1.38777878078145e-17,0,0.0441219577754586,-0.129160287552509,0.0278378758999403,0.433907129955869,0.0352203897741908,0.0573400134743408,0.0656785172568222,0.203083308174021,0.0369705875665742,-0.0574082792528615,0,0,0,0,0,0,0,0
BV010082.Index,-0.101767608282924,0,0,-0.00909207347288653,0.00316758956469036,-0.0336148809435931,0,0.0577437029933157,0.0102489038088477,0.0111866200411875,0,0,0.0424174450856516,-0.0273551781151179,0,0,0,0,0,0.0299262976139095
CVIX.Index,-0.127008693167589,0,0,-0.0697197269556531,0.00643770769280897,0,0.0317135606183787,0,0.0549387540453453,0.0392411713174255,-0.00839527840391696,0.0313949341338192,-0.112157665217313,-0.0378645981465624,0.10212748390714,0,0,0,0,0
DXY.Curncy,0.0382329565574414,0,0,0,0.00295655812134972,-0.00612516286825839,0,0.0118923731055036,-0.00369132308456812,0,-0.00976303387865411,0.0020740345525527,0.00553728907378352,-0.0117454947654573,-0.0161545962997395,0,-0.0670819391700241,0,0,-0.0338039522525335
SPX.Index,0,0.00697462226378653,0.00559482527657651,-0.00523661467084469,0,0,-0.00250379250464681,0.00555535414618307,-0.00617209562765519,0,-0.00219412542823567,0,0.00571598634938738,-0.00388248088500779,0,0,0,0,0,-0.0634159765662486
VIX.Index,0,0.0644029421931639,0,-0.0420993725040467,-0.357186774995986,0.145896073847909,0.212720296109579,0,-0.157935732015984,0.174397880992653,-0.0943312385291397,0.083892215012906,0,-0.199907870299193,0.33578152711929,0,0,0,0,0
