,BTC,ETH,XRP,XEM,ETC,LTC,DASH,XMR,XLM,ZEC,DOGE,DGB,BAT,NEO,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0.0170924460432399,0,0,0.0794097429701671,0.112546947354726,0.133196589507363,0.00422785244673369,0,0,0.0395819369563878,0,0,0,0,0,0,0
ETH,0,0,0,-0.0701859841952372,0.182051650125141,-0.0429048822973584,-0.0477550448869434,0.145498136455127,0.0482493874871989,0,0,0,0,0.0749644502812476,0,0,0,0,0
XRP,0,0,0,-0.502341681594081,0,0,0,0.447509739524951,0.595544177164171,0,0.249908913423761,-0.792903901945558,0,-0.0968544527758481,0,0,0,0,0
XEM,0.360107123097041,-0.264233249622218,-0.0795614464046967,0,-0.598932353357485,0.0264168339831827,0.133971204644865,0.0695264822168279,0.0783872408756786,0.194496552942376,0,-0.0209265799922876,0,0.447713044988596,0,0.623075206556953,0,0,-0.147486902351407
ETC,0,0.355561535076276,-0.10330361756625,0,0,0.104004299325231,0.14987631762088,0,0.0239136903406379,0,-0.0214170283576446,-0.0209307361234617,0,0.0752339958617294,0,0,0,0,-6.93889390390723e-18
LTC,0.173524415504449,0,0,0,0,0,0,0.216362882484354,0,0,0.104705797927498,0.0335072919429002,0,0.295935454439878,0,0,0,0,0
DASH,0.434395318267812,0.0494646174962166,-0.126310858360325,0.0685152734074859,0.0977466438286069,0.317870313395469,0,0.0138559136060648,0.142037028754144,0.467611883162049,-0.174361938172304,0.0378547363338396,0,0,0,0,0,0,0
XMR,0.0218194178494568,0.365138448321895,0,0.160491630405737,-0.0894744337310869,-0.0594414257359728,0.217992631664802,0,0.164989636254635,0.16318829215826,-0.125942148171253,0,0,-0.137968142671749,0,0,0,0,0
XLM,-0.41563537393287,0,0.255202841189345,0,0,-0.384415014203295,0.477473935539817,0.589758486134646,0,-0.437431986772936,0.337135809472287,0.000358103296940721,0,0.288910386707895,0,0,0,0,0
ZEC,0.386184908348293,0.13174412089163,0,0,0,-0.132719833094728,0.353083710329012,0,-0.0484005475538584,0,0.277195596451614,-0.0164428884221566,0.320799387896731,0.00103067059267127,0,0,0,0,0
DOGE,0,0.186861568424056,0,0.09049586554268,0.0325231532865022,0.300246304336492,0,0,0.239433495850275,0.319119560938497,0,0.0376626477758708,0,0,0,0,0,0,0.335919703620432
DGB,0,0,0.0382864307473962,-0.0368551656859943,-1.24469428263775,-0.172098248729359,0.320901520679124,0.212111671193416,-0.0741678758819884,-0.374114138407157,0.335152677117601,0,0,0.824206064591962,0,0,0,0,0.0701855591110385
BAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NEO,0.374975882054546,0,0.20519985834072,0.0712093755298694,0.502544013194687,0.454820929192305,0.413169630979699,0,-0.0749472282376064,0.282654053727535,0,0.118699614041595,0,0,0,0,0,0,0
BV010082.Index,0,0.0269219361990972,-0.00374713136947714,-0.0401845719076856,0.0380514897475231,0,-0.0817500941015082,0.0307467395831258,0.0557083331434608,0.0766127671662912,-0.0561415909712383,0.00500544805860983,0,0,0,0.126091832858142,0,0,0
CVIX.Index,0,-0.0919774722590897,0,-0.426508273511126,-0.380502585345956,0,0.0667529496107029,0.130597526681078,0.0149198700868962,0.0331407178399451,0,0.0227092898971578,0,0.273864528958555,0,0,0,0,0.0881189188654169
DXY.Curncy,0.014137237496355,0.0124375876851348,0.00225597654599213,-0.017871161862638,0.0168236120061647,0,-0.00485700066779524,0,0.00912658147982833,0.00225925854647286,-0.0125285522142069,-0.00380103638235818,0,-0.00370627591246154,0.0923402140816581,-0.00145687214105854,0,0,0.0227821378893518
SPX.Index,0,0.01291699289977,0.000165752746625834,-0.00623434601543995,0,-0.000725333535427022,0,0.00452935758889949,0.00557795537774463,-0.0183537511161785,-0.00120969001872158,0.00492353494317557,0,0,0,0,0,0,-0.031949408513952
VIX.Index,-0.770521603496709,0.0405060117015466,0,-0.215641954668678,0.343161238040971,0.139182836324233,0.193838908033953,-0.161783010988762,0.223643932661221,0,-0.0641367706519258,-0.0147516748660747,0,-0.032550918996669,-3.25812310331325,-0.699304824358687,0,0,0
