,BTC,ETH,XRP,BCH,XLM,EOS,LTC,ADA,XMR,TRX,DASH,MIOTA,BNB,NEO,ETC,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,1.73472347597681e-18,-0.0153693193922245,-0.0269529505767563,-0.00879189352402929,0.238134346969472,0,-0.000330708017528173,0,0.053032927090338,0.0757389492381035,0.0291542994187801,0,0,0,0,0,0,0,0
ETH,0,0,0,0.0657859941640474,0,0.197111278566019,0.304752574670988,0.301399031929009,0,0.0585275764284588,0,0,0,0.0982479463145696,0,0,0,0,0,0
XRP,0,0.299790944212204,0,0.0228360813738099,0,0.753660345473346,0,0.479808162073735,-0.220253653240865,0,0,0.569526874278166,-0.727192063316241,-0.393665045081743,0,0,0.985561057351568,0,0,-0.0614404836179009
BCH,0,0.0832758563727964,0,0,-0.0502502992199647,0.242062304116053,0,0.361822041435067,0.17747614946332,0,0,0.230178149609165,0,0,0,0,0,0,0,0.0763123709668099
XLM,0,0.162742814497795,0.188162626851913,0,0,0.0427172924820182,-0.00308080609664526,0.126100495389381,0,-3.46944695195361e-18,0.0791541697695343,0,0,0.240854369070357,0,0,0,0,0,0.0127455128525743
EOS,0.321649897223557,0.409972962670883,-0.0454722508486872,0.078288526977734,0.0756087627231534,0,-0.025716161814121,0,0,0.0884046779047037,0,0,0,0.195027865130756,0.0692718341136741,0,0,0,0,0
LTC,0,0.236856868443078,-0.0207409675021444,0.158262749097184,0.103449099084421,0,0,0,0,0.0800478657071934,0.063839438134033,0.0925601066016787,0,0.124410554001871,0.0172122790985729,0,0,0,0,0
ADA,0,0.218548058427713,0.0751510370582343,0.176166728479931,0.335566192387533,-0.183230801389649,0.0920229191053918,0,0,0,0,0,0,0.111243799965155,0.321160172347705,0,0,0,0,0.0954204020309382
XMR,0,0.172137740662054,0,0.103022055249269,0,0.175718078681573,0.108696746528023,-0.133605025549788,0,0.0402895899671996,0,0.318165300544055,0,0,0,0,0,0,0,0.0314890468363998
TRX,0,0,0,0,0.00867395176355319,0,0,0.518296931823049,0,0,0,0,0.628479117649728,0,0,0,0,0,0,-0.0420970647252878
DASH,0,0.347840043405883,0,0.0133079056458726,-0.0400221551575857,0,0,0.312188736961889,0,0,0,0,0,0,0,0,0,0,0,0.00261055930632246
MIOTA,0,0,0.0610124332161828,0.0256646214275478,0.0273426712361562,0,0.574192526627999,0,0,0.0818527369912269,-0.163356607651377,0,0,0.3993471047319,0,0,0,0,0,-0.0965680788340236
BNB,0,0.206702127606214,0.0211309717762149,0.00995695139166241,-0.00404646408502651,0,0.368965461631195,-0.0760388215170455,0,0,0,0,0,0,0.0715956687844957,0,0,0,0,-0.0557942233969771
NEO,0,0.0607424440398439,-0.0891968811380801,0.0592293598384634,0,0.0299010941089517,0.137196731957013,0.444290470763268,0,1.73472347597681e-18,0,0.18082766820189,0,0,0,0,0,0,0,-0.0177298162345158
ETC,0,0.156596385573953,-0.111657839782329,0,-0.0308245054392537,0,0,0.50714013680992,0.150694991400092,-0.0501384552807355,0.0674682618308521,0,0.265130541841027,0,0,0,0,0,0,-0.0279455056858695
BV010082.Index,0,0.0103182386610648,0.0690620360613164,-0.0479645662699325,0,0,0.0148634727697845,0,0.0373860841015499,0,0,-0.0709905527220795,0.110573289366451,-0.171087661649495,0,0,0,0,0.768882093780824,-0.000483136393705813
CVIX.Index,0,0,0.113173863017828,-0.0572168811088251,-0.281456305639654,0.0291335601743145,-0.290788400130013,0,-0.160241289798975,0,0.0744447738472899,0.348306612688758,0.294540297723151,0,0,-0.45177425983309,0,0,0.284677862558725,0.0394226496905409
DXY.Curncy,0,0,0,-0.0365655130846374,-0.0369893776541587,0.0473516569783049,0,0,0,-0.0284530758049725,0,0.0173970599861514,0.00170869018325018,0,0.0246361809220676,0.0852427796920541,0.0763824829008248,0,0,0.00462174084276038
SPX.Index,0,-0.0960327721117723,-0.0389862387263284,-0.0451294928657915,0,0,-0.00855163110599151,0.0504779479296641,0,0,0,0.15817795452973,0,0,0,0.152299912157004,0,0,0,-0.108310132608669
VIX.Index,0,0,-0.205549069320698,0.358545944636091,0,0,0,0.0197346070392733,0,-0.0559237841710707,0,1.36756274940796,0.364017871463779,-1.70703023579105,0.411596125006352,1.4201787537733,0.638881804217669,0,-5.41486172872939,0
