,BTC,ETH,XRP,BCH,XEM,LTC,MIOTA,DASH,ETC,NEO,XMR,EOS,ZEC,XLM,DOGE,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,-0.159251031283882,0.132977845175719,0.22739252899691,0.0491971105798492,0.0562158080067046,0.0153308513488325,0.0503268175750923,0.0826478029471899,0.0273390031845061,0,-0.0182732040544924,0,0,0,0,0,0
ETH,0,0,0.205087233709009,0,0,0,0.183560043502161,0,0.214932875962006,0,0,0.0683067225546513,0.0705253713329603,0.0447741029761948,0.274512240263397,0,0,0,0,0.0613092101213485
XRP,0,4.33680868994202e-19,0,0,0.0948305401110963,0,0.0153897607926172,0.120987365084047,0,-0.0627795123691036,0.0115480168715061,0.0399013427394161,0,0.169622823545659,0.483818827514985,0,0,0,0,-0.0748210354384208
BCH,-0.855613867702696,0,0,0,1.031718001276,-0.595472194735118,-0.288405215459584,0,0.561775030877292,0.00998364654155131,0.22385360082882,0.13282534427185,0.729601505501858,-1.21369564443914,0.46087901952751,0,-1.49948396586043,0,0,-0.750570817688211
XEM,0.0276868993297547,0.166156521828381,0.318215757104805,0,0,0,0.0579538907276489,-0.0214049904048192,0.0868676750500601,0.0280325182891214,0.130936841369848,0.115796627568429,-0.244465569699346,0.163954949721956,-0.0819031245135507,0,0,0,0,0
LTC,0.31060793972914,-0.0829111449331581,0,0,0,0,0,-0.0745913464531701,0.22992472609193,0.111144634050773,0,0,0.125801033799898,0,0.0991331863184614,0,-0.117915786390322,0,0,0
MIOTA,0.272111123236016,0,1.14489351192104,0,0.0924937697466708,0,0,0.0344214361862124,0.228947121306048,0.0423882133690422,0,0.0293525063761272,0,0.0926496060662482,0,0,0,0,0,0.0989187127913009
DASH,0.0361305941408614,0.148509151042257,0,0,0.166880512756308,0.118191058947217,-0.0214862282714857,0,0.142358636198742,0.0329723510480074,0.312395650298671,0,-0.0300894569999872,-0.00692163125689974,0,0,0,0,0,0.110588415068576
ETC,2.16840434497101e-19,0.262109470192849,0,0,0,0.200084854531324,0,0.138932735686824,0,-0.0258766832561416,0.100136668892093,0.0167608509854099,0,0,0.135865550144571,0,0,0,0,0
NEO,-0.836852663964119,1.38777878078145e-17,-1.71282312226005,-0.557147433793433,1.29258457306732,-0.0181242747402612,0,0.615655015602072,0,0,0,0.0426458868406955,1.12053900935428,-0.329401993764813,0,-2.72561143533853,-4.46968917041833,0,0,0
XMR,0.0622548393225193,-0.00810113614617624,0,0,0.126735342826143,0.122148245016346,0,0.454971967391927,0,-0.0207966848778208,0,0.00718291598703785,0,0.295315739676219,0,0,0,0,0,0
EOS,0,0.323252648204057,0.227426870523171,-0.0905983256421726,0.0411921643508623,-0.421222736000029,0,-0.240476491688819,0.431962375833684,0.0990516978872218,0,0,0.285557010986502,0.374858418856092,0,0,0,0,0,0
ZEC,0,0.211435562519899,0,0,0,0,0.0475501245423097,0,0,0.0587091494821612,0,0.0194914640401526,0,0.235933374784977,0.190960948829895,0,0,0,0,0.0521525482742814
XLM,-0.0946980052098161,-0.0466350577601154,0.301682877269747,4.33680868994202e-19,0,0,0.0246595174181681,0,-0.0315863321911218,0.0575997318759268,0.614770852814201,0.0773469129807092,0.275402474386624,0,0.0127175810881927,0,0,0,0,0
DOGE,0,0,0.253865681764925,-0.0495552851804013,-0.00863467492831665,0.131157495016311,0,0.29105999758175,0.134184792701588,-0.0375166706447972,0.0489699170444927,-0.0569050757250933,0,0.235810224883361,0,0,0,0,0,0
BV010082.Index,-0.0980521681685292,0,0,-0.00808768813516672,-0.0338927850731626,0,0.0111793561484021,0.0550148266645513,0,0.00357464223508529,0.0119615353304484,0,0.0390655016397746,-0.027424466927511,0,0,0,0,0,0.0380754504626637
CVIX.Index,-0.0907812065391038,0,0,0,0,0.00721868181709076,0.0583879897436781,-0.0689817098905331,0.0318833219129877,0,0.0451843698860665,0.0338630805637409,-0.107442936264448,-0.0504326496651197,0.116310165116191,0,0,0,0,0.0219563785742591
DXY.Curncy,0.0232476485504055,0,0,0,0,0,-0.0063871418312913,0.00086533083651513,0.00845012161084209,-0.00902197949534409,0,0.00381621953448245,0,-0.0103039481272213,-0.00580814131344672,0,-0.0393653373747568,0,0,-0.0329926693716905
SPX.Index,0,0.00854488381530443,0.00757567734610638,0,0,0,-0.00655115431477236,0.00491983158704643,-0.00273907498707323,-0.00221221239093748,0,0.00117693212357181,0.00300728489464839,-0.00411523574984574,0,0,0,0,0,-0.0641858859121603
VIX.Index,0,0.256941309048311,3.46944695195361e-18,0,0.245771135265219,-0.24540162728867,-0.181792631139027,0,0.254221182588109,-0.0701822611007446,0.207836427372978,0.0528798650357042,0.125572516006674,-0.465082982535045,0.101356036847178,0,0,0,0,0
