,BTC,ETH,XRP,ETC,LTC,DASH,XEM,DOGE,XMR,XLM,DGB,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0.0132816347663259,-0.0505872715202995,-0.0305239466119575,0.501754894408767,-0.00274147808653165,0.053416091912381,0.0643760815229495,0.181104564789125,-0.0137333496774997,0.0568842342643113,0,0,0,0,-0.0420622305289134
ETH,0.694237705245514,0,0,-0.368504821705627,0,1.35922242819182,0,0.37335754686574,-1.48240414225996,0,0.25346288575439,0,-0.113877612372701,0,0,0
XRP,0,-0.0252382441615717,0,0,0,0.0328809157557818,0.0718698299472373,0,0.039018596219843,0,0,0,0.071091699209058,0,0,0
ETC,0.736883306214089,-1.64560426403209,1.06006194922047,0,0,1.68991034679013,-0.12363368711681,0.274683800748609,-2.36972001220917,0.429249192634677,0.76372053702364,0,0,0,0,0
LTC,1.26697595072751,-0.150201358845087,-0.220828645951371,0,0,0.185105925389353,-0.145639512170121,0.0527184345862963,0,0.144268113921004,0,-0.0596947726931281,0,0,0,0
DASH,-0.139810202221127,-0.0096911606685587,0.308274399542012,0,0.258671435277746,0,-0.0413139339651023,-0.0494367471830303,0,0.109651407439619,0.199455101777036,-0.047938028451501,0.0885892178201743,0,0,-0.0180455507315691
XEM,1.37018790447519,0,0,0.0533770463717684,0,0,0,0,-2.77555756156289e-17,0.630831248925827,0.304489791678787,0.434412384521153,0,0,0,0.270845700551493
DOGE,0,0.0377930105411524,0,0,0.361005790427137,0.166923193625186,-0.00926892107152098,0,0.194209527890366,0.0653635845483128,0.0290728530002809,0,0,0,0,0
XMR,1.38802240726317,-0.239044941722008,0,-0.109295592739656,-0.440536082082456,0.190781475462624,-0.0787138108161865,0.0964046614538616,0,-0.00252438398090088,0.122583211864973,0.82305855080173,-0.0459762083727566,0,0,0.0233110636897284
XLM,0.669401542716628,-0.233323216352877,0,-0.0604121721801628,0.138646432296973,0.28344677097059,0.203764211016832,0,-0.111782947512857,0,-0.0501837704194376,0.145721347377725,-0.410057303833859,0,1.91395585229703,0.350126331108668
DGB,-0.309519810241187,0.597773092717829,0.21509655640982,0.139733126728508,0.222226516082121,0.304086261644792,0,-0.320788064570887,0.0593843841661665,0.36621795290799,0,0,0.598869932615188,0,-3.37476677322111,-0.57191955838046
BV010082.Index,-0.211299285157634,0,-0.153991867380447,0.0371520193792891,-0.147028658164232,0.149755478625181,0.0178788356265709,0,0.0270800771557769,0.0762427211367248,0,0,0.0350026453106772,0,0,-0.0953809635989377
CVIX.Index,0,-0.145498626101127,0.0680230117983297,0.0159299346031116,0,0.326422867965734,-0.0730942796261135,0,0.0636405208023089,0.139233715083474,-0.0328514847421876,0,0,0,0,0.135118906535988
DXY.Curncy,0,-0.0124782132178241,0,-0.00154147808141253,0,0.0610676518031822,0.00284685087822028,-0.0362819220096889,-0.00477646130838267,0,-0.010802571126312,0.165943850816393,0.00519219949840595,0,0,0.0230946407789007
SPX.Index,0,0,0,0,0,0,-0.0152735082878037,0,0.00264910858541012,0.0422312428376201,0,-2.16840434497101e-19,-0.0717882319003673,0,0,-0.075670267410771
VIX.Index,0.442450624032452,0.281278726812516,-0.161874736635487,0.092999167912258,-0.284088518509653,0.25547534636872,-0.18350135012123,-0.513572057777306,0,0.508489825566544,-0.483043236939651,-0.711402736271365,0.313150490233034,0,-4.50100752703549,0
