,BTC,ETH,XRP,LTC,BCH,EOS,BNB,XLM,ADA,TRX,BSV,XMR,DASH,MIOTA,NEO,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0.168740145470351,0,0.0524681831799718,0.0840355303982154,0.0652749922219557,0.0111127331785496,0.0799159089205977,0.0189901545171948,0,0,0,0.0329388514467805,0,0.0155280471801378,0,0,0,0,0
ETH,0,0,0.344376579570731,0.127864147846239,0,0.210276576275922,0,0.0808554995010195,0,0,0.053415509543293,0.0487785046739811,0,0.229179656241502,0,0,0,0,0,0
XRP,0,0.173908562143564,0,0,0,0.0285942892262413,0,0.145817433756096,0.0574529241866143,0.122967673869454,0,0.0766315933085064,0,0.121062889263282,0,0,0.0311534372202717,0,0,-0.0344773067993947
LTC,0,0,0,0,0.267362828510495,0.145984477991052,0.215595370676845,0.0423413827346233,0.194300357604265,0.281910151479499,0,0,-0.26987218835812,0.302777685952361,0,0,0,0,0,0
BCH,0,0,0,0,0,0.443101223431144,0,0.0506462602946011,0.257233883266905,0,0,0,0,0.14733727670454,0,0,0,0,0,0
EOS,0,0,0,0.294261122284142,0.153870193496018,0,0,0.199589696489677,0,0,-0.134956644218986,0.237509040733332,0,0.117703104495635,0.320176691288327,0,0,0,0,0
BNB,0,0.433989785085121,0,0.293618122982091,-0.166362087479225,0.113607838620865,0,0.0243897647817284,-0.0581320472829234,0.356288044329316,-0.138861272739973,0,0,-0.23615286970879,0,0,-0.182192205858741,0,0,0
XLM,0,0,0.270966057394422,0.168010636565116,0,0.0906891029188368,-0.0385160570901842,0,0,0,0.0371490634260875,0,0.208780198151451,0.0535850367132627,0,0,0,0,0,0
ADA,0,0.223324654836167,0,0.113980927028359,0.281871802004976,0,0,0.0606181852737958,0,0,0,0,-0.107215096485132,0.355132956352223,0.041114250949094,0,0,0,0,0
TRX,0.0641332775046914,0.100697738011463,0.249921792509308,0,0,0.00181293178508758,-0.118674336833365,0,-0.0607514592929999,0,0.136721943389202,0.211794311331534,0,0.126223604544819,0,0,0,0,0,0.0517755706328411
BSV,0,0.35187988011488,0.434172129613135,0.139978455048252,0.216764658873313,0,-0.0535284623255728,-0.0165475940875364,-0.154439844142603,0.167792070912882,0,-0.221282995148732,0.177700767905109,-0.248452976097753,0.0747250273210933,0,0.283205743773857,0,0,-0.0909501205421777
XMR,0,0.305512876461941,0,0,-0.0675405930667407,0,0.036928144828267,0.210883895048497,0,0.300557013313127,0.0758980489670492,0,0.233142237767019,0,0,0,0,0,0,-0.0273245534659484
DASH,0,0.0721544084153828,0,0.150450052894132,0,0,0,0.160273002088385,0.0255403684494127,0,0,0.275744746324343,0,0,0,0,0,0,0,0
MIOTA,0,0.350992793930459,0.107690138048292,0.126333470455655,-0.0992608115334478,-0.085138898584868,0,0.089726134582228,0.158261189874253,0.125462264324903,0,0,0.108084595310358,0,0,0,-0.0948113949885749,0,0,-0.0558694858335721
NEO,0,0,0,0.0626277732483853,0,0.0600537986368232,0.105236792060006,0,0.315825060195599,0,0,0,0.329258090661423,0,0,0,0,0,0,0.0373830128869254
BV010082.INDEX,0,-0.158838152852743,0,0.19183934750543,-0.0196813190101092,-0.285042636581967,0.0641685151632905,-0.0531279423908005,-0.0924510198566051,0.225837282711714,0.132698763505962,0.0843631369503014,-0.0841801052108477,-0.0542180415494196,0.188208137284401,0,0,0,1.09730828816773,-0.0494330343276142
CVIX.INDEX,0,0,0,0.0140130084899421,-0.130389198160061,0.215897974347137,-0.0859366633614815,0.00950253860075309,0.0697430253714501,-0.563675462077428,0.0162013860059811,-0.178346353382414,0,0,0.0393788530839578,-0.185656952619031,0,0,-2.38931281498457,-0.161322217967646
DXY.INDEX,-0.000701123910341377,0.00988392431788502,0.00708360806375828,0.0246703916321232,0.000000000000000000433680868994202,-0.0129655816340363,0.0083897422472476,0.0175208767057604,-0.00726972553175649,-0.0212671527543417,0.0177423136375888,0.0129504864136023,0.0240431666935891,-0.0721451398411697,-0.0245472865261549,0,0.0317399081109702,0,0,0.00741347553826393
SPX.INDEX,0,0,0,-0.0148760451735701,0,0,-0.000000000000000000433680868994202,0,-0.0298157761208761,0,0,0.0184659444519663,0,0,0.0342368040875711,0,-0.0243310734020903,0,0,-0.0767560930424485
VIX.INDEX,0,0.000000000000000000867361737988404,0,0.193943031208151,0,-0.409025353576332,0.198237529650142,0,-0.00141954855478834,0.455433589051407,0.208148471760428,0,-0.3323603682985,0,0.085041684829408,-0.952944239444178,0.312978406644966,0,-3.65880906855492,0
