,BTC,ETH,XRP,LTC,ETC,DASH,XMR,XEM,DOGE,XLM,DGB,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0.0732392321959849,0,0.313962967573266,-0.0269993192239965,0.00869356043108972,0.0759362875524659,0.0806922402359361,0.205090730505716,-0.0509657143714818,0,0,-0.0659759425091767,0,0,-0.0809667816797251
ETH,0,0,0.357299439293975,-0.333203841224506,-0.0664711884098358,0.173157371437577,0.17360048360443,0.204326289460695,0.51393521367972,-0.203577943527881,0.250474938782423,0,-1.0712250449076,0,0,0.169689134381733
XRP,-0.0264261520317626,0.0730353180948995,0,0,0.00470289633679107,0.016893655946263,0,0.0419875773861559,0.0276972847252297,0,0.0843394564369313,-0.148781984872588,0.0805303219839103,0,0,-0.103779162030201
LTC,1.59339246073419,0,0,0,0,0,0.0594597501758954,-0.23537178156239,0.00479778016912141,0.136101860629252,0,0,0,0,0,-0.042516793963165
ETC,-1.74275413246993,-2.59712133355922,2.5030903542542,0,0,1.73191752405056,0.399088421253399,0.0746130498453692,0.26788404407243,0.616324877261878,0.959512561747637,0,0,0,10.9947361647895,0
DASH,0,0.232089678962704,-0.428842677121353,0,-0.0226851012338693,0,-0.034880258751432,0.0163981797488624,0,0.239222477350388,-0.158714726261282,-0.776742403691517,0.158247287213259,0,0,-0.150032791831937
XMR,1.28035027690709,-0.0867307864793389,-0.147284023706379,0,-0.0703350925135312,0.215054163501346,0,-0.11838324929927,0,0.0648958815669014,0,0.540477249052526,0,0,0,0.13110815806424
XEM,1.07933846022986,0.0243329823362665,0,0,0.0695269300639541,0.601067528125956,0.0840915561980049,0,0,0.609150332516396,0.197775692895087,0.480251347446148,0,0,-3.72323064757,0
DOGE,0,-0.247938861572622,0.492760447682814,0.446053893145632,0,0.25285641088721,0.0440358152968847,-0.0421075949750862,0,0.230165185732775,0.0761634507706903,0,0,0,0,0
XLM,0.85808418207,0,0,0.275099314240345,-0.0436156409307075,0.0617098667066024,0,0.0589255075788705,-6.93889390390723e-18,0,-0.119077121066335,0.216954446712687,-0.0927252586833167,0,1.63989687261748,0.325610213065452
DGB,0,0.844208920653594,-0.191186803084745,0,0.154471310011786,0.261161066308255,-0.00883894366224578,-0.211682608002967,-0.495724176384316,0.811950246779714,0,0.705597960729067,0.49243644971056,0,0,0
BV010082.Index,0,0.0229914143723282,-0.425489275717236,0,0.0269144077597491,0.123021816459514,0,0.0522362010827724,-0.096314659288124,-0.0304738288337603,0.0530779009018709,0,0.0995400557820048,0.260022702265242,0.263868923767853,-0.0829149679899928
CVIX.Index,0,-0.186056032708254,0.220221648543662,-0.0761834857784676,-0.0116627436580637,0.0970766710800598,0.0824860692840911,-0.0402649547807824,0.208492477046315,0.0443624259560943,0.119622600339656,0.470385579917226,0,-2.49607813949641,0,0.29542678655666
DXY.Curncy,0,0,0.0286266918139731,0,0.00150075510494733,0.0418602442631834,0.0018840262106276,-0.00884049334646469,-0.00636276988779539,0.0133111678524221,-0.0329367768052837,0.111808747699639,0,0,0,0.0210058386637289
SPX.Index,0,0.00318226097003381,-0.0639503006686389,-0.0102542770986471,0,0,0.00638049514718423,-0.0126274931628924,-0.0260813529112851,0.0232108374976226,0,0.0685363653543687,-0.05642886497097,0,0,-0.0699599509166502
VIX.Index,0,0.265986314786466,-1.16772640938199,0,-0.0640293791569057,0.172601726153532,0,-0.156935403569157,-0.253920039226187,0.358559064904952,-0.266995603832861,0.442750827024386,0.397293230106202,0,-6.34481797067783,0
