,BTC,ETH,DASH,XRP,XMR,ETC,LTC,XEM,ZEC,DOGE,XLM,NEO,DGB,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,-0.307172230412375,0.112432356453985,0,0.307980593934134,0.340830486332988,0,0.145586501123823,-0.299551118436279,0.0453929670099771,0.137220582190528,-0.253769433181038,0.0401475858951514,0,0.138827340871058,0,0,-0.0883549204579211
ETH,0.195465076350986,0,0.0631453557848147,0,0.922104685352197,0.511667864279255,0,0,-0.155036659657021,-0.253683540506441,-0.300240601166002,-0.407054740169746,0.142442382251738,-0.00000000000000000693889390390723,0,0,0,-0.0312532945128049
DASH,0,0.00072796765036929,0,0.106318739809478,0,-0.00657246616939843,0,0.121692794619319,0.1337420218263,0,-0.169378789409438,0.432139802916433,-0.0736264615968313,0,0.667842597496119,0,0,-0.0717510498097487
XRP,-0.00969442991872662,0,0,0,-0.0133701811513279,0,0,0.0490559207814156,0.0760040173760743,0.400434026218292,0.0728400426980215,0,0,0,0.00000000000000000173472347597681,0,0,0
XMR,0.0975935217268517,0.394957224591391,-0.0216852785856553,0,0,0,0,0.261267469640413,0.203875128221372,0,0,-0.0846018878698239,0,0,-0.456310484791873,0,0,-0.172451616229591
ETC,0.454192304463991,0.117542624093882,0,-0.07693617650718,0,0,0.683401831426411,0,0.0743492188069043,0.308961716463094,0.181965721305221,0.20058322101726,0,-0.128821495942583,0,0,0,0.0543101540246563
LTC,0.125011892881336,0,0.0238440839484563,0,0.135021291397401,0.11438881677982,0,-0.0958609010758139,0.046616615846143,0,0.0333439222376863,0,-0.0181854982254862,0,0,0,0,0.0873703915657865
XEM,0.177724761509586,0.449846846046525,0.348458030855878,-0.0943573420799863,-0.086464005607682,-0.123496381984045,-0.855627291406096,0,0,0,0.233271001886859,-0.0439621850757219,-0.197960744092836,0,0,0,0,-0.383101811482604
ZEC,0.244680918370926,0,0.268608067794466,-0.0278344519401111,-0.0374380563060199,-0.159790790962769,0,-0.0604930831388848,0,0.582162008931917,0,0,-0.163927117404579,-0.537813673633988,0.0622269559420924,0,0,0
DOGE,0.224994373400329,0,-0.100334438818567,0.127663242465588,0.0227577001662124,0.0648041504309043,0.134655317559209,0.0557224655870304,0.234763487026469,0,0,-0.0506347776358623,0.249872665418348,0.304556899516899,0.0752743787890303,0,0,0.00225786779331503
XLM,0.358662822368429,0.16638391957896,0,0,0.268485083550289,-0.109378571757272,0,-0.0442729799830498,-0.116643686735716,0,0,-0.0577369029660774,0,0.0775545199050261,0,0,0,-0.150420928167382
NEO,-0.532886405669707,-0.270899693475565,0.068540406682338,0.0043360085807434,0.37852622665801,0.341206532275225,-0.676887783420872,-0.0127208924971301,0.361225720708805,0,0,0,0.209426507691443,0,0,0,0,0.256489162507159
DGB,0,0.0337971517789806,0,-0.0610545682831133,-0.109794218572291,0,0,0.037803783352649,-0.0591827383488401,0.691967074859259,0.314890957496831,0.140705544934189,0,-0.231163118588447,0,0,0,-0.434175953361027
BV010082.INDEX,0,0,0.0561770342097985,-0.000000000000000000867361737988404,-0.0848496907927802,-0.0907958303673869,0,-0.0013728871459195,0,0.248702441683046,0.12480765537832,-0.0424588561681673,0.0312753005411524,0,0,0,0,0
CVIX.INDEX,0,0.00000000000000000346944695195361,-0.0221341953120713,0.0840306033029597,0.0552496515276344,-0.171091155613882,0.165182814238249,-0.146965129031908,0.10142236395387,0.32568195715554,0.0658850166602747,0.0349205222155263,-0.0662686120730478,-0.0690206981435674,0,0,0,0.340628917997229
DXY.INDEX,0,0,-0.0052999528409876,0,-0.00788251383315413,0.0245160814084894,0,-0.0134605085172123,0,0,0.000489703740518784,0,0,0.126775371503115,0.0271326970775397,0,0,0
SPX.INDEX,0.0358672191052286,0.0220266611412149,-0.010986540295948,-0.0181247855167055,-0.0125908483480367,-0.0274863761266788,0,-0.00155666517845311,0.00000000000000000010842021724855,0,0.036925536978146,0,-0.002486894518022,-0.0317961189330205,-0.0163520540220349,0,0,-0.0272506042873009
VIX.INDEX,-0.658963226500191,0,0,-0.0723388829192336,0.17484242984751,-0.168509412411522,0,0,-0.0377160666499679,0.390986519050888,0.464278961369528,0,0,0,0.523138202988352,0,0,0
