,BTC,ETH,ETC,XRP,LTC,DASH,XEM,DOGE,XMR,XLM,DGB,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0.0129829014294084,-0.0304336821725751,-0.0500667723769117,0.499945747226403,0,0.054054647272332,0.0616535683472465,0.180307940100103,-0.0137799739950718,0.0571845414565857,0,0,0,0,-0.0422539569202214
ETH,1.56624520132831,0,-0.346317927710289,0,0,1.198443121978,0,0,-1.47637480352086,-0.283862064536173,0.173459714357526,0,-0.21750258365786,0,0,0.0129932518024797
ETC,0.228562911078594,-2.09081010821408,0,0,0,3.33902294487029,-0.00246695635427403,3.51405947728473,-3.05814690645272,0,0.356334353297305,-0.187604112776371,-0.156948501130226,0,7.05871216102073,0.547658086381563
XRP,0,-0.0177835938272966,0,0,0,0,0.0770385602532766,0,0.053381660774181,0,0,0,0.051648289692899,0,0,0
LTC,1.12383136789823,-0.168671755217625,0,0,0,0.551958142501332,-0.123474969191192,0.0983655530390629,0,0.185076221834866,0.000802837639963904,0,0.0908981573989321,0,0,0
DASH,0.429132543606365,-0.0713745120072062,0.0169775699574896,0,0.0395775623917402,0,-0.0450109800482631,-0.253888225679604,-0.216061424244688,0.215349468653348,0.238296856069277,-0.375340361111462,0.152735273722247,0,0,-0.0822668116266389
XEM,1.37756649121107,0,0.0467772876282437,0,0,0,0,0,0,0.617922575278317,0.367546280570475,0.731197767767452,0,0,0,0.319176365817802
DOGE,0,0.10586453903703,0.0217938225621305,0,0.41088080400208,0,-0.0609203946943914,0,0.286310169746528,0.0454688349869881,0.0148198090557932,0,-0.199563041400715,0,0,0.07873282603344
XMR,1.21082259462835,-0.205835064347381,-0.114145493021357,0,-0.27534549466803,0.25605306852267,-0.0812668610664142,0.208172773395659,0,0,0.055585804790836,0.739317422841627,0,0,0,0
XLM,0.679248425931695,-0.234857131454508,-0.0610615139581173,0,0.157439768928995,0.276042845483564,0.197760618155588,0,-0.109441340539033,0,-0.0511322399436634,0.153188487505876,-0.399918849243335,0,1.94673744503174,0.35340572519068
DGB,-0.360486684058714,0.615300348111191,0.144515585587289,0.233300632038428,0.369274642926094,0.327337424232225,-0.0189468239043863,-0.529272395991829,0.13331378038655,0.400895377007897,0,0,0.779542071553915,0,-2.80054708604813,-0.575957139731652
BV010082.INDEX,-0.281920693588924,0.0708971050905224,0.0408942970720005,-0.170660096392205,0,0,0.0438376251164035,-0.0702714681548424,-0.00772228388998313,0.0512877566758017,-0.0239247562646398,0,0,0.483867819620173,0,-0.132976764798843
CVIX.INDEX,0,-0.14121625747352,0.016919570494749,0.0539705593190937,0,0.33542132927379,-0.0748670421009797,0,0.0699980318906932,0.15016008708323,-0.0269476625356797,0,0,0,0,0.136385667006737
DXY.INDEX,0,-0.00198165457734478,0,-0.0161002827399702,0,0.0644968045360244,0.00545751912907358,0,-0.0121390518635966,0,0.00357340836520902,0.167130531329473,0.0100048662729016,0,0,0.0231831783772475
SPX.INDEX,0,0,0,0,0,0,-0.0129865703506454,0,0,0.0274444655876969,0,0.000667166282844434,-0.042875067524875,0,0,-0.0803859230626355
VIX.INDEX,0.120868528121772,0.0982865428851437,0.103508252598884,-0.835174310023257,-0.0530171179442936,0,-0.117280783530955,-0.779169972914325,0,0.522427089785008,-0.24221833852967,0,1.11697987677883,0,-0.751063205580071,0
