,BTC,ETH,BCH,XRP,LTC,XEM,DASH,MIOTA,ETC,XMR,NEO,ZEC,EOS,XLM,DOGE,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,-0.151398191360995,-3.46944695195361e-18,0.266994359740291,0.163938749736199,0.200481359680661,0.0636567842486586,0,0,0.0388372516895335,-0.0625352933831498,0.0256987288828363,-0.0182718559045878,0,0,0,0,0,0
ETH,0,0,0.00269827594722377,0.237098867433038,0,0.0958049438951324,0,0.191758971302265,0.034480218196268,0,0.0282512462967565,0.231240882165953,0.0341859319416816,0,0.229540017860972,0,-0.358885419439297,0,0,0.160641970833109
BCH,-0.230427992760394,0,0,0.197591857172061,-0.248590820702673,1.11700850024244,0,-0.694567021155626,0,0.323699342216442,0,0.397730653253107,0.101181894181025,-1.17498930904041,0.566629588926044,0,0,0,0,-0.399365106093268
XRP,0,0.400461359848243,0.0477259553155678,0,0,0,0,-0.128486369069245,0,0.143216071832529,0.119460134830794,-0.0364109142572364,0.0318150141036519,0.214072208982511,0,0,0,0,0,-0.0476544914531105
LTC,0,0,0.000313436409209393,0.0584230431201949,0,0,-0.10075355243478,0.115689323271795,0.258291944890473,0.0885544495835501,0.00191845671866092,0,0,0.023180860097836,0,0,0,0,0,0
XEM,0.0812089092271051,0.16623069842868,0.0540801865775252,0.19007387772305,0,0,0,0,0,-0.244562003106387,0.0961933711570517,-0.108277319314555,0.12880093553516,0.392452736973023,0.0125742406075255,0,0,0,0,0
DASH,0.211970886427333,0,0.0225025686387172,0,-0.139864687485534,0.0774151838935638,0,0.180688986163655,0,0.0580315209372016,0,0.29802247891499,0.0810942102570023,0,0.118380258795533,0,0,0,0,0
MIOTA,0,0,-0.230341013648596,0.0964378377985477,0.0497760305189725,0.10447451592374,0.332958184623184,0,0,0,0.125584287026812,0.373730316796375,0.0171607988530288,0.260578652875032,0.0724215911180222,0,0.537893126714723,0,0,0.225552546039521
ETC,0.0495199946647505,0.318487276567564,0,0.14801515048177,0.257295306581696,0,0.115673327584212,0,0,0.0154211323334124,0,0,0,-0.0970622416958344,0.0102296616997002,0,0,0,0,0
XMR,0,-0.245045989246585,0.0806320381942612,0.352632356539329,0,-6.93889390390723e-18,0.269685770249603,0.090521618670716,0,0,0.0610378652434398,0.164526472488589,0.0300658923183791,0.17300870563634,0,0,0,0,0,0
NEO,0,-0.303867197453696,0.00575687319928135,0.031223485446315,-0.0229816541427179,0.281717538773741,-0.0496887558192219,0.331188807830212,0,0.141786991971305,0,0,0.102571090397304,0,0.14712233984932,0,0,0,0,-0.0863035565924977
ZEC,0,0,0,0,0.0309112029323682,0,0.196645698376842,0.131780614127346,0.072177088203173,0.0220751171630129,0,0,0,0.022786727675667,0.352655782787681,0,0,0,0,0
EOS,0.339524064232302,0.307447896274538,0,0,-0.462082725942436,0,-0.273829603194806,0,0.360411420322854,0,0,0.506621950529797,0,0.346595449614703,0,0,0,0,0,0
XLM,0,0,-0.0617164176383867,0,0.0241676130585647,0.338617077246005,-0.3504618327427,0.0906776088166981,0,0.5364150862234,0.0113376204477952,0.160189645829111,0.0921834686520045,0,0.193194643464987,0,0,0,0,0
DOGE,0.334966854007746,0.334151487908087,0,0,0,-0.0397215243355282,0.167128863941883,0,0.0167489384063696,0.0146360510933847,0.0623275605722374,-0.0626432035288598,-0.0646995614827595,0.318502478973569,0,0,0,0,0,0.0127334119542096
BV010082.Index,-0.0621189799255526,0,-0.014403747306758,0,0.0498282559252827,0,0,0,0,0.0261763837110125,-0.00421741934178254,0.0460982970943407,0,-0.0451705498710266,-0.00193549209369052,0,0,0,0,-0.0071643862992077
CVIX.Index,0.00537372646337289,0,-0.0253565022544859,0.0753242316757419,0.0179900947875146,0.00674493109977527,0,0.00969946214966368,0.122955705922642,0,0,-0.0888179035631544,0.0205898412126122,-0.0588212344216011,0,0,0,0,0,0.104285846915902
DXY.Curncy,0.00719681096823544,-0.00228438691335307,0.00245079046734014,-0.0053894586099324,0.020370045690337,0,0,0.00690263000848161,0,0.0120354725428748,-0.00136865773636075,-0.0223008290347269,0,-0.00209054916478888,0,0,-0.0163287846254271,0,0,0
SPX.Index,0.006672153223832,0,0.00450667774228029,0,0.00252716824586108,-0.00335196433142896,-0.017090521958933,0.00697010101034284,-0.00704294798804597,-0.00907163925065515,0.000223906459306271,0,0.00320558710045044,0.0044434686028061,0.0100110204575107,0,0,0,0,-0.0535912220813898
VIX.Index,0,0.087726846978948,0.0631943684611856,-0.0692077087405214,-0.0815213818558784,0.273691499311303,-0.363797712780954,0.228603250038203,0,0.201889989193975,-0.398611402906649,0,-0.128780768432612,0,0,0,2.33161278862508,0,0,0
