,BTC,ETH,XRP,LTC,XMR,DASH,ETC,XEM,ZEC,DOGE,XLM,NEO,DGB,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0.325133370565088,0.142764987608705,0.251385550146038,0,0.129654552553115,0.0775112527648967,0.0280244014915847,-0.136519495685208,0.0919676831263907,0.0679518427369631,0,0.0567582247537415,0,0,0
ETH,0,0,0.0917366254579149,-0.206062677431221,0.124115648838364,0.35488228276701,-0.0656888418880091,0.0457199387398467,0.0290010086781435,0,0.0647557897519841,0.054140625140737,0.241137796541202,0,0.14797420300363,0,0,0
XRP,0,0.195353914544048,0,-0.0611155733239219,0.0264752905753094,0,-0.147371325938382,0.0866442771019579,0.0694010103312306,0.47332637485374,-0.0219917235883654,0.00469824015017551,0.0310529856642966,0.119774996065129,-0.126418042496218,0,0,0.0979310278419784
LTC,0.669692071039893,0,0,0,0,-0.174614632411725,0.145198339412247,0.129411418844331,0.0868023873373495,0,0.0297699978809889,0.00736288554179025,0.00843492464266041,0,-0.165884942062473,0,0,0
XMR,0.797678914581551,0.148267207759327,-0.182038924996317,0,0,0,-0.0243135278178445,0,-0.184578604780979,0,0.17511149130877,-0.0224046316591962,-0.108918397676252,0,0.507032780150027,0,0,-0.138598296976501
DASH,0.712296947200965,0,-0.195093263982383,-0.308807548139303,0.1236266992894,0,0.246945366566779,0.0373124549719016,0.0187781452907348,0.316610334703462,0.227195803632781,-0.182888769241878,0,0.354850740129247,0,1.81408090203824,0,-0.00792916572372567
ETC,0.425839173927761,0.376591160820058,0,0,0,0,0,0.0297498330386215,0.148838758405656,0,0.302871304789105,0.0668545441884841,0.150376810967001,0,0,0,0,-0.15461116770604
XEM,0,-0.278269599258629,0,-0.00000000000000000693889390390723,-0.439098791129229,0.727379186536737,-0.000000000000000000867361737988404,0,0.304335708807065,-0.125460275160828,0.339450291576194,0.0828843160018135,-0.215483279631447,0,-0.745428240172308,0,0,0.42683631368899
ZEC,0.44814517441595,0.0239172324387153,0,0.2660244400938,0,0.0241388098291062,0,-0.0435862735400356,0,0,0.202397753985056,-0.231452413217057,0.148148108280922,0,0,0,0,-0.0251579479802109
DOGE,0,0,0.267843048078761,0.0315665764718761,0.0779868188182841,0,0.0260050709550168,0,0,0,0.244053058485271,0,0.0550849545180971,0,-0.141246285797948,0,0,0
XLM,0,0.0243152193179194,-0.168836320338987,0,0,0.124734234844174,0.149582244962567,0.062887056105035,0.0674191478046799,0.287786022379919,0,0.0650825249687325,-0.0362011144768165,-0.363751151694034,0,0,0,-0.00241866476769342
NEO,0,-0.0314689638849996,0.578487173635133,-0.185746571727598,0.241222050769555,-0.42335425339025,0.0779519951827782,0.204413128896191,-0.160604529675724,0,0.729071797666819,0,0.117031362231563,0,0,0,0,-0.340413841979281
DGB,1.17366321250104,0,0,-0.834718548366762,-0.224619589166481,0,0.187462122217062,0,0.0260371999769038,0,0,0.181938589345007,0,0,0,0,0,0
BV010082.INDEX,-0.186465715296637,0,0,-0.0194631946158089,0.126411658509211,0.0195543608736847,-0.00637821635412067,-0.0293600127881024,0,0.11800678983687,0.0824644656747553,0.00100669064421868,-0.0306700381751876,0,0,0,0,0
CVIX.INDEX,0.133743491819779,0.172211048450101,0,0,0,0,0,-0.171121197928125,-0.0172525513080028,0,-0.088028064512527,-0.0422895264262101,0,0,0,0,0,0.0255501182854759
DXY.INDEX,0,0.0220907807406752,-0.065795955235828,0.0207939619650282,0,0.00346269227862503,0,-0.00315888229946197,0,0,0,0.00473457605059316,-0.00174899047191059,0.194661138113402,0.0286897461032617,0,0,-0.0132999838402676
SPX.INDEX,0,0,-0.0128558229610446,0,-0.00935653187514194,0.00994287204126794,-0.00593040618360256,0.00364983533012402,-0.00283309132723918,0,0,0.0079673880806942,0,0.0506221471412295,0,0,0,-0.0605955519660897
VIX.INDEX,0,-0.29983325778277,0.429614015512347,0.161642947984164,0.170651353382173,0.247008090636616,-0.46172620113899,-0.27613062360002,-0.0572655649895808,-0.214430487599261,0.160468248073244,0.145660646398872,0,0.429442743796468,0.126256067737068,0,-2.72025195101288,0
