,BTC,ETH,XRP,BCH,LTC,EOS,BNB,BSV,XTZ,XLM,ADA,XMR,TRX,LEO,ATOM,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0.241964435214464,0.0788879222338456,0.0882210089204872,0,0,0.0545552126931693,0.0643808536754986,0,0,0.20602228466891,-0.0971303385924308,0,0.0917267412350254,0,0,0,0,0
ETH,0.0609231886223492,0,0,0.173283172896059,0.0767231581213715,0.0620322753740297,0.313124996708684,0.0047517437838851,0,0.0138888376507614,0.0779724560890428,0.173377387635668,0.00510924947658844,0,-0.000000000000000000867361737988404,0,0,0,0,0.0488960382557719
XRP,0,-0.085541885269675,0,0.241996685081628,0,0,0.134132811203534,0.0561486056555355,-0.0606859729426797,0.0459408578100412,0.263087892567296,0.14675990811061,0,-0.00126278009398916,-0.194532655065244,-0.0569480627326001,0.153439151952787,0,0,-0.0486627068823821
BCH,0,0.15805481968448,0.311577854568459,0,0,0,0.037652389825789,0.0726013536941384,0.0147532768628411,-0.0822797097116157,0,0.0197037262407629,0.281896732382316,0,0.141973820931374,0,0,0,0,0
LTC,0.251016158652568,0,0,0.0971717940435427,0,0.469710214427862,0,0.039968638539111,-0.00752493236507707,0,0.0427201121764188,-0.0422420727431548,0,0.0191470399069507,0.100523417620833,0.0446877819553671,0,0,0,0.0298106293208889
EOS,0.125713760755817,0.391345884078263,-0.148919692449398,-0.121307921126897,0.507690605761645,0,0,0.0115014039329024,0.00191778952633406,0,0.0961995292977527,-0.00000000000000000693889390390723,0.220530096710192,0,0.0714840120176042,0.121416353784172,0,0,0,0
BNB,0.0716326777523219,0.425392557508288,0.0700936470098956,0.0798805189095274,0.148441702518313,0,0,0.00543217698927591,0.0724419831716255,0,0,0.0878878405170845,0,0,0.0277972526170757,0,0,0,0,0
BSV,0,0,0,0.562457956744677,0,0,0.0000000000000000138777878078145,0,0.119464956769189,0.200508101259361,0.203733427051521,0,0,0,0.0000000000000000138777878078145,0,0.0197443375017893,0,0,-0.0488465156030491
XTZ,0.466013596793924,0,0.749308773264516,0,-0.418091374081972,0,0,0,0,0.266803830492929,0.383324334903157,0,-0.252918615520899,0.271178038889615,-0.171902881068339,0,0,0,0,-0.0406064201300162
XLM,0,0,0,0,0,0.060476288666538,0.1432722203561,0.132657963310707,-0.149399326706129,0,-0.0860886637405427,0.0545711282758522,0,0.374899382549537,0.276051457292021,-0.247317924247824,0.273620131835443,0,0,-0.0229823952388282
ADA,0,0,0.0679006066057086,0.0111971678865625,0.0101149235379187,0.413039698888288,0.0261602022492089,0.0193753831776354,0.0196679907478367,0.054713887657889,0,0,0,0,0.134906787977747,0,0,0,0,0
XMR,-0.232103079355788,0.0679555910471413,0,0.152067631483128,0,0.445397712997578,0.267414789382585,0,0.124900052958141,-0.0104959406521425,-0.158937722281613,0,0,0,-0.0929547109470649,0,0,0,0,-0.0660738878646549
TRX,-0.335891586635676,1.21287597523236,0.365557572761998,-0.0946033806323237,0,0,-0.00704548061278651,0,-0.124821198780729,0,0.102360235314179,0.44539800836419,0,0,0.0296459784556572,0.324226726862039,-0.0695652504274167,0,0,-0.0858667473059494
LEO,0.368754576836756,0,0.067445825318839,0,0,0,0,-0.0332704251911591,0.0893460713350371,0.0387737466894322,0.0357406549351132,0,-0.177605850419116,0,-0.0993917580033768,-0.216049138944391,-0.0158922557592647,0,0,0.0646253306661878
ATOM,0,0,0,0,0.140274463163542,0.184104854946104,0.325031556219837,0.0473952247550558,0.00000000000000000173472347597681,0.466733647883832,0.305794011305478,-0.540297623831949,0,0.0816954130137564,0,-0.417127880531057,0,0,0,-0.0434674476465461
BV010082.INDEX,0,0,0,0.225292940064172,0.0325886194114851,0,0,0,-0.0233076844004652,-0.26578186561946,-0.137078299199088,-0.20693914659021,0.148049132817537,-0.221103173074662,0.0130147624531953,0,-0.404604104280287,0,0,-0.1434186376607
CVIX.INDEX,0,0,0,0.153036350766218,0,0,-0.0335131671376833,-0.0384553516964322,0.0556176181794263,0,0,-0.0471220834515876,-0.0133532221551423,0,0.144566697723787,-0.373452505274666,0,0,0,0.0359403338124654
DXY.INDEX,0,0.067051028904095,0.0141896616216048,0.0225694867551924,0,-0.0269639839095413,-0.055561432308451,0.000781981150873988,-0.0126303722816641,0.0000000000000000000542101086242752,0,0.0183955291978052,-0.00250933941674288,0,0,0.0060474925261476,0.0199103853858603,0,0,0.00323098715835385
SPX.INDEX,0,0.0176111969624023,0.00943472402963727,0,0,0.0290519586972349,-0.0192296030529985,-0.00956863131276094,0,0,0,0,-0.000819446660141003,-0.0151596786325717,0,0.0318312270366969,-0.0106549054035001,0,0,-0.0418896808423143
VIX.INDEX,0,0,-0.325387200338896,0,0,0,-0.400585919674156,-0.100709678963234,0.0807962746159177,0.217248369504802,0.422873470982785,-0.264419485880449,0.37982031096129,-0.376085439631367,-0.319751356404409,-0.625757754681434,0,0,-3.12851194192664,0
