,BTC,XRP,LTC,DASH,XLM,DOGE,XMR,XEM,DGB,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0.615879851026865,0.0258969584396747,0.070728784166727,0.183364952250807,0.0440753504738605,-0.0360709883667533,0,0,0.0612839542485438,0.0112361374143359,0,-0.0491329353330701
XRP,-0.675400640211673,0,0,0.241321925605598,0.579545726474217,0.824141134818712,-0.27296600740685,-0.21422393639551,0.0758110128357622,-0.839175108152934,0.162840549435117,0,0,0
LTC,0.889279456755697,-0.00876539974792386,0,-0.0378929679619506,0,0,0,0.0656601000572388,0.0307817908437796,-0.456831878434347,-0.0819472511048723,0,0,0.23018536208521
DASH,0,0.152457595580714,0,0,0,1.56064486297975,-0.139470144804403,-0.0381506098903074,0,0,0.168088721033207,0,0,0.00829690852482627
XLM,0.608581252129811,0.683865041820552,-0.264885142265841,0.328003136253725,0,0,-0.131665509238209,-0.294079603675396,0,0,0,0,0,0
DOGE,0.271310220237739,0.157602836758639,0.344676182766668,0.0582469825435291,0,0,-0.005005503431766,0.0204427240740392,-0.0393391326326844,0.635160755789847,0,-0.827404271672689,0,-0.00414093583884415
XMR,0.187774931312151,0,1.52059115951513,-0.228137432948733,0.0210714304906907,0,0,-0.0490827262730736,0.154751868621126,1.15265160163495,-0.346159726777049,0,0,-0.201207409108032
XEM,-3.00520215378183,-0.209127365325334,3.18376292172077,0.233487473901631,-0.431182589617815,2.88876139094315,0,0,0.0249518362347647,0.698749131251264,-0.444432835692417,-4.62134461176689,0,-0.727755011015147
DGB,-1.00037363956531,-0.194980208040096,0.98337072583355,-0.250271632975323,-0.14616437322118,0.834936041663917,0.428984929692995,0,0,3.16783369948627,0.314636209863007,-2.37170459022447,0,0.0740254747543885
BV010082.INDEX,0.0743822834640602,-0.0596404671252337,-0.308676476834453,-0.0415795283400595,-0.0501802479056896,0.032974185108147,0.0531694252688639,-0.0103753170466943,-0.000000000000000000867361737988404,0,0.0465738725392906,0.688010659196794,0,0.116406648551964
CVIX.INDEX,1.61157739285379,-0.224625537277234,-1.29170930344925,0.043994738977366,-0.226388875927642,-0.34428214029006,-0.00486987498100207,0,0.0816149715626689,0,0,0,0,0.101926779248754
DXY.INDEX,0.134917756418097,0.00819736606547382,-0.0090183975572996,0.00943712130222235,-0.0129998001724438,-0.0663296805207349,0,0.000516411229019773,-0.00517458354725211,0.156952210175468,0.0924082126860388,0,0,0.0440799304922582
SPX.INDEX,0,0.00401634695576698,0.0686817495922558,-0.0180610518967731,0.0275815825684329,-0.0690993485993721,-0.00691513069238949,-0.00596205086811271,0.0122763116722104,-0.0415156085927599,-0.00970503890650444,0,0,-0.111175150047547
VIX.INDEX,0,0.160745116575439,0,0.0306906326618755,0.109252776853055,-0.236139827106477,-0.0664644027978557,0.0413506774066681,-0.0105017413636652,0.681277367718787,0,0,-4.19474415161354,0
