,BTC,ETH,XRP,LTC,ETC,XMR,DASH,XEM,DOGE,XLM,NEO,DGB,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0.0807433214579501,0.00689832769264123,0.255251580713341,0.0281859488733085,0.0363697456765754,0.0942055237920493,-0.0433272560590423,0,0.0155808701409333,0.0304803768883856,0.0599734997301388,0,-0.187889935200298,0,0,0
ETH,0.185479976310211,0,0,0,0.143829439819227,0.0431734123531264,0.120623977073336,-0.100972075021401,0,0.156774205303419,0.00113127297946803,-0.0219765617995099,0.759665051837104,0,0,0,0.0467974301640765
XRP,0,-0.3703776366165,0,0.129494344056893,0,0.0460803084387593,0.230238055918598,0.120744735178936,0.334449701046526,0.437452525413361,-0.0971371783446951,-0.0370004916396751,0,0,-0.878629715858018,0,0.0677859007104959
LTC,0.388844206306136,-0.146084988818007,0,0,0.125824477981073,0.0158088527326828,0.00896728257566855,0.00810530674903392,0.127856989739021,0,0.0204379029253466,0.0839660208080149,0,0,0,0,0.0436122195219493
ETC,0,0,0,0,0,0.0529063689782375,0,0,0,0.0556191568694892,-0.0706738711517295,0,0,0,0,0,-0.0468327910423349
XMR,1.46358991292007,0.201785832811332,-0.169910907254209,0,0.206073494449348,0,0.183419345328499,0,0,0.152448121830155,-0.260543256968768,0.128821989515223,-0.629753110331928,0.6903908730361,0,0,-0.125914620709423
DASH,0,0,0,0,0.0426654801647446,0.0539243036833693,0,-4.33680868994202e-19,0,0.0501254493815153,-0.0907096354063462,0,0,0,0,0,-0.0367270669177686
XEM,0,0.48273512785651,0.293651024051873,0.239169676886093,0,0.178209770526564,-0.815406648127169,0,-0.138307958560808,0.0652231082848652,-0.0672958843323074,-0.142363224770939,0,-1.25904793045278,0,0,0.016692195473808
DOGE,-0.132106467923239,0.0321947591120518,-0.0268942532444135,0,0.0826519847784574,-0.0286542580439202,-0.11919360665641,0.163579441318118,0,0,0,0.096080922846937,-0.994374102230462,0.503430710798098,0,0,0.0471198677359259
XLM,0,0,0.540230563848719,0,0.129864594307972,0.0301082346606252,-0.232003509964442,-0.166159609175752,0,0,0.0246029249418541,0.171768099707674,0,0.518516528612065,0,0,0
NEO,2.29022320927669,0.753140054073714,-2.92337067885964,0.876600413889164,-0.183136181214582,0,-3.81615787910411,0.507647472339404,0.915432110923541,1.74768215051228,0,-1.59560914693554,0,4.11347756404881,0,0,-0.672947727642016
DGB,1.91690878127928,-0.524254118268413,0.222837346231434,0,-0.183716686955184,-0.0112621558111029,0.109449253682249,0.282389544629538,-0.237605361009483,0.181407157963505,-0.0546568926449099,0,0.417417680958479,0.943019018519372,0,0,0.0213909830311304
BV010082.Index,0,0.0803793896615218,-0.0771811471651951,0,0,0,-0.250752557645715,0,-0.193629123596207,0.0315814458262956,-0.0281962847852384,0.0551734102449307,0,0.0596842796873162,0,0,0.0454792170681711
CVIX.Index,-0.140461971323663,0,-0.120946263790695,0,0,0.0438735770449916,0.0714349065769524,-0.117852368233695,0,0.192154799580005,0.0108168125825386,0.0188803517782709,0.206895668755803,0,0,0,0.118743589611621
DXY.Curncy,0,0,0.0152327060557345,0,-2.80186238223555e-05,0.00404807445870261,0,-0.0149193418501616,0,0,-0.00266545617396644,0,0.159367896874275,0,0,0,0.00300220672018848
SPX.Index,0,0.0345764800274979,0.00240068779691423,0,-0.0208214637844789,-0.00771239987061412,0,0.000613379391817559,0.0189070829821979,-0.00737977370798226,0,0.0133119724409815,-0.067332358364031,0,0,0,-0.0669243107595651
VIX.Index,0,0.431334592373687,0.101352987862866,0,-0.242085560360441,-0.146639568169973,-0.258792879926387,0.228569550220131,-0.000703132902703234,-0.204071635895138,-0.0331764145890212,0,0,1.05380148753207,0,-5.92545085585505,0
