,BTC,XRP,LTC,DOGE,XLM,DASH,XMR,XEM,DGB,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0.0389855775414578,0.129411511217644,0.10582936754268,0,0.109639341755912,0,-0.0222834577141043,-0.0323415013763866,0,0.0756103341838326,0,0,-0.0516290747301124
XRP,0.893344203828381,0,0.0615587904731503,0,0.268363052918537,0.214965163990881,0.0712159547062236,-0.361801942824569,0,0,0.233764923150527,0,0,-0.111749518154401
LTC,2.42876919590887,0.10248545445722,0,0.0676737712986876,-0.502489096115744,0.388787276067314,-0.149771373353313,0.164754476870104,0,0,0.201478185219235,0,0,0
DOGE,0,-0.194342066686779,0.0203486500467622,0,0.82900868676096,0,0.318664687528936,0.0580847187672477,0.460311881135696,0,-1.53532462455143,0,0,0.270089561023614
XLM,1.85599403442698,0.578238345259863,-0.136245605584884,0.10491498259838,0,-0.242531568642836,0,0.471848485134332,-0.18245625263923,-0.738362262357802,-0.0978554069334135,0.121129299497724,0,-0.151538021291482
DASH,0.380846473974512,0.0192316061019255,0.193784833035632,-0.101193023103651,-0.0303326710412554,0,0,-0.0206672952302452,0.316775404668567,-0.268336920072099,-0.172474330105918,0,1.68177440370799,-0.153405238868401
XMR,0.622792181086639,0.649582100835972,0.148096171248087,0,-0.408787203731838,-0.546030704373284,0,0.199799515469537,0.0734166467075331,-0.494487071803801,0.365465568459092,-1.38013302264349,0,-0.313319318848676
XEM,0,-0.291224072790738,0.309590832254352,0.44822852583964,0.11085855902286,0,0.402769988202836,0,-0.704188299660374,-0.624908885091846,-0.173728438392991,0,0,0.161433823995951
DGB,0,0.0152034614620595,-3.46944695195361e-18,0.266973745606304,-0.0982021575662351,0.15319843608159,0.356923083356646,0.135577770175942,0,0.158912197004556,-0.404998790389045,0,0,0.213914896725201
BV010082.Index,0,0.127234348098836,-0.066428053474586,0.0214633992610268,-0.04611459129615,0.108236707037437,0,0.0596653502338403,0.188223265583156,0,0.247519474346258,0,-2.40861002750323,-0.256680090386855
CVIX.Index,0,-0.0438461745634501,0.0610841998056395,-0.0422304752738106,0.170778014075463,-0.222575387839389,-0.103959518375103,0,0,0.586157626999445,0,0.822416163241853,0,0.219276039501776
DXY.Curncy,-0.0965920435497638,0,-0.0043064395763312,0.0569428365106408,0.0480264875179154,0,0.0133508472850364,-0.0112126879981613,-0.0379375170456246,0,0.11930000799162,0,0,0.00111420398813536
SPX.Index,0,0.0107435546652957,-0.00641583919992136,0.0190558206375603,-0.00121786254677172,0.00127420987157951,0,0,0,-0.0866749888218006,1.73472347597681e-18,0,0,-0.0804518720570943
VIX.Index,0,0.0318973201564565,-0.0549878096840579,0.167277061910488,-0.171989071814878,0,-0.000234385812628508,0.195443588728789,0.314030732434328,-0.844400244984809,0.129823359257416,0,-9.83702922652939,0
