,BTC,ETH,XRP,BCH,ADA,LTC,XEM,XLM,EOS,NEO,MIOTA,DASH,XMR,TRX,BTG,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,-0.103480134012907,0,0.0258631269698566,-0.0196007696268422,0.0976321463721459,0.155255742546049,0.113502306448459,0.0339902368203947,0,0.261627020169094,-0.0350622004686371,0,0,0,0,0,-0.055258238009395
ETH,-0.0336891301798138,0,0,0,0.026827432192588,0.310588290830513,-0.00810589295908753,0,0,0.0547508049504489,0.0368344748954704,0.0169168805655743,0,0,0.242562711065027,0,0,0,0,0
XRP,-0.0623074975599905,-0.0379350085464745,0,0.0268276084747132,0,0,0.137742700819182,0.332375153191675,0.276680895415644,0,0,0.263831242112949,0,0.0438234582294728,0.116326625790006,0,0,0,0,0.173747497908169
BCH,0,0.152351730582582,-0.0708973826636169,0,-0.0235567397509497,0,0.0368750779164584,0,0,0.184700768181804,3.46944695195361e-18,0.195522487550119,0.256154246899305,0.030900126687535,0.120017257493144,0,0,0,0,0
ADA,0,0,0.194216740160449,0.010199601055989,0,0.081451076581466,0.10770328768485,0.236222658581477,0,0.280247654122776,1.73472347597681e-18,0,0,0.0480410414375482,0.0195454880601401,0,0,0,0,0
LTC,0.0927330979003926,0.131578152747442,0,0,0.017731417752344,0,0,0,0.00286541898522482,0,0.198324800163778,0,0,0.0770504573155165,0,0,0,0,0,0
XEM,0,0,0.159817168717012,0.0611325910694349,0,0,0,-1.0842021724855e-19,0.0539295878053549,0.208221533255382,0.185634743536112,0,0,-0.0355771268152864,0.140349465790143,0,0,0,0,0
XLM,0,0,0.220212762406905,0,0.268822681017334,0.0995437517975886,0.00946112841890682,0,0.032026010258586,0.12157451701711,0.0828965776035922,0,0.298998501431801,-0.184811438110948,0,0,0,0,0,0
EOS,0,0.0190264191722797,-8.67361737988404e-19,0.057341365187302,-0.0461209609619818,0.319043980141168,0.0724242728908492,0.292915887683469,0,-0.0279695030475831,-0.0213708628888087,0,0,0.12574959790818,0.250663791484976,0,0,0,0,0
NEO,0,0.571529010215493,0,0,0.0101257059663182,0.00552090389040367,0.000989776927312109,0.203208995550288,0,0,-0.0917368448034245,0.216967084799006,0,0.0473404938431529,0,0,0,0,0,0
MIOTA,0.390397592339226,0,-0.20649262475931,0,0,-0.0213646227445998,0,0.312822382941506,0.436633528228204,0.101290016374966,0,-1.38777878078145e-17,0.108776108736165,-0.123581746781158,0.0518579874826798,0,0,0,0,0
DASH,-0.0290630014345419,0.0197378436485988,0.0448271861625429,0.0552107702261137,0.0175239078737754,0.235935896951761,0.00316771176030307,0,0.112547974045728,0,0.0559469405097454,0,0.0829706742779371,-0.0293164248655625,0.113409682909082,0,0,0,0,0
XMR,0.145778064217778,0,0,0.0698644482352193,0,0.15848190125781,-0.019102802653894,0.0895794138981898,0,0.300053883390841,0.0637452291698606,0.0158493496934792,0,0.0710812717057594,0.101090520684627,0,0,0,0,0
TRX,1.23550433061282,0,0.131496140412216,0.103258805006727,0.173925896788581,-0.904349832192218,-0.762070824103792,0,0,-0.138316828906903,0.43845091368419,0.259860515390321,0,0,0.356026134509428,0,0,0,0,0
BTG,0.229496477561654,0.164648699902931,0.0963868872749914,0.308866729283386,0,0,0.106775798926713,0,0.26023383660702,-0.0338733084494338,0.0197833188521508,-0.176465247910307,0,-0.0383313859974408,0,0,0,0,0,0.179514906095847
BV010082.Index,-0.0246486264848373,0,-0.0171193530608644,-0.0374608863485449,-0.008002225270663,0.00907972563357923,0.00787574248099664,0.0106033397920736,0,0,0.0122542369838166,0.0312077783652334,0.0212695788088881,-0.00466771719033709,0,0,0,0,0,0
CVIX.Index,0,0,0.0207582254175274,0,0.00639788246444286,-0.0744214161937457,0.0084128331136306,0.0167309192740246,0,-0.0537686409680241,0,0,-0.0088409035060007,-0.0243962719129404,-2.16840434497101e-19,0,0,0,0,-0.0552283133551334
DXY.Curncy,0,0,0,0.00111556657664446,0,0,0,-0.0103477665548132,-0.00467143772972894,-0.00361459657387334,0.0137898846693739,-0.0125439496083149,0.00723387223765034,0.00447107565866269,-0.0110584684564697,0,0,0,0,-0.0258980903868409
SPX.Index,0,0.00826216684676611,5.39563901382069e-05,0,0.00492400065097621,0.00129505581174524,0,-0.00444187123892513,0.00188700536959935,0.00147386157593421,-0.0007077024945078,0.00362967623137074,0,-0.00277378766036126,0,0,0,0,0,-0.0414514713879633
VIX.Index,0,-0.302139698903158,0.078085911987987,0.0960150835387914,0,-0.0110277131353468,-0.0495105460554664,-0.136812476483023,-0.0127715662082389,0.117907823938101,0.141470929887933,-0.168012088507464,0,-0.0238076316689948,-0.0353749594136284,0,0,0,0,0
