,BTC,ETH,XRP,BCH,ADA,XLM,NEO,LTC,EOS,XEM,MIOTA,DASH,XMR,TRX,ETC,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,-0.102351173154727,-0.0721013708581596,0.0469528001083252,0.14785616874278,0.0260206559854631,0.0761600317870639,-0.0236243836710336,0.124263154245244,0,0.192488001584507,0,-0.000000000000000000867361737988404,0,0,0,0,0
ETH,0,0,0.00910587880805849,0,0.0224512854812596,-0.0478820162800981,0.060343518503607,0.287196846646062,0.0380280319122987,-0.0467305166672857,0,0.0962064186152739,-0.0292278847521712,-0.00278003836979812,0.320539608941733,0,0.361121755294298,0,0,-0.0458894229998883
XRP,0,0,0,0,-0.0623965237311382,0,0,0,0.29422471774492,0.231911833430119,0,0.150325993176647,0.251970127964423,0.158964238158625,0,0,0,0,0,0.136857971686704
BCH,0,0,-0.0736029814140336,0,0,0.0427560097959082,0.179606147209279,0.0999116847996195,0.19312056964882,0,0,0.371571059706146,0.11386231374748,-0.0130484544072683,0.0773596505332344,0,0,0,0,0
ADA,0,0,0.155312197540014,0,0,0,0.11162703437012,0,0,0.156717022724297,0,0,0,0.0241678602463255,0,0,0,0,0,0
XLM,0.127902288875174,0,0.239025241393353,0,0.240946258186632,0,0.102367467182038,0.0982258104853397,0.00365330762618105,0.025546895017214,0.0446441308705827,0,0.301821625699266,-0.191479472746605,0,0,0,0,0,0
NEO,0.129512728874377,0.561563994832109,0,-0.0286708432467311,0.0307271015655804,0.134274464461862,0,0,0,0,-0.154150014735927,0,0,-0.0115449298429708,0.334422737560742,0,0,0,0,0
LTC,0.127395041866413,0.15945409553549,0,0,0,0,0,0,0.0222862011674374,0,0.172447012344995,0,0,0.0574955233505793,0.0193248465317107,0,0,0,0,0
EOS,0,0,0.016890957094575,0.165109948614421,0,0.234203808666481,-0.0314238789850534,0.34093184307714,0,0.0453576136762065,0.0320570808377946,0,0,0.134499543648201,0.105228889477125,0,0,0,0,0
XEM,0,0,0.315135331033132,0.158829245817148,0,0,0.133033111019694,-0.207645557377083,0.0332963367344605,0,0.191619347995376,0,0,0,0.0466996026626761,0,0,0,0,0
MIOTA,0.349524598979445,-0.322072969523689,-0.130419128829985,0,-0.139733566736852,0.18591921855081,0,0,0.316954803823516,0.270418039204567,0,0.0833722207063714,0.027981918546363,-0.0682572714404333,0.456502846238954,0,0,0,0,0
DASH,0,0,0.0242527221198841,0,0.0161244006628334,0,0,0.173885715460566,0.086643439852972,0,0.029267455781651,0,0.0941057476847566,-0.0119076578001939,0.273001163937807,0,0,0,0,0
XMR,0.134393041728426,0,0,0.18379022421138,0,0.127242114090795,0.0228639648808334,0.0746904667574498,0.0587256489673388,0,0,0.0559115793541814,0,0.0529998954833579,0.0593084697142653,0,0,0,0,0
TRX,1.37664500751089,0.00110819883408905,0.0720218056249423,0,0.356535917039155,0,-0.0788155343024064,-0.785744352802458,0.250792234265221,-0.836552755460559,0.390092720358289,0,0,0,0.24366667405074,0,0,0,0,0
ETC,0,0.225816160688741,0.045141494811899,0.185972238755883,0.00729119659162481,0,0.122779954337726,0,0.0971268528963241,0,0.0716307750188981,0.0261424639832056,0.293413934090113,0,0,0,0,0,0,0
BV010082.INDEX,-0.0496779706478464,0,0.00630354024053294,0.00573523105247821,-0.0313823728870209,0,-0.0240958412022738,0.0235891899816449,-0.00715747022495201,-0.00287050362904124,0.0224302306223319,0,0.0349273638622262,0.00208193606213066,0,0,0,0,0,0
CVIX.INDEX,0,0,0,0,0.0390564302744706,0,0,-0.0100789768655855,0,0.00598580816840954,0,-0.0540264544267098,0,-0.00846917297985421,-0.0369824864831262,0,0,0,0,0
DXY.INDEX,0,0,0.00473531995533494,0,0,-0.0115380556675015,0,0,-0.00300261478693939,-0.00174535649647218,0.0102883320230785,0,0.00831386609735614,0.00340495363621802,-0.0230969258507506,0,-0.0450515996049814,0,0,-0.0302428888338778
SPX.INDEX,0,0,0,0.00284561003018658,0.00627109847558137,-0.0118810269114493,0.00371654018531128,0.00401437199726651,0.00223846493725285,-0.00182777303976591,0,0,0,-0.00262782918292792,0,0,0,0,0,-0.0524327014008715
VIX.INDEX,-0.0652095529761959,-0.0536593071284944,0,0.06899755491403,-0.182763887400479,-0.017756494507482,0,-0.0826476245647381,-0.09071056849271,-0.0281406202479001,0.0975648414601535,0,0.105539220966803,-0.0136664356225521,0.0133816622703211,0,0,0,0,0
