,BTC,ETH,XRP,LTC,XMR,ETC,DASH,XEM,DOGE,XLM,DGB,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0.0773984971061923,0.113172823373018,0.258948361503019,0.0458268156814334,-0.0195166628833289,0,0.00476363498383892,0.202271237585785,0.0575166545390193,0.0637081146177233,0,0,0,0,-0.130359009159831
ETH,0.103170998135751,0,0.0799807306939711,0,0.0121571066588142,-0.0525377924783506,0,0.330601424462523,0.410884663748153,-0.323812820205214,0.250504954373727,-0.306847399643253,0,0.717974000245087,0,0
XRP,0,0.048715601002909,0,0,0.0401830907420841,0,-0.00000000000000000346944695195361,0.0665454569310532,0.0187951373888771,-0.0725659906702454,0.114429424175809,-0.08348578048922,0,0,0,-0.0683846161169665
LTC,0.866156740477146,-0.000892288505175157,0,0,0.0186876246931582,0.0103824470604844,0,0.0395002337478599,0,0.0650481307371465,0.00374388616451039,0,0.14181427831933,0,0,0
XMR,0.694828244576067,0,-1.4093386993595,0.00000000000000000346944695195361,0,-0.0316545642288847,0.518357581494155,-0.179210957394098,0.215394623732617,0.39948857554017,0.183074925407219,0,0.307312112712803,0,0,0.142863961495174
ETC,0,-2.04775051566986,1.0231426244907,0,0.218435347854908,0,0.879387360169772,0.180719142781207,0,0,0.632598263362569,0,2.12927660811837,0,0,-1.60683603881584
DASH,0,0.112806064047159,-0.454552365935367,0.101047510708581,0.0557315134907072,0.0465388917491538,0,0,0.0980972509577215,0.260630685739933,-0.136531856203121,-0.621792322113472,0.132127382630123,0,0,-0.289235312563448
XEM,1.508577937788,0,0,-0.0460986765394927,0,0.0447026833253634,0.319944551126949,0,0,0.452983442770657,0.327684088929128,0.332790746795019,-0.500019566882633,0,-2.60330158961859,0.131592950667738
DOGE,0.373697687937185,-0.0951519862906151,0.620263076218434,0,0.0440535379817469,-0.0770049290950194,0.0926859292184261,-0.160111566947066,0,0.13053502449113,0,0.146145991386213,0,0,0,0
XLM,0.3445836140112,-0.125410781195314,0.34171783367543,0,-0.00516890027855096,-0.051051519951186,0,0.0906688748576633,0,0,0,0,0,0,0,0.171207630255444
DGB,0,0.919456168281224,0,0,-0.00533599264286555,0.140525425353817,0.176667955595526,-0.20695628386094,-0.625395518487485,0.758815027129241,0,0.904694989842225,0.821345764577196,0,0,0
BV010082.INDEX,0,-0.0640069935682906,0,0,0,0.00463767485927856,-0.0452691051249151,0.0623451902462432,0,-0.050915141416034,-0.0651922011396694,0,0,0.299140243619602,0,0.150232537261449
CVIX.INDEX,-0.290808382749489,-0.122991969254076,0.0140480997425639,0.148594835062406,-0.0218353387380791,-0.00632313433860948,0,0.013084006472096,0.189060467208029,0,0.105883741943427,0.109764531277548,0,0,0,0.160963669529109
DXY.INDEX,0.0220843913530034,0,0.0192947578836386,0.0199587434082795,0,0.000223412682122291,0.0482117204753636,-0.0195847962856311,-0.0120073518115446,0,-0.0301453877551965,0.14813324195558,0.00357415083853597,0,0,0.0127251925445629
SPX.INDEX,0,-0.00101219841091145,0,0.0118154097284679,-0.00301763970259153,-0.0031452656554772,0.015028793763406,-0.0115674543097753,0,0.00189780954857138,-0.00991759157972438,0.022737887138499,-0.0084443697169532,-0.0777988730134341,0,-0.0545987471171059
VIX.INDEX,-0.109648891813526,0,0,0,0.0787433950309705,-0.0289496878391603,0,-0.178047293817685,-0.285701601493879,0.192985031638855,0.060636609467812,0.175821313255564,0.54873949503193,0,-3.91806022068154,0
