,BTC,LTC,XRP,ETH,DOGE,DASH,XLM,XMR,XEM,DGB,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0.0546571758727564,0.443216173787502,0.149087837807914,0,0,0,0,0.137940810750187,0.0814618331315094,0,-0.364581253382345,0,0,-0.141399011422839
LTC,0.471759591497377,0,-0.00000000000000000693889390390723,-0.0619656255512078,0.768128635510792,-0.160181392373142,0.259070150810306,-0.219180738482907,-0.0135873036325094,0.0364833624920905,0,0,0,0,-0.00550103640043466
XRP,0.558772006449226,-0.33454015731222,0,-0.0785687611641147,1.09937031425466,-0.221084846519662,0.211092592706722,-0.174031621140488,-0.0251330693886166,-0.000779400043140958,0.107071619875469,-0.123644139492082,0,0,-0.216250958978944
ETH,0.361273666337713,-0.41640662359299,1.25122033065306,0,-0.485726189822518,0.64647223724291,-0.517877495576336,0,-0.102816397310597,-0.0873923084553541,1.51461899024611,0.645156326253769,4.2006077972996,0,-0.00647576908622618
DOGE,0,0.464811877863912,0,0.0101782335203011,0,0.16159975100523,-0.0280634751976172,0.0756763445908542,0.0952619822931907,0.00819744271955978,-0.435418801433364,-0.129400620170558,0,0,-0.0454054495756092
DASH,0.00000000000000000693889390390723,0.414708987328311,0,0.00231332211737146,0.194764152481153,0,-0.340768058134314,0.106292190206891,0.0623037366251562,0.0161668339496452,0,0.02637447265768,0,0,-0.0393762975354676
XLM,0.0982600985431983,0.260401003333074,-0.149562234310785,0.133028447252934,-0.408223226790043,0.000277224990282945,0,0.0932246437262864,0.137713739266118,0,0,0,0,0,-0.228743064061936
XMR,0.201349332956975,0,0.0058388029591627,-0.206759567827924,-0.00000000000000000693889390390723,0.634198294414502,0.221160681541663,0,-0.0732560621216439,0,0,-0.28334098133734,0,0,-0.457255051487135
XEM,-0.357801202560153,1.12131852669622,0,-0.118503282804079,0,0.661249014521634,0,0.60239187264638,0,0.0575914977292738,0,0,0,0,0.535759990796367
DGB,-1.6671697589825,-0.549236358711507,0,0.764083799713831,1.35177822803986,-0.787764500095367,1.29003240970001,0,0.712660122255568,0,-0.0255974262770101,2.11159891855128,0,0,-0.3261698169475
BV010082.INDEX,-0.0945379789251212,0,0.151345369174001,-0.0216908227571199,0.0184637750864356,0.0753499676926428,0,0.0378859994947946,0.0313254854527933,-0.03175355862785,0,0,0.61743649724301,0,0.0457107020093234
CVIX.INDEX,0.0800007747573506,0,-0.0847772193184811,0,0,0.0056018719655968,-0.475710007442279,-0.176224546024581,0.127867941322296,0.00487342482175152,0.144997512820143,0,0,0.266060061435769,0
DXY.INDEX,0,0.00755305729399754,-0.0481390824118279,0.0113431287190299,0,-0.00276307483703193,-0.0192448798216028,0.0432794945197996,0.0130093332453276,-0.0128997118244455,0.0976769920718174,0,0,0,-0.0315500085927619
SPX.INDEX,-0.0361197671429971,0.0357115265325325,0.0290911717815332,-0.0156124309217861,-0.0812214944522107,0.0398108340948389,0.0417824167419807,0.0232928675368113,-0.012769553755536,0.00657335968389457,0,0.032653204324671,0,0,-0.0893058761404585
VIX.INDEX,-0.10884009077843,0,-0.152087868776046,0.0985882210069197,-0.0797723551552713,0,0,-0.139660535481204,0.099316669069046,0.133922754279178,0,-0.453281052892081,0,-3.99415981203788,0
