,BTC,ETH,XRP,LTC,XMR,ETC,DASH,XEM,DOGE,XLM,ZEC,NEO,DGB,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,-0.272062798529578,0,0.683215207723392,0,0,-0.182787514218461,0.103139739210484,0,0.235196995026561,0.0116191376125074,0.0166571177044912,0,0,0,0,0,-0.0240280253838745
ETH,0.350067030910753,0,0.27200019984335,0,0.155270291495802,0.231633363713852,0,0,0.39100540763083,0.0526615796201463,0,0.0156141438000143,0.0836820645096423,0,0,0,0,0
XRP,0.11754640105768,0.295967460995774,0,0,0.140116574167664,0.0707378124661713,-0.238524931857081,0,0.127280879676602,0,-0.0655960500677858,-0.083066476898696,-0.22724030748363,0,0,0,0,0.0950126336648859
LTC,0.717697665464956,0,0,0,-0.0226596118735592,0.0213637979777821,0.0919634410668187,-0.0167251133743004,0,-0.0628415401086315,-0.000677783211459789,-0.00379558317050111,0,0,0,0,0,-0.0246208282664569
XMR,-0.901720190753526,0.0348556905677907,0.217239497346374,0,0,0.116179816140836,0.824474283287977,0,0,0,-0.0381630269465378,-0.106608483526107,-0.390113766812031,0,0,0,0,0.109734778782068
ETC,0,0,-0.169116144460986,0,0,0,0,0,0,0.208718480295956,0.00915340442214064,-0.103608287255285,0,0,0,0,0,-0.0460905981241279
DASH,0,0,-0.12018742609707,0.808748579922687,0.267309939378822,0.0290851108627405,0,-0.045514332872107,-0.276549984492579,0,-0.0927627256303166,-0.0424944565902872,-0.180843539382452,0,0,0,0,0
XEM,-0.371230030224803,0.386395246802692,0.235511989310977,-0.00793568451956203,0,0.309830707493227,0,0,0.890967393882855,-0.629969599858828,0,-0.0642788680910146,0,0,-0.270294364615843,0,0,-0.120326558304034
DOGE,0,0.143191859223453,0,0.150102905401051,-0.0395133936368142,0.0114767601075066,-0.0554258966851679,0.0935658438340692,0,0,-0.00702695314216883,0.040543200407455,0,-0.251578524614189,0,0,0,0.0789844148455521
XLM,0,0,0.223052482033642,0,0.129816194907267,0.287236865093604,-0.151791677820435,-0.202060336761556,0,0,-0.0694426134264151,0.0359367894724871,0.139365690746419,0,0.357773332404578,0,0,0.0379670359264028
ZEC,-1.38687396685909,-1.19349370799287,0,0,0.702661495945539,0.462655042519833,-5.87420560877477,0,0.902446562077696,-1.38475771475421,0,-0.524992556399302,-1.44604325963403,0,0,0,0,-0.490446236740993
NEO,0,3.06730828465437,-3.30342680971895,0,-0.38780260535988,-0.0783206021693349,-1.12471504731524,0,2.5943583994402,1.02523198298267,-0.131254730919077,0,-1.50573585631364,0,0.664090151085215,0,0,0.394639410730168
DGB,0.134922246498818,0,0.158277076031526,0,0,-0.107069454977509,0.329790511664466,0.0853582359149463,0,0.0913583954070799,0,-0.116319671532695,0,0.769035721910841,0,0,0,-0.089593137125114
BV010082.Index,-0.156003634634785,0,-0.0393633971202167,0,-0.0560520185081627,0,0,0.0712527033142625,0,0,-0.00154069757123858,0.0121720807444215,0.0138023427942257,0,0.0982043545936803,0,0,-0.156689765802113
CVIX.Index,0,-0.139750902812287,0,0,0.0593181546206821,-0.250380689653312,0.113667823427697,-0.151324911847363,0.194866068299062,0.0350661722373767,-0.0204274848078637,-0.029470167641876,0.162562404052184,0.446975125716926,0,0,0,0.221835326692583
DXY.Curncy,0,-0.0407363005374609,0,0.0149997296689818,0.0137116216382399,0.0137635819944103,0,0.0158069504618238,0,0.00712421216047533,0.00313534570529638,0.00208158318486146,0,0.11502785648352,-0.0103817537194472,0,0,-0.0121982146564414
SPX.Index,0,-0.0127558640909825,0.0140363120309888,0.0676435042376227,0.0097514439465945,0,0.00651641169029112,0.00932307041277924,0,0.0189997296031533,-0.000502910517468463,0.000721521687045187,-0.00227947145702018,0,-0.0112846692721369,0,0,-0.0416197795830304
VIX.Index,-0.738961760998532,0,-0.450796624001625,0,-0.261035898756663,-0.288863671473111,0,0.3688203802707,0,0,0.0325680321946592,-0.0161148422919318,0,-3.062344617883,1.56917695237931,0,-0.854527707420237,0
