,BTC,ETH,XRP,BCH,LTC,EOS,ADA,XLM,NEO,MIOTA,XMR,DASH,XEM,TRX,ETC,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,0.236715303686194,0.00207342315746581,-4.33680868994202e-19,0,0,0.0833792818491696,0.176465009257762,0.00580950779362592,0.219983286007175,0,0,0,0,0,0,0,0
ETH,0,0,0.0507788264132037,0.329376769949227,0.162766002437546,0,0.106285576022121,0,-0.0441099615889194,-0.106492238751025,0.125138621346959,0.12559354095699,0.0879905488823984,-0.0232036480170025,0,-0.291349830634962,0,0,0,0
XRP,0,0.289090417943536,0,0,0.0578209891598712,0.152304013545191,0,-0.0630795421479246,0.228458015461794,0,0.0300750505810584,0,0.189902423368077,-0.0994297899444307,0,0,0,0,0,-0.0424497132395685
BCH,0,0.455908943031613,0,0,0.194540508230756,0,0,0.252622081541943,0,0,0.0279493384920811,0,0,0.114172518544556,0.0589984711198095,0,0,0,0,0
LTC,0,0.203025718293893,0,0.215012988562521,0,0,0,0,0.0577614728300798,0.215153458326646,0,0.0843513153304656,0.0749480913095742,0,0,0,0,0,0,0.0159512783694836
EOS,0.279040550843025,0,0.12230891769817,0,0.122869090214192,0,-0.297020910572699,-0.2089193207561,0.287074621666227,-0.033262687229346,0.0719865943273697,0.264295644205431,0.136344318276315,0,0.136583652282515,0,0,0,0,-0.132686502796328
ADA,0,0.593563844793758,0,-0.194909606602986,0.00873344551186159,0.162245595209838,0,-0.100450075721327,0.0996911355741381,0.226839783744864,0.157334299101202,0,0.194179704406264,-0.0728246548208533,0.020038619806711,0,1.38777878078145e-17,0,0,-0.0252259323443148
XLM,0,0,0,0.214350699328676,0,0,0,0,0.19529949552961,0.145815246864943,0,0.187410833610746,0.208966945727083,0.017436366354164,0,0,0,0,0,-0.0482606984806402
NEO,0,0,0,0,0,0,0.334310514043191,0,0,0.208042717937019,0.0284133516343638,0,0,0,0.25642194441482,0,0,0,0,0
MIOTA,0.0554554243492433,0.106413447646362,0.171780568676494,0,0.0923385038881143,0.0595033423696856,0,0.0374956529476807,0.266609485262951,0,0.113281614016274,0.0744871880343147,0.158808379497264,0.034465084975738,0,0,0,0,0,0
XMR,0.958860730217011,0.101473228628773,0,0,0.1322918696573,0,0,0.18334166393043,0.0749648679563637,0,0,0.081557357467121,-0.380995115083871,0.117694174265586,0,0,0,0,0,0
DASH,0.351241649085834,0.127551732483226,0,0.0102639674772921,0,0,0.119626525382396,0,0.0228501625263947,0.113209214157608,0,0,0.0395727082562314,0.0651424680321133,0,0,0,0,0,0.0740323916245064
XEM,0,0.506576188933353,-0.0673469946073618,-0.322997100597484,0,-0.0616677211795453,0.198365877786283,0.240587772912572,0.294438085960726,-0.0578282208282707,0,0,0,0.200323056452106,0.120408450753119,0,0,0,0,0
TRX,0,0.646710399084652,0,0,-0.217297763198766,0.107513636496985,-0.861842920814345,-0.499061021832186,0,0.346514937017071,0,1.37694658893262,0.0619946516230084,0,0,0,0,0,0,-0.171783842854101
ETC,0,0,0.779872911001768,0,-0.0254075476304837,0.0547789075240734,0,0,0.1654756812932,0,-0.191422047377212,0,0.146088861399032,0.0791521507085176,0,0,0,0,0,-0.0292853769238537
BV010082.Index,0,0,0,-0.0553909822188114,0,0.0227086719784145,0,0.0460509791874699,0,-0.0275830750455072,0,0.185649716821005,-0.0534124140908546,-0.0271800212642289,8.67361737988404e-19,0,0.0297876088307279,0,0,-0.0694418497751294
CVIX.Index,0,0,0.0463698733485871,-0.095804468457246,0.0176259407796546,-0.125468748457968,0.15312272619927,0.0140366411010203,0,-0.0602453738124134,-0.056025494082004,0.220991690292387,-0.247016566377485,0.0618987988976993,-0.00371004509200079,0,0,0,0,0.00263104892326528
DXY.Curncy,0,0,0.0131441259856478,-0.024985036037136,0,-0.0087883476523705,0.00767215310370887,-0.00940779222827598,0.0280052658023667,0,-0.040466136286177,0.0402379487705943,-0.00901835977289262,-0.0102692519064655,0.00462084327823961,0,0.00842708528126566,0,0,0.00257461181223193
SPX.Index,-0.0361171940363182,0,0,0,0.01645692213401,0.0351289107406082,-0.0252289355704839,0,0,0,0,-0.0159826477234005,-0.00829641528484673,-0.0245754365505172,0.0334830889270873,0.0843900831827164,0.060939467957501,0,0,-0.0846238376512954
VIX.Index,-0.389765077066776,-0.323150846199841,0,0,-0.098211655578024,0,0,0,0.562587964568872,-0.224603264858065,0,0,0.174439856037973,0.198751724608825,0,-0.963701013126319,0.0460911235555173,0,-3.62372872643946,0
