,BTC,ETH,DASH,XRP,XMR,ETC,LTC,XEM,ZEC,DOGE,XLM,NEO,DGB,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,-0.308684000348096,0.0984232214806299,0,0.322186929448106,0.324524012632589,0,0.131973274686833,-0.298590816052873,0.0612817604487212,0.168316371802883,-0.2335373140249,0.0397307205356135,0,0.115181500638217,0,0,-0.055431652142431
ETH,0.518516273641751,0,0,0,0.73038378829562,0.204044173510411,0,0,-0.218468476933207,0,0,-0.291161380402579,0.0411742258111111,0,0,0,0,0
DASH,0,0.00528428954002098,0,0.113372710907779,0,-0.00819300551155219,0,0.121871026197988,0.122226120198199,0,-0.151397089125267,0.414659283221678,-0.0776471354885029,0,0.634490321680003,0,0,-0.0435005015753345
XRP,-0.0989348281289776,-0.0639766066402525,-0.0633221931899137,0,0,0.156373490897376,0,0.198419997535601,0.289824454757149,-0.437885399036486,0.17469076887867,-0.226953619601103,0.137278603187597,0,0,0,0,0.266412523354644
XMR,0.172338656686111,0.420438509100122,-0.00149382830327136,0,0,0,0,0.228744170460016,0.187968675516385,0,0,-0.111759546892568,0,0,-0.407416584389793,0,0,-0.180601474974929
ETC,0.412877717570122,0.18474594014255,0.0468136192569155,0,0,0,0.769400881739957,0.080599247060403,0.093935352994736,0,0,0.121014016538393,0,-0.456355831454745,0,0,0,0.0906542395325629
LTC,0.170492316297556,0,0.0266477594515444,0,0.122813362859195,0.0941559721381138,0,-0.0892868253737002,0.0317150847660529,0,0.0170199472831792,0,-0.0214148489043891,0,0.0476173346058719,0,0,0.0890463155066409
XEM,0,0.32050369371781,0.368074719102324,-0.0623573698313698,0,0,-0.555524820438269,0,0,0,0.216276091643015,-0.0325279505889705,-0.146195058267022,0,0,0,0,-0.284058809239228
ZEC,0.16362004263167,0.0895266894329153,0.19810935072467,-0.0229861861113252,0,0,0,-0.0579866103059418,0,0.249528532517098,0,0,-0.193154536262745,0,0.148644778005354,0,0,0
DOGE,0.399774313703885,0,-0.096026104252608,0.0288100588081269,0.238262955316719,-0.146570794713014,0.382365243233538,-0.0165641492411642,0.291380898488527,0,0.20059525918853,0.118260902626269,0.109338077132298,0.456209306413556,0,0,0,0.0320278003254085
XLM,0.384315936749771,0.0105672821635495,-0.12364242833044,0.0690504487577314,0.0369016213650799,0.185398690709278,0.598285827623255,0,-0.172848056863516,-0.195720395578986,0,0,0.24597005421627,-0.0569515917787664,0,0,0,-0.278277741405715
NEO,-0.532455869575096,-0.27152662810535,0.0685895267346169,0,0.38248623790352,0.340866707565134,-0.677112860451118,-0.0128070693443867,0.361010244659179,0,0,0,0.207028228705259,0,0.0125757940353524,0,0,0.253861099730692
DGB,0,0.123044915237074,0,0.0465253689980674,-0.176854087545042,0,0,0.103658941416926,-0.0562542828285696,0.489235056918415,0.113998660864285,0.203870668041967,0,-0.055767925860623,0,0,0,-0.414872215155928
BV010082.Index,0,0.0301383190623335,0.0749401451418888,-0.0139246737875489,-0.110377484651283,-0.0767931114764903,-0.299945721367259,0,0.0342345120005175,0.177435784982507,0.168293292712554,-0.107967629964273,0.0348918757353777,0,0,0,0,0.0518619109078346
CVIX.Index,0,0,-0.0669036088167014,0.124197183736031,0.0513288014426152,-0.102424361968813,0,-0.109273844545561,0.128133578173196,0.216476918420125,0.139155619554938,0.0100053349267236,0,0,0,0,0,0.414777713378574
DXY.Curncy,0.00211629368761222,0,-0.00614030488602836,0,-0.00674953063788887,0.0248229367580305,0,-0.013748893128964,0,0,0.000932527283502147,0,0,0.130409269194752,0.0278933276454322,0,0,0
SPX.Index,0.029973871192596,0.0192519435863199,-0.0121407908194991,-0.0132154218116336,0,-0.0258767673391591,0,-0.000946103022095938,-0.00835248159723758,-0.00773092086336224,0.0415551398455343,-4.33680868994202e-19,-0.00312052475157329,-0.0319107109933475,-0.0131822795707779,0,0,-0.02670955067587
VIX.Index,-0.328485296180449,0,-0.0125692718099184,0.0105498163649472,0,0,0,-0.0752083835878795,0,0,0,0,0.189829161477914,0,0.378108702979517,0,0,0
