,BTC,ETH,XRP,BCH,LTC,NEO,ADA,XLM,XMR,EOS,MIOTA,DASH,XEM,TRX,ETC,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,-0.0251900769559666,0,0.270272591659779,0.165711136309256,0.137483395675472,0.225438951223602,0,0,0.00000000000000000173472347597681,0,0,-0.205459592068726,0.0531208480426106,0,0,0,0,0,-0.0133567787891295
ETH,0.336353534893332,0,0.0360320948654358,0.0349707921256474,0.164744905645234,0.0000000000000000138777878078145,0.143116886201331,0.234586981334792,0,-0.0000000000000000138777878078145,0,0,0,-0.0625289388465299,0.10883632317058,0,0,0,0,0
XRP,0,-0.22749375917368,0,0.000000000000000000867361737988404,0.168458086462645,-0.0720204998914281,0,0.373347895911168,0.14119355261849,0.0205132345571313,0,0.153675201805204,0.131481663616459,0.211476474605255,0.192760185309664,0,0,0,0,0
BCH,0,0,0,0,0.168263090526598,0.272346697492964,0,0.11736517329643,0.127367306206528,0,0.130898262327468,0.19684510848337,0,0.0204138688788325,0.0444452584296867,0,0,0,0,-0.0469895196848039
LTC,0.175732213081377,0.0455285293192323,0.0655319666425828,0.138001403195892,0,0,0.000000000000000000867361737988404,0,0,0.147727380077726,0.0127584689036048,0,0,0.000298529802218132,0.137343553854271,0,0,0,0,-0.0141240227268226
NEO,0,0.437394652672767,0,0.147977746576907,0,0,0.13692691774598,0,0.00000000000000000346944695195361,0,0,0,0,-0.0503412616536907,0.279045974212176,0,0,0,0,-0.018676073786376
ADA,0,0,0,0,0,0.039217949300588,0,0.115282275180034,-0.0393868042003504,0,0.378784909403722,0.0613362263777315,0.143747936290945,0.0475964515858083,0.076529307570939,0,-0.043825143612112,0,0,0
XLM,0,0.263896736112643,0.114811525169609,0.167049686632636,0,0.0320937605711972,0.265623107945929,0,0.171228137818728,-0.0364099149393279,0.384919717810858,0,0.0204479684933316,-0.17804276761886,-0.154679285147818,0,0,0,0,0.0109464955944113
XMR,0.11708616738009,0,0,0.0164544626275194,0.254160459303671,0.191764923695992,0,0,0,0.00685884494865171,0.140983752242575,0.200869778260091,0,0,0.024505738934935,0,0,0,0,0.037732968588704
EOS,0.173906496499461,0,0.00629132147790124,0.0127266436010274,0,-0.448126400824816,0,0.0534066002633643,0.318655166615255,0,0,0.0914316778939804,0.131410344303561,0.0706487009842225,0.532359753174508,0,0,0,0,-0.062494582760345
MIOTA,0,0,0.160558809747737,0.114078205201526,0.121661470476626,0,0.0882820530635167,0,0.189237836069605,0,0,0.24836599941701,0,0,0,0,0,0,0,0
DASH,0,0,0.0744744818682506,0.10469176442421,0,0,0.116070327959278,-0.0216482486804901,0.157252234719294,0.0469401055838394,0.184925279210637,0,0.0541569994593772,0.115156443728315,0,0,0,0,0,0
XEM,0,0,0.136189451647451,0,0.297404984949137,0.0420418818717699,0,0,0,0,0.384138834582743,0,0,0.00685145787117045,0,0,0,0,0,0.0389004379344216
TRX,1.43839819491011,-0.00000000000000000693889390390723,0.263771062228442,-0.00000000000000000693889390390723,-0.802842021520059,-0.463568824545964,0.122100729951937,0.0234875956070348,-0.338356249200224,0,0,0,0.360634261109147,0,0.471118668524526,0,0,0,0,0.215812960980318
ETC,0,0.0582547507802252,0.30589961140829,0,0,0.279687770356837,0,0.0498938055638911,0,0.255964390380879,0,0,0,0.0780307862432062,0,0,0,0,0,0
BV010082.INDEX,0,0,0.00113985529600571,0.104917876677669,0,-0.0376212150962306,-0.0374734732457244,0,-0.0100863702257831,0,-0.0167744546797299,0,0.0166035075279451,-0.0392162929780777,0.0545940907200668,0,0.196174475956262,0,0,-0.0375682231258462
CVIX.INDEX,0,0,0,0.0380115571515949,0,-0.0275026978445742,0.18579806586054,0,-0.0710479944370501,-0.0609971816158137,-0.123327845117518,0,0.0793456859401639,-0.0375885866664362,-0.010646580695481,0,0,0,0,0.0596758383644764
DXY.INDEX,-0.008517058748736,0.0287225521088564,0.0251425650180738,0,0,-0.0017471589946913,0.0184085653423514,-0.0377631318450128,-0.00861739827914175,-0.0300564270752466,0,0,0,-0.00573939711296328,0,0,-0.0362827811760427,0,0,0.00401045518545368
SPX.INDEX,0,-0.0194691241768939,0,0,0,0.00783114137839131,0,-0.00859227640899037,0.0228198827972384,0.00429500100660325,0,0,0.0186680377465037,-0.0511735103068599,0,0,0,0,0,-0.0816649139554783
VIX.INDEX,-1.00336866052322,0,-0.113400377687633,0.135988171200475,0,0.331407571163881,0,0.168412266683862,0.165987955022379,0.274617542565959,-0.365522705493054,0,0.0465087019244512,0.131377891186545,0,-1.46013087180572,0,0,-3.65687171874681,0
