,BTC,XRP,LTC,DOGE,DASH,XLM,XMR,XEM,DGB,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0.0177144863124669,0.125200464938598,0.108355268141657,0.113101515146272,0,0.0781652217584785,0.032295622514016,-0.0229302004413261,0,0,0,0,-0.0325545140538825
XRP,0.749340777670542,0,0.104044588670193,0.110434359788345,0,0.187697399676264,-0.0890603916702612,-0.18435171267235,-0.0538170215311647,0,0,0,0,0
LTC,1.23747270920427,0.243987866839351,0,0.13935497805464,-0.122677736016767,-0.289528282117818,0.201470700567786,0,0.118909630180995,-0.368444943238944,0,0,0,0.143440018805623
DOGE,-0.332480648979141,0.0779629347692726,0.242219965098571,0,0.0108948205817507,0.374128934107628,0.28524197065183,0.349773919722826,0.0396035967992961,0.503097618061116,0.487906780435529,0,0,0
DASH,0,-0.15684376121302,0.0890648982332142,-0.0894909812675002,0,0.886104015852466,-0.0877602605185388,0,-0.174966842545802,2.70931236522535,0,0,0,-0.0227905737861229
XLM,1.61436022788804,0.390526197938673,0,0.205992487652876,-0.239067821420942,0,-0.414124196646863,-0.0244596007048462,-0.112158484801489,-1.33278363807384,0.203753910566598,0,-4.48811923993918,-0.594166124272129
XMR,0.529767375354083,0.754473259813655,0.170633378202944,0.381271089159364,-0.303167698463119,-0.315056241911291,0,-0.054369528253747,0,-0.260752364040318,0,0,-3.98303842650888,-0.926529082021251
XEM,-0.737834537398496,-1.03645149326874,0.47824635176494,0.634009825301092,0,0,-0.256792456071881,0,-0.45025252542498,-0.895527650450752,0.471771253286197,0.716364653214576,0,-0.401677225056129
DGB,0.0779275603018835,-0.0395575545553055,0.417572663160476,0.088454356924111,0.348705439357467,-0.0689480503595549,0.203988023428598,0,0,3.32844910730755,-0.862538940775453,0,0,0.526383127836727
BV010082.INDEX,0.086352949792825,-0.0636766605651126,0,-0.0877278002721697,0,0.0252933309837344,0.0032556519199795,-0.00144448547133181,-0.0455094703904421,0,0.280534513073926,-0.0777982478909714,-0.414338121602483,-0.0300850014870709
CVIX.INDEX,0,-0.0447310482545413,0.0402598845361907,0,-0.182895120841157,0.0853234565376745,-0.157355194584589,0,0.00724125907729505,0.2462112661998,0,1.6103988328676,0,0.0781403433829709
DXY.INDEX,-0.0132145266515545,-0.0122403887806276,-0.0516926958843299,0.0479202771040942,0,0.0366315860654677,-0.0059812009596569,-0.0118435832569033,-0.0383774463310073,0.214632747242179,0.112469456447677,0,0,0.0188104356753071
SPX.INDEX,0.0121021050167752,0.00775634390066269,-0.00752271958992823,0.0148622158483674,0.000646114482961753,0.00000000000000000010842021724855,0,0.0000000000000000000271050543121376,0.0034118681703152,-0.084726542093192,0,0,0,-0.0806687469243747
VIX.INDEX,0,0.0826363997205764,-0.114175024041163,0.0225656698339225,0.130170064645217,0.0495097952431265,-0.0248464707302765,0,0.192336558503743,-0.738434028027898,0.00000000000000000346944695195361,0,-10.5345832951588,0
