,BTC,ETH,XRP,BCH,LTC,EOS,BNB,BSV,XMR,XLM,ADA,TRX,XTZ,LEO,ATOM,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0.00354223554775289,0.188921566086135,0,0.0358941251311647,0.000944940652045363,0.0431234766161581,0.153535563051677,0,0.236140260210657,0.0286391425394746,0.080457288562423,0,-0.0709982388636562,-0.240020416066544,0,0,0,0
ETH,0,0,0,0.0745766584456917,0.40337156856626,0,0.123191026399734,0,0.108036590452214,0.0872813980485678,0.0715302707940377,0.0595533323319011,0,0.0323011269490629,0.0321562840871389,0,0,0,0,0
XRP,-0.200902101594358,0,0,0.427213004340159,0.211600310908748,0,0,0,0,0.0383116888284714,0.449555364097257,0,0.0984606108129511,-0.197363651017281,-0.125461003903016,0,0.141927258626965,0,0,0.191300210938481
BCH,0,0.161973853378873,0.215225739909202,0,0,0,0.209910422466576,0.0590555921137846,0,0.0511670953499276,-0.112368327376934,0.248480349807142,-0.0361438385954163,0,0.1354975265554,0,0,0,0,0
LTC,0,0.271665204122978,0.0355108596462892,0,0,0.532486636154052,-0.112239418980255,0.0640000186583188,0.0825249582754827,0.00000000000000000346944695195361,0.0666600197712251,0.0467179769647417,0.0160710868228673,0,0.0202677314323715,0,0,0,0,0
EOS,0,0.154368411636213,0,0,0.496071442642643,0,0,0.131786871915754,0.1545425102174,0.0432932979142903,0.10666289666268,0,0.0364816258556975,0,0.0212159601703976,0,0,0,0,0
BNB,0,0,0.129660328242373,0.180897892088675,0,0.389241121128471,0,0,0,0,0,0.118955354796241,0.0394209580736591,0,0.00117280372546537,0,0,0,0,-0.0216946573375502
BSV,-0.485824991866257,0,0.074933991423098,0.752204585849461,0,0.0000000000000000138777878078145,0.331570944772902,0,0,0.0855685383586618,0.132213932277559,0,-0.0511869397480896,0,0.0857728341205447,0,0.397849734667097,0,0,-0.080606687531474
XMR,0,0.26937839979638,0,0.159154764242683,0.205126792238657,0,0.222217822868526,0,0,-0.0429586627598049,-0.0443961476092608,0,0.0637862509385531,0,0.000000000000000000867361737988404,0,0.0331825533749499,0,0,-0.0406515068378562
XLM,0,0,0.29872976507646,0,0,0,0,0.0383751675723897,0,0,0,0.227056752946414,0.0000000000000000000542101086242752,0.04164358355888,0.169357229167129,0,0.0621331698801868,0,0,-0.0151522713198215
ADA,0,0.436357501079517,0.141098024749389,-0.201177352658327,0,0,0,0,0.0243732367221155,0.149310460465892,0,0.15584854242022,0,0,0.136967786353076,0,0,0,0,0.0130735362993327
TRX,0,0,0.216802385873926,0.272035170230737,0,0,0,0,0,0.294033113620082,0.206153230473255,0,-0.0183274887232181,0.223190392768521,0.0706814300270161,0,-0.358091609947493,0,0,-0.041243507975643
XTZ,0,-0.0188681095653012,0.498399639171221,0,0,0,1.21147088981117,0,0,0,0,-0.7602580663287,0,0,0.0218192803043225,0,0,0,0,-0.205003022763696
LEO,0.25581811701658,0.0808855894262974,0,0.0681702522823762,0,-0.351388533506975,0,0,-0.279582065963096,0.0055908514477461,0.118918820310822,0.378444007051574,0.0780243057092842,0,-0.0917414976801293,0,0,0,0,0.0386461322207223
ATOM,0,0,-0.667793897969513,0.110399196615661,0.594087441798729,0.175115092739163,0,0.117290031510498,0,0,0,0.37639040474758,0.427665974901923,-0.155649822232705,0,0,0,0,0,0.0247076545567606
BV010082.INDEX,0,0,0,0,-0.246843198139843,0.198371700612846,-0.316331170681691,-0.0143512561507076,0,0.128906994758681,-0.0590508740038686,0.37380962054668,0.0816650317854688,-0.0613479245691075,-0.0615448621965921,0,0.103003734137871,0,0,-0.00821202075582696
CVIX.INDEX,0,0,0,0,0,0.0654069235593284,0.394583535901885,-0.303505778989379,0.0617293448784178,0.236429607987727,0,-0.225078783254624,0.122956749502386,-0.523875291431036,-0.0956634981776936,0.656922970701797,0,0,0,0
DXY.INDEX,0.0135778192033029,0.00468199175552075,0,0,-0.0654103365143717,0,0,0.0300354095149168,0.00501940445117584,0.0412236991405373,-0.013104604440661,0,-0.00599735067978282,0,-0.0045064305901815,0.0715977642549239,-0.0257602063389005,0,0,-0.0014194538379129
SPX.INDEX,0,0.0115560433292685,-0.00499418502219444,0,0,0.0394927837441262,0,0,-0.01971252565432,0,0,0.0106715177207955,-0.000000000000000000433680868994202,-0.0364668006482473,-0.0134495680845383,0.0558424230918107,0.00552309395258829,0,0,-0.0424042213005523
VIX.INDEX,0,0,-0.521650325029442,-0.000000000000000000867361737988404,0,0.0000000000000000277555756156289,0.19309962340681,0,-0.179335136214546,0.882344350388134,0,0,0.158430386645945,0,-0.630067544793984,0,0.099190147528255,0,-8.32661514144514,0
