,BTC,ETH,XRP,ETC,XEM,LTC,DASH,XMR,ZEC,XLM,DOGE,DGB,BAT,NEO,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0.04635052484725,0,-0.10588177594039,0.152861374524693,0.0586971515282867,0.0883389089160257,0,0.0159928825268635,0.0378078703434114,0.0262963034533011,0,0,0,0,0,0,-0.111982808151466
ETH,0.227126261416257,0,-0.062855336572084,0.106195701317202,-0.120645699951798,0.060639602720554,-0.0447090849693189,0.142727973285095,-0.174171252145615,0,0.137900041084903,0,0,0.0415662045220874,0.216054603529673,0,0,0,0.13599876303655
XRP,-0.238248307336507,-0.196080519109017,0,-0.646625298747092,0,-0.0355360143853594,0.598559134697335,0.213905500916102,0,0.289233967785759,-0.210495731456268,-0.0274550218059698,0.219749530640837,0.191223925656409,0,0.656028525514021,0,0,-0.0242345726174128
ETC,0,0.369875170690418,-0.11203756557269,0,0,0.0856185507651674,0.173991146836728,0,-1.73472347597681e-18,0.0173043948493576,0,-0.0255285972303382,0,0.0662143351461074,0,0,0,0,0
XEM,0.574405452076697,-0.30258698475385,0,-0.615041322033097,0,0.0761917282942758,0,0.0637801047776682,0.206394077163063,0.0598338817044191,0.0164301796385187,-0.0462841968310528,0.128861539333758,0.442885589903653,0,0.723772667713097,0,0,-0.121859581067362
LTC,0.49007482078808,-0.0280908722857453,-1.73472347597681e-18,-0.0327266300851747,0.16433815410416,0,0.276625377554445,0.172621981596263,-0.138712112944426,8.67361737988404e-19,0.140511757177848,0,0,0.245164685167849,0,0,0,0,0.0914636848006064
DASH,0.322484149477358,0,0.072155172536684,0.108182350382276,0,0,0,0.219672062905628,0.194499031421449,0.0840566131857245,0.0762364761606491,-0.0940168328688726,0,-0.00493023399747375,0,0,0,0,0
XMR,0,0.130433224316669,-0.0774780197759665,-0.384499293029502,0.143020768651697,0.0961605501599,0.431921256507749,0,0.10588803852715,0.10867216481804,-0.135248200990147,0.0329356558942294,0,0,0,0,0,0,0
ZEC,0,0.0496587758810097,0.0853720815119344,0,0.0461983427257954,0,0.174497683975185,0.0110992414792911,0,-0.0884034557182871,0.226555379378365,-0.0136863730940944,0,0.0487533742755609,0,0,0,0,0
XLM,-0.329005588473504,-0.24979584912943,0.235539966527287,0,0,-0.731383617477096,0.623916252025893,0.71279093545727,-0.462237610524392,0,0.20624575300326,-0.048696683523625,0.168399126758257,0.313099185039317,0,0,0,0,0.0232380640226125
DOGE,0,0,0,0.158827332743961,0.313286135405126,0.0901644818059631,0,0,0.19362142259825,0.172687646581636,0,0.0467011328627622,0,0.0904663273177618,0,0,0,0,0
DGB,0,-0.522405542032886,0.555036811194624,0,0,0,0,0.267071553124722,-0.185947438644809,-0.363250917627056,0.480255305280229,0,0.404872255998889,0.1376927036554,0,0,0,0,-0.167094451788544
BAT,-0.342334546161917,0,0.176277301256856,0.224635767943072,0.157673406680044,0.169991230740628,-0.312567362632179,0.0284557423738896,0,-0.0360056336386665,0.00985272407198994,0.0319505531770076,0,0,-1.33477641989785,0,0,0,-0.343554710207178
NEO,-5.55111512312578e-17,0.506216787117724,0.358982814463821,0.464920312723318,0.161629775126568,0.638713608261986,0.155845207129625,0,0.295014224678339,-0.148801391062844,-0.132109930802079,0.0186086160749046,0,0,2.68373708640402,0.163281486553704,0,0,0
BV010082.Index,0,0,0.0229060691646416,0.0818018778777819,-0.0422643551885595,0.0106760584639544,-0.095877316720252,0.0160173935065039,0.0787203118285454,0.0441273731155629,-0.0219171745629695,0,0,0,0,0.094801186797925,0,0,0
CVIX.Index,0,0,0,-0.325788724199369,-0.46709321080062,0,0.117753237836933,0.0938514769529176,0.116908669129482,0.00474694474014399,0.0229858840839467,0.0323244630699586,0,0.157971286450392,0,0,0,0,0
DXY.Curncy,0,0.0223682835120878,0.00728106583147048,0.0101912871069274,-0.0170327299540172,-0.00595198631262268,0,0.00664053341614231,0,0.00568786495529649,-0.00331340860035806,-0.00225397793178932,0,-0.00607539540407798,0,-0.0137885630155825,0,0,0.005165568698291
SPX.Index,0,0.0105527486200888,0.000666995258673357,0.000684951073938493,-0.00682729803027071,0,0,0.00573497561002745,-0.0160399431121894,0.00478838306208073,0,0.00383265545286231,0,0,0,0,0,0,-0.0328250113874438
VIX.Index,-0.605360690564277,0,0,0.360754757450554,-0.23554634169432,0,0.213124604004969,-0.112910683000472,0,0.220936473149479,-0.0344025571461644,-0.0455814531440174,0,-0.0342893665887664,-3.29139700444568,-0.694255023777622,0,0,0
