,BTC,ETH,XRP,BCH,LTC,ADA,NEO,XLM,EOS,XEM,XMR,DASH,MIOTA,TRX,ETC,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,0.191840208876582,0.124083280292411,0,0.116270121155969,0,0.0247962463949467,0.0993668645257854,0.0752062822152598,0,0.0846857417276194,0.00209248960919298,0.00418861808266923,0,0,0,0,0
ETH,0.160093047441219,0,0.11531541664659,0.121812601285511,0.132558587920861,0,0.0636232079876173,0.390270424747388,-1.38777878078145e-17,0.059276416760104,0,0,0,-0.119959643011018,0.11766541768418,-0.54600058246096,0,0,0,0
XRP,0,0,0,0,0.0239361158449974,0,0,0.125564540750711,-0.115145483769213,0.146683451395664,0.0982144249194443,0.287718710712275,0.0738620654622452,0.258761320892694,0.15306084080495,0,-0.232824812219111,0,0,-0.0276631593327638
BCH,0,0,-0.00998152907964746,0,0.201963260572616,-3.46944695195361e-18,0.300933889299658,0,0,0.0280445593257787,0,0.399050415285242,-0.0654189322684573,0.0952283295061632,0.0933228761796656,0,-0.176769321597215,0,0,-0.106748075545633
LTC,0.0774291358274792,0.042113218270583,0.0660944836232829,0.13406061506011,0,0,0,0,0.14368339915684,4.33680868994202e-19,0,0,0.0650658386072954,0.0145860422277419,0.14120334927117,0,0,0,0,-0.0178456712834409
ADA,0,0,0.171071574186724,0.0652337023813934,0,0,0,0,0.0106476955863061,0.0089697956895759,0,0,0.416084978869198,0.0182345786786933,0.125419230358785,0,0,0,0,0
NEO,0,0.579434274589491,0,0.137351040647288,0,0.123709126035914,0,0,0,0,0.0179536157065001,0,0,-0.0837536950203271,0.275342642181905,0,0,0,0,0
XLM,0,0.0468289012690236,0.106636954998187,-2.16840434497101e-19,0,0,0.0311257524442109,0,0.0680400768019235,0.00418427740103217,0,0.155932631347799,0.146207472639278,0.216952669848273,0.109063899650379,0,0,0,0,-0.00749300164190793
EOS,0.10470002353559,0,0,0.200681144844414,0,0,-0.284585221456499,0.159413068672319,0,0.199418442007379,0.0738498438799807,0,0.247437869913439,0.0923101300331272,0,0,0,0,0,-0.0325840069653203
XEM,0.422664300220993,-0.177703845676865,0.091118342245146,0,0,0.349378480268992,0.115298551726728,0,1.73472347597681e-18,0,0,0.00247072153092794,0.0127023080197907,0.156107348114951,0,0,0,0,0,0
XMR,0.223763853795605,0,0,0,0.167369337717768,0.330442412225988,0.244654927881268,0,0,-0.0822622920844019,0,0,0.170165454267435,-6.93889390390723e-18,0,0,0,0,0,0.0377226870176739
DASH,0.160291667265253,0.368948571445433,0,0.0951926764731632,0,0.117832343485186,0,0,0,6.83417836258478e-05,0,0,0,0.113100992216652,-4.33680868994202e-19,0,0,0,0,0.0335007318307974
MIOTA,0,0,0.0495548795483894,0.262905942863885,0.158008868877736,0,0,0,0.00269789361710168,0.12855763133129,0.150985574525766,0.178200661370478,0,0,4.33680868994202e-19,0,0,0,0,0.0230750700490821
TRX,0,0,0.0313034777493952,0.376007968171804,0,0.0219154819829608,-0.256297870405694,0.0877053706392155,0,0.268336520185926,0.118382446712323,0.246845680553557,0.0379006422408506,0,-0.0105334491506981,0,0,0,0,0.123857842124906
ETC,0,0,0.234139404098294,0.0202337657857014,0,0,0.270321615289934,0.196624023435778,0.192672841228614,0,0,0,0,0.0902567801878319,0,0,0,0,0,0
BV010082.Index,0,-0.128618698117142,0.0245581969012018,0.0825099273617472,0.0500060709238695,0,-0.00530326068465002,0.00667672359748189,0,0.0375170373017948,0.0090810574985635,0.0702804467992063,0,-0.119723585351161,0.00628691760070127,0,0,0,0,-0.0365146047859123
CVIX.Index,0,-0.10786927008452,0.0132912431049097,-0.0957292582109302,0.110721436799632,0.167293177123259,0.0305153889002228,0.0842799439832405,0.0191581001701464,-0.241969051972543,0,0.106939734263972,0,-0.0765376766612276,0,0,0,0,0,0.0639314294851736
DXY.Curncy,0.0208900310427408,0.0230639902817991,0.0308180455001916,0,0,0.00293352624253126,-0.00852612929745794,-0.0311006180509869,-0.0237226085004254,-0.00159343838809648,-0.0272398418650286,0,0.0044814256853653,-0.00582853314223532,0,-0.0563748036719598,-0.0253222640129969,0,0,0
SPX.Index,0,0,-0.00363830269736448,0.0180269869471971,0,0,-0.0144765450461026,0,0,0.0401498054780136,0.0260537504671568,0,0,-0.0842513668160243,0,0,0,0,0,-0.0567280090992687
VIX.Index,-1.44373374551955,0,0,0.122675471766665,-0.0585621198923604,0,0.671229343594097,0.0190281585529446,0.35208128847666,0.176792788312031,0,0,-0.361689722351265,0.259584747962275,0,-1.0402774134956,0.24245072416711,0,-3.28471162704583,0
