,BTC,ETH,BCH,XRP,LTC,DASH,XEM,MIOTA,XMR,NEO,ETC,ZEC,BAT,EOS,XLM,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,-0.0978126107600661,0,0.307840985312248,0.228353478574376,0,0,-0.00656741617091991,0.0469820136322064,0.0834228573687518,-0.0988445356014954,0,0,0,0,0,0,0,0.0355032371741009
ETH,0,0,0.0402933312458146,0.0412811255002827,0.186696130348856,0.123901069207795,0.0287731830731819,0.122639899981946,0.03226694191455,0,0,0,0.0965185494362099,0,0.0961671344398923,0,0,0,0,0.091014938037145
BCH,0,0,0,0.168335529828863,-0.634989011396482,-0.674309599606534,0.966130251568652,-0.406276629512122,0.211139017616769,-0.154267445176953,1.05762905727011,1.32675742265623,0,0.441800079528276,-1.41089022503485,0,0,0,0,0
XRP,0,0,0.0943444002873827,0,0.22219792690367,0,-0.0673691532574818,0.000000000000000000433680868994202,0.0170283042844514,0.0625986983590009,-0.200166088662068,0,-0.041106807874089,0,0.431761268745428,0,0,0,0,0.00945576956991108
LTC,0,0,0,0.0877144475012209,0,0,0,0,0,0,0.785175445220026,0,0,0,0,0,0,0,0,0
DASH,0,0,0.0232858245887052,0,0,0,0.112504407223951,0.147777476272136,0.050189477428444,0.0808667273877169,0,0.340413283987809,0,0,0.0301484377016778,0,0,0,0,0
XEM,0.0163898800192468,0.0689356121630644,0.0568824324044304,0,0.0831358172918499,0.396468696471491,0,0.026344481198072,-0.0857577442773248,0.132084510854719,0,-0.101322159973782,0,0,0.414890662345081,0,0,0,0,0.150321277228824
MIOTA,0.0674894751886344,0.15618895004381,-0.151727495795122,-0.256280592084429,0,-0.00000000000000000693889390390723,0.418871028265636,0,0.186333696091218,-0.120480438791869,0.0846564959039359,0.273742240596243,-0.205756960252078,0.401119794837471,0,0,-0.4307054107737,0,0,0
XMR,0,0,0.118475353401098,0.0891240194742816,0.0486076138098408,0.139711268977964,0,0.0127520828277659,0,0.121457250542242,0,0.217743520971342,-0.0712829984799414,0,0.246046021474877,0,0,0,0,-0.0369425392883587
NEO,0,0,0.0502656795693522,0,0,-0.0268992418288271,0.394243711452849,0.164190085779142,0.198608223524901,0,0,0,0.00323624977303927,0.252992886731417,0,0,0,0,0,-0.196352479063942
ETC,0,0.00138139181973893,0.0144203694397172,0.119539364497912,0.69487476684403,0.0447448181170625,0,0.0817542016934186,0.122227806093912,0.0283084130745505,0,0,0,0,0.0365650783090397,0,0,0,0,0
ZEC,0,0.311613245013248,0.00866964702261843,0,0,0.224568094300294,0.0874996835409808,0.173483267386539,0,-0.0191494006589875,0,0,0,0,0.134279113890182,0,0,0,0,0.0313052600053778
BAT,0,0,-0.0676595917747516,0,0,0,0.188034410642719,0.0669737671113347,0,0.117815121440303,0,0.27715700625773,0,0,0.20882781972273,0,0,0,0,-0.0884122640104062
EOS,0.0816282950114386,0,0.0982910172602398,0,0.369698916347402,0.0380789919384634,-0.12722783683406,0.229713919547064,0.197035877447845,0.210404155601489,0,0.0294158622684667,0.0697174892995408,0,0.215872311826264,0,0,0,0,0
XLM,0,0,0,0,0,0,0.215193357308676,-0.00000000000000000693889390390723,0.262017962294911,-0.0447678095343007,0.141610825670798,0,0.228420576272018,0,0,0,0,0,0,0.0164763033551014
BV010082.INDEX,0.0258946517326848,0,0,-0.0120293794990003,0.00125379420898788,-0.0765631102575648,0.0280211629395762,0,0.0355059507421198,-0.000842372198068111,-0.00113434504135465,0.091921259305032,0.0166428840283231,-0.0590202850594931,0.000000000000000000433680868994202,0,0,0,0,-0.0881764266462571
CVIX.INDEX,0,0,-0.024637183340999,0.146258409506296,0.0701679081990799,0,0.0625012982416751,0.0798909739201104,-0.0107312438684948,0.000932465413183273,0,-0.133444540291682,0,-0.0864661434978294,-0.0645038439817171,0,0,0,0,0.0746474709861255
DXY.INDEX,0.00133184405798551,-0.0153911739363544,0.00400274981725885,0,0.0115792528429373,-0.00648386484874013,-0.00427744087794247,0.00251909174467666,0,0.00796526239357353,0,0,0.000836487141891888,0,0,0.0198605518491319,0,0,0,0
SPX.INDEX,0.00563700714864412,0,0,0,-0.00479652372931876,-0.0142945699429743,0.00703013598849271,0.000106783866081596,-0.00245024897549553,-0.00310916908660475,0,-0.00407336298874413,0.0109794028952819,0,-0.000504700028811457,0,0.00578871613477725,0,0,-0.0449359229917527
VIX.INDEX,-0.0996885618766566,0.264926362236761,-0.0129049018313754,0.00000000000000000173472347597681,-0.18493048959922,-0.16294581297235,0.389659682888258,0,0,-0.0264608232141993,0,0,0.0719176970777747,-0.288792348595478,0,0,2.1693491148379,0,-1.4708780909869,0
