,BTC,XRP,ETH,BCH,EOS,XLM,LTC,TRX,BSV,ADA,MIOTA,BNB,XMR,DASH,XEM,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0.116662716907991,-0.0564358533492459,0,0,0.125571025839849,0.0119488032028061,0.0497040807688364,0,0,0.0703829405770839,0.11886430079186,0.178654520397606,0.10385128451012,0.131449386288085,0,0,0,0,-0.0121768306028669
XRP,0,0,0.152610240278776,0.0285403309755657,0.0747804387034174,0,0.0624617349043392,0,-0.0125272989239972,0,0,0.145524239699968,0,0.0351322228644974,0.310087114908015,0,0,0,0,0
ETH,0,0.0922165354793045,0,0.0531747238000251,0.145586038536761,0,0,0.180527464740206,0,0,0.127792382212325,0.0236104274816546,0.0633632504319609,0.227087086388414,0,0,0,0,0,0.0253144480376347
BCH,0,0,0,0,0.26725715470705,0,0,-0.195595636911164,0.227079564769422,1.19171386406084,0.170936089952301,0.607731619215659,-0.33514096816659,-0.546993206854668,0,0,0,0,0,-0.0335054579583656
EOS,0,0.415284122938644,0.0907581835034663,0.105135755286698,0,0,0.517742403566231,-0.405804857994436,-0.0314660071010578,0.44917850432446,0,0.156368865405132,-0.243228052719749,0.229189955812104,-0.460696631509021,0,-0.428655022601621,0,0,0.0596150720216891
XLM,0.41987105680278,0,0,0.0995211198200292,0.188005500880154,0,0,0.114285572259559,-0.0709859167615454,0,0.0706458219316548,0.0687279716575722,0,0,0.181312740085756,0,0,0,0,0
LTC,0,0,0.326689237817377,0.0225221448130528,0.168890108218204,0.234358725790864,0,0.105781723149163,0.0674546599741916,0,0,0.149587983495785,0,0,-0.254416364379934,0,0,0,0,-0.0592605994228036
TRX,0,0,0.00400569731611248,0,0,0,0,0,-0.00840739424730794,0.488673271809593,0,0.293456440374327,0,0,0.0842489304382289,0,0,0,0,0.161470089958383
BSV,2.37390710667445,-2.02479342923165,0,0.866740029537887,0.456799531835725,-3.57654093150087,-0.335991795032153,0,0,1.01903875232516,0.483941480453509,1.01050026296348,-0.633427217215535,0.345031535381446,0.261220322071241,0,0,0,0,0
ADA,0,0,0,0.118483694391319,0.269149582604609,0,0,0.240559473867105,-0.0116016728176865,0,0.134127505314501,0,0.166794069300189,0,0,0,0,0,0,0
MIOTA,0,0,0,0.0205851352640015,0.24744658237102,0.23920820673174,0.0994961685937877,0,0.0179649901621767,0,0,0.155548071748548,0,0,0.335592140307728,0,0.692286553624714,0,0,0
BNB,0,0,0.203642437623698,0,0.362621375366892,0,0,0.298861911171471,-0.053746597844773,0.0859253615070124,-0.0473436088344282,0,0.0460253585520206,0.0678535680941967,0,0,-0.53377673795324,0,0,0.0403265042459201
XMR,0.426261243501719,0,0.00000000000000000693889390390723,0,0.0135261083838389,0,0.225605175617386,0.118745397426061,0,0.0441722831571264,0,0,0,0.279500322258819,0,0,0,0,0,0
DASH,0,0,0,0,0.0544164640477944,0.1901344106408,0.261911987540189,-0.239435255457027,-0.0143754780351353,0,0.191560715399704,0.162290988689911,0.406342477370035,0,0,0,0,0,0,-0.0311718683670272
XEM,0,0.182312580867742,0.04241704192758,0.107327438692151,-0.236702858408996,0.130959315534186,0,0,0.0064400713660027,0.398253043603144,0,0,0.21494002845742,-0.0657030494021518,0,0.314039377792332,0,0,0,0.0161644376011312
BV010082.INDEX,0,0,0,-0.0552289660680416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0375117286254385
CVIX.INDEX,0,0,0.286365666432009,-0.0516618182270223,-0.221138239436685,0.184870169189026,0,-0.3337884339001,0.0418781477489032,0,0.106856378553521,-0.168595392833344,-0.272959108048619,0.278873827528108,0,-0.220765013486843,0,0,0,0.0258595340942789
DXY.INDEX,0,0,0,0,0,0.000539768260522678,0,-0.042347395245787,0.00403523974469969,0.0130708441623398,0,0,0,0,0.034786017320851,0.0593126341497651,-0.00667094531014844,0,0,0.00674256735880493
SPX.INDEX,-0.0272273963440031,0,0,0,0,0,0,0,0.0153660214783291,0,-0.0259247314395387,-0.0185295745186665,0,-0.0109181604680452,0.0272031915530517,0.0554997522729067,-0.0119445035910892,0,0,-0.119861648928911
VIX.INDEX,0,-0.107779706313778,-0.0893905045655674,0,0.265466436704741,0,0.0928104823318188,0.130301259453991,-0.125503579239914,0,0.109686216768827,0.0968250689679138,-0.90646712770832,0.367007835450216,0.256983133167485,0,-0.499689622121434,0,-3.85333600430551,0
