,BTC,ETH,BCH,XRP,LTC,XEM,DASH,MIOTA,XMR,ETC,NEO,ZEC,EOS,XLM,BAT,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,-0.155723324045885,0.0739898148720124,0.266587237594968,0.1464256734508,0.241819790270245,0.0620174160643158,0,0,0.0550158099283165,-0.099232501203906,0.0206902673687475,-0.0296728232039568,0,0,0,0,0,0
ETH,0,0,0.0472521876823465,0.136051430990783,0,0,0,0.220950162323063,0.113750591560646,0.179079958247772,-0.0195297956616414,0,0.0580007089156167,0,0.246238196729856,0,0,0,0,0
BCH,0,0.0553299421810672,0,0.250459048253499,-0.944500294255041,1.21009489167152,-0.531391287950801,-0.56220013882822,0.221457595286682,0.671996867654718,-0.0306562791799846,1.03073301889508,0.083133545452646,-1.19426803105435,0,0,0,0,0,-0.420879301392791
XRP,0,0.418250083596703,0,0,0,0.168054935681261,0,-0.0205587120621332,0.0641400120444478,0,0,0,0.0167770116696427,0.236370271300799,0,0,0,0,0,0
LTC,0,0,0,0.0534997673736103,0,0,-0.101925334662605,0.106756096542095,0.0923954153665447,0.250654225643198,0.0159180625624978,0,0,0.020695366827228,0.0131160469290469,0,0,0,0,0
XEM,0.18809985691487,0,-0.0390896478981106,0,0,0,0.121697712251375,0,0,0,0,0,0.15503474761027,0.155595675099932,0.288759994656523,0,0,0,0,0
DASH,0.257853853281567,0,0,0,-0.112603200228751,0.193341857536206,0,0.100889791828393,0.0703108044769442,0,0,0.402815615431951,0.0498940154099275,0,0,0,0,0,0,0
MIOTA,0,0,0,0,0,0,0.240138515589688,0,0,0,0.208695782783048,0.431464632915555,0.0416343361731373,0.286788130077301,0.0448802584485351,0,0,0,0,0
XMR,0,0,0.110892967288891,0.127475717927582,0,0,0.331400197530117,0.0857157981348749,0,0,0.0963478173932334,0,0.0502217808853942,0.238931267385014,-0.0997132995026888,0,0,0,0,0
ETC,0.0705941655687401,0.312507748099896,0,0.181734840205779,0.294485465506792,-0.0156047200748095,0.119195089285802,0,0.0255522881696595,0,0,0,0,-0.181838399917466,0,0,0,0,0,0
NEO,0,-0.1365941072042,0,0.00511884909957858,0,0.319941132109069,0,0.248568674969892,0.0888633833641253,0,0,0,0.0723928183397245,0.0978127253330812,-0.0251101550899006,0,0,0,0,-0.0620755851825816
ZEC,-0.076100750435621,0.149421449384162,0.0206297447900258,0,0,-0.0624048118309113,0.122249058696437,0.199288400017266,0.0182336214682072,0.0869402970146699,0.0029174847275756,0,0.0470307132548201,0.174216888266373,0,0,0,0,0,0.0450048018332898
EOS,0.339534958795061,0.307443158172566,0,0,-0.462080114216049,0,-0.273828657562847,0,0,0.360407965317566,0,0.506616985796692,0,0.346602681812966,0,0,0,0,0,0
XLM,0,0.191848152599735,-0.0126936026603747,0,4.33680868994202e-19,0.198724370783386,-0.221357590904817,0.0868240191276445,0.492533661491421,0,-0.00514894555236852,0.0527945125755965,0.099359993284765,0,0.18753080283547,0,0,0,0,0.00656817314310278
BAT,0,0.0581437749785551,-0.0484497103738933,0.0337009062427067,0,0.195298278444165,0,0.0561461851031424,0,-3.46944695195361e-18,0.175867521845723,0.274225003466471,-0.0264018647048063,0.288414984058764,0,0,0,0,0,-0.109478727036909
BV010082.Index,-0.0465826442783483,0,-0.0151834819288264,0,0.0503501314442915,-0.00274350923789213,0,-0.00140000359616328,0.0271624652836038,5.42101086242752e-20,-0.0163680870466485,0.0422891420120514,0,-0.057936534262447,0.019657082437403,0,0,0,0,-0.00120907396202421
CVIX.Index,0,0,-0.0253169676533459,0.0762568947276803,0.0181474124147647,0.00809309116097573,0,0.00793790141812823,0,0.122103082443608,0,-0.0871935937466588,0.0206635845616853,-0.0594563694457956,0.00363321462210881,0,0,0,0,0.10442099349766
DXY.Curncy,0.00456006224669522,-0.00486751170519048,0.00337953010659871,0,0.0185109039651657,0.000207098976852428,0,0.00765145260784615,0.0062022644797315,0,0,-0.0133791258036101,0,-0.00191877645554088,0,0,0,0,0,0
SPX.Index,0,0,0.00226223789507902,0,0.00303789558897928,0,-0.01899708217198,0.0056005691353033,-0.00260232164458132,-0.0052376977218756,0.00367206668354382,0,0.00257393700589856,0.00355292462926411,0,0,0,0,0,-0.0520517074183042
VIX.Index,0,0,0.0486947818156642,0,0,0.170308326639769,-0.236161265524808,0.287681890533532,0.0738125476416198,0,-0.426774211746431,0,-0.113868599997624,0.0984707816151849,0,0,2.28672474814638,0,0,0
