,BTC,ETH,XRP,LTC,XEM,ETC,DASH,MIOTA,XMR,EOS,NEO,ZEC,DOGE,XLM,DGB,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,-0.0188977435924569,0,0.19102392654173,0.214708419550609,0,0,0.0381256499578005,0.208811137793839,0,0.0450708203712652,0,0,-0.139859700022483,0.0400189746537365,0,0,0,0,0
ETH,0,0,0.0256397068620863,-0.058320259106036,0,0.351470704877529,0,0.139362010605072,0,0.0915099293485919,-0.0405354491919166,0.181536646773792,0.284311468023726,0,0.00386295452359949,0,0,0,0,0
XRP,0,0.0646272159279641,0,0,0.323684734540782,0,0.231651560956543,0.158916560596445,0.12277211055781,0.0347110907168566,-3.46944695195361e-18,-0.180116131918094,-0.00180063143053717,0.22499527851814,-0.0880277964933589,0,0,0,0,0
LTC,0.294548125842486,-0.0665362038090981,0,0,-0.000586846895679332,0.220235790339552,-0.126891443606155,-0.0312689320894993,0,0.0251654074317457,0.123669749970891,0.0604278747559698,0.198080697859335,0.0210405881889996,1.35525271560688e-20,0,-0.0320362340203612,0,0,0
XEM,0.0373289710709527,0,0.32152723806395,0.251418295577201,0,0,0,-0.0896082933903774,0.241701043066797,0.0806523513434117,0.00464860829971944,0,0,0,0.0777273993108312,0,0,0,0,0
ETC,0.00778476058920408,0.210664587211715,0,0.162817700661825,0,0,0.083342641072598,0.0387326786263744,0.276482499578968,0.0356321148388969,0.0134008746289023,0,0,-0.243000550777719,0,0,0,0,0,0
DASH,0,0.0881934455646749,-0.0218294260646234,0.131654228642485,0.18179939050632,0.186453921533465,0,-0.0262390591803549,0.209302119261205,0,0.0418699748951222,0,-0.0372720369058058,-0.104027802459407,0.140614841043653,0,0,0,0,0
MIOTA,0.315065812751087,0,0,0,0,0.213611812832034,0.22285874794522,0,0,0.0588026845116777,0.0109026619053072,0.11417542414479,0.293303247521363,0.14887231293141,0.151924141043885,0,0,0,0,0
XMR,0,-0.0597621505722603,0,0.181698393631251,0.0712652568293457,0,0.479593839391077,0,0,0,-0.0153159103645783,0,0,0.190676245016066,0.0559145357588998,0,0,0,0,0
EOS,0,0.550016961931491,0,-0.478477364207202,0.3713761509043,0,-0.0314561923759917,0,0,0,0.172277229420486,0,0,0.0204776229972321,0.175402059820003,0,0,0,0,-0.0211172153232568
NEO,0,0.198585680334173,-1.82332833087787,0.224320055895464,0.610994015084898,0,0.764630676892819,0,0,0.0903179631870528,0,0,0,0,0.0466741695161015,0,0,0,0,-1.38777878078145e-17
ZEC,0,0.220390452189615,0,0,0,0,0.0240789079591693,0.0889764008433591,0,0.0296415074246072,0.0722679415576878,0,0.0605987191428735,0.207783480450076,0.015556546238362,0,0,0,0,0
DOGE,0,0,0,0.0535622205115762,0.44640180038716,0.184524319443636,0,0.0164276993213997,0.0907372426911444,-0.0645994790198244,0.0187718347717403,0,0,0,0.116149902469757,0,0,0,0,0
XLM,0,0,0.788194658383159,0.202377397015522,0,-0.0622352529812448,0,0,0.182262400875376,0.080914647565262,0.0267805949427702,0,0,0,0.10844498508282,0,0,0,0,-0.228695335549651
DGB,0,-0.290639277840573,0.234101875840281,0,-0.0804314586882407,0,-0.324661172203349,0.344990635674893,0.138900242041055,0.204006361658903,0.0544725710840775,-0.75786607973532,0.674542495184709,0.652595842288437,0,0,0,0,0,0.462956347524857
BV010082.Index,-0.00484880030678814,0,0,0.0259748653786719,-0.0689701480251306,-0.0354249167350665,0.045523632944263,0.0079827589640916,0,0,0,0.0444891566414862,0,0.013429905043292,0.0151728504232742,0,0,0,0,0.0608454386189702
CVIX.Index,-0.0988675696929175,0,0.0795659331926113,0.0142322089225015,-0.0636453483984969,0.0239893428137883,-0.0540172304327213,0.0408511650339639,0.0800493303818982,0.031260789902889,-0.0213692562914075,-0.104795810683383,0.116097228559585,0,-0.0136546842710273,0,0,0,0,0
DXY.Curncy,0.0427633349900301,-0.00334799877396761,0.000658025401110997,0.00139508088339207,-0.00732065025763896,0,0.0168292555513942,-0.000840075167850452,0,0.00116713417487512,-0.00994159278063554,0.0123743974643803,-0.0236760650053213,-0.0106413316374758,-0.00279371097879647,0,-0.0816874779871216,0,0,-0.031132431242185
SPX.Index,0.00114659167582478,0.0091526739099985,0.0102517484832701,0,-0.00351883131466054,-0.00165445978968391,0.00390557377418563,-0.00690264877588439,0,0.00129595702157334,-0.00163595500506669,0,0,-0.00530703463427684,0.0026692957185246,0.0277370254207066,0,0,0,-0.0661807788490246
VIX.Index,0.204000253124663,0.316067743907263,0.0501853711737677,-0.325183830449009,0,0.0516108462404139,0,-0.175010091600402,0.101025199249489,0.0476425513494102,0,0,0,0,0,0,0,0,0,0
