,BTC,ETH,XRP,BCH,EOS,XLM,LTC,ADA,XMR,MIOTA,TRX,ETC,DASH,NEO,XEM,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0.0684716837796405,-0.140512928639962,0.0837567051505437,0,0.0991747276067068,0.287838439482353,0,0.205651507235225,0,0,0.0325356033334868,0.101404759093555,0,0,0,0,0,0,0.0519693002646532
ETH,0.195064737768372,0,0,0,0.122396104494367,-0.0522860026615189,0.0185364639943691,0,0.106597918529755,0,0.168846093025343,0.0981899273650076,0.117324643963621,0.133479499024033,0,0,0,0,0,0.0458623218260653
XRP,-0.133986853748789,0.169403549081342,0,0,0.358358139194171,0.122221220594963,0,-0.201783026172441,0.098446352759754,0.205153533908642,0.000000000000000000433680868994202,0.068992996300785,0.0511044454977031,0,0,0,-0.187389724283141,0,0,0.0983277963919709
BCH,0.146341736348204,0,0,0,0,-0.0404310419355574,0.345649088239116,0.152183847277292,0.0944176323445584,0,0.269418690774176,0.0785776082815403,0,0,0,0,0,0,0,0.00000000000000000346944695195361
EOS,0,0,0,-0.00000000000000000693889390390723,0,0,0.515365702953514,0.0167524735122012,0,-0.129903609782195,0.274418395458653,0,0.356192232410077,0.182811113706467,0.196835617173627,0,0.0514169080583227,0,0,0.0129866316267232
XLM,0.186577931473138,0,0,0,0,0,0,0.241502209800217,0.232822762642063,-0.0505489573696304,0.225874827819588,0,0,0.0839132247433415,0.128164785991837,0,0,0,0,0
LTC,0,0,0,0.264418222004929,0.29157049032792,0.0425038034264561,0,0.158333521134723,0.0620699262844703,0.020056678148573,0,0.177862414614167,0,-0.0122850509741355,0,0,0,0,0,0.139838587598219
ADA,0,0,0,0.260683104689773,0,0.278428995511744,0,0,0,-0.000000000000000000867361737988404,0.17904603214662,0.112730564584667,0.0662649901838093,0,0,0,0,0,0,-0.0832592248986059
XMR,0.30681268723057,0,0,0.316756998103838,-0.00000000000000000173472347597681,0.0973914462724088,0,0.0000000000000000277555756156289,0,0.030888042164934,0,0.14444288390084,0,0.1483492787427,0,0,0,0,0,-0.0415747925711899
MIOTA,0.393019106088323,0,0.377477088931966,0,-0.269092318109109,0.229925193274388,0,-0.222822475249915,0,0,0,0,0.0144920260335641,0.809317926812416,0,0,0,0,0,0.0132655963552358
TRX,0,0.483428359829501,0,0.000000000000000000867361737988404,0.400396742508432,0.0805053146584978,0,0.351989142365007,0,0,0,-0.170331881407088,0,0.189291947166139,-0.313999683681035,0,0,0,0,0.00969062504778237
ETC,0.411401721714272,0.611620901859784,0,0,0,0.0741922014300843,0,-0.205735443669204,0.0759943488113433,0.453899426601907,-0.312926774056468,0,0,-0.127430262109011,0.112534802398516,0,0,0,0,-0.0410116934672391
DASH,0,0.335930109519978,-0.143781566876765,0,0,0,0,0.133594753303922,0,0.0498787080097428,0,0.0516654608235856,0,0.415309659166812,0,0,-0.154674229791097,0,0,-0.00360657044605886
NEO,0,0.217862570788738,0,0,0,0,0,0,-0.0372141794013036,0.434716063242703,0.216167830279976,-0.0864665503180969,0.138645024334028,0,0.271555294310149,0,0,0,0,0.132457566949221
XEM,0,0.457009736728639,0,0,0,0.272976827881536,0,0.187939481281403,0,0,0,0,0.284747865007222,0,0,0,-0.103399244751674,0,0,0.0814353207717384
BV010082.INDEX,0.00945872172733182,0,0.0608721551607385,0,-0.0216922451102456,-0.0138818121305855,0,0,0.0388168997984497,-0.0702714564989461,0.0403121205957518,0,-0.0617599232785521,0.0408098006505471,0.0162751011764297,0,-0.136500337417455,0,0,-0.0311911589134099
CVIX.INDEX,0,0,0,0,0,0.106556334133844,0,-0.00000000000000000346944695195361,0.174403323621656,-0.161412373564468,0.0267895098876703,0.0628258264356364,-0.279015057866401,0.225633622030199,-0.0709226628647301,-0.918052544332851,0,0.391941519717985,0,0.0625446223763902
DXY.INDEX,0,-0.0773178447082042,0.0117952438120069,0,0,0.00361278933082397,0,-0.0177841816414496,0.0347874565007464,0,0,0.0277887745051179,0,0.0129828273190394,0,0,0.160606637584096,0,0,-0.00186177959316357
SPX.INDEX,0,0,-0.000422436274040361,0.0162476674910853,-0.0184792181730555,0,0,0.0115419412316644,0,-0.0195453820938873,0,0,0,0.00476440312152668,0,0,0.0441176775972957,-0.0428264341672056,0,-0.0684581742219433
VIX.INDEX,0,0,-0.433009669695616,0,0,-0.137539516110132,0,-0.21392638306702,-0.243205006298668,0,0.0555904784698193,0.0126079544611326,0,0,0.670513214449847,0,0.191047542383937,0,-4.27942203291001,0
