,BTC,ETH,XRP,BCH,MIOTA,LTC,NEO,XEM,DASH,ETC,XMR,EOS,ZEC,BAT,DOGE,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,-0.132038821945548,0.0859415835821517,0.271270272462773,0.0182022442432054,0.0911199722564207,0.134616889350753,3.46944695195361e-18,0,0.0450154143923819,-0.0367065696996871,-0.00746456318111525,0,0,0,0,0,0.0782620173537665
ETH,0,0,0.109946828279003,0,0.114837227459647,0,1.73472347597681e-18,0,0,0.282384017158286,0,0.0415571078719635,0.0364730227404487,0.1810081956297,0.13283190832102,0,0,0,0,0
XRP,0.13367873189041,0.336742440658777,0,-0.041206066682245,0.0530295135780679,-0.00449400085416941,-0.0565438729166312,0.197249162714509,0.106707972691472,0,0.140059618820531,0,-0.178001871371887,0,0.195116088756218,0,0,0,0,0
BCH,0,0,0.709923202488666,0,-0.752517054733432,-0.918571392957608,0.183595148803599,0.48555200424231,0,0.636853048771764,0,0.0940841722175851,0,-0.297693573545516,0,0,0,0,0,-0.173427424329706
MIOTA,0.659425976367025,0,1.12145674267295,0,0,-0.17627811237646,0.0668352551450771,0.498122269146902,-1.38777878078145e-17,0,0.286625931805358,-0.0200819305678562,0,-0.400144350003803,0.0917584188148303,0,0,0,0,0
LTC,0,0,0,0,0.0580683622482439,0,0.0307329228547692,0.0623472703637829,0.062705555594763,0.208598103980523,0.00230849855105078,0,0.127553062795928,-0.0232866397819131,0,0,0,0,0,0
NEO,0,1.20453842998673,-2.07876213860623,0,0,0,0,0.701074240276102,0.844715897929988,0,0,0.00756030269807546,0,0,0,0,0,0,0,-0.148079166986828
XEM,0,0.0501805865696585,0.42560416151501,0,-0.019244129910042,0.141320861202522,0,0,-1.98952600992925e-05,0,0.232125470405794,0.115981641806131,-0.1074327464951,0.0594967491099416,-0.0870799326863397,0,0,0,0,0.131776766848738
DASH,0.0423272833296679,0.17836427116198,0,0,0,0.11538612744475,0.0298007332740397,0.140041194348479,0,0.136629662673432,0.299898873987794,0,-0.0344034438151612,-0.0239695695999771,0,0,0,0,0,0.11669073786984
ETC,0.121987535531653,0.238850669889236,0,0,0,0.163075044462243,0,0,0.113847233768398,0,0,0.0283004859661881,0,0,0.17399736484313,0,0,0,0,0
XMR,0,0.136047342597055,0.0241537346226479,0.123448112869859,0.0241845842461583,0.0828313768864242,0,0.0576563167109777,0.363941561028483,0.043446053351027,0,0.0502774270945601,0.02375729957762,0.0631640694929107,0.0872551943479505,0,0,0,0,0
EOS,0,0.277511496810635,0,-0.219511120353145,0,-0.414323067637546,0.115657772545345,0,-0.216530971972796,0.684831279477199,0,0,0.513715508378888,0,0,0,0,0,0,0
ZEC,0,0,0,0,0.123099055767823,0.0256106024190768,0.0190727758501233,0,0,0,0.202714743573929,0.00944518830630049,0,0,0.405718994430814,0,0,0,0,0
BAT,0,0.292542527746515,0,0,0,-0.0592241846751095,0.0225332474484192,0.214719224540074,0,-0.32359905633003,0.320248203118135,0,0.238442443629445,0,0.406886981686217,0,0,0,0,0
DOGE,0.223472419502439,0,0.512417202846375,0,0.0725133477387107,0.073568796053584,0,0,0,0,0.0112939630421561,-0.0284409578202874,0,0.109261535611107,0,0,0,0,0,0
BV010082.Index,-0.101775016321954,0,0,0.00769375720285752,0.0138648423736822,0.0304639516930153,0,-0.0273857076863055,0,-0.0278253614129385,0.0470113503068017,0,0.0372474910098225,0.0113217637832955,0,0,0,0,0,0.024270115817815
CVIX.Index,-0.0694282524232727,0,0.0114982584578198,0.0174600669851648,0.0572001156090452,-0.0340183420601401,0.0297640117722472,0,-0.0552685653985945,0,0.0591845494822389,0.0276805114750586,-0.119435108247745,-0.0463487584157834,0.0846515081648283,0,0,0,0,-0.0114470056057423
DXY.Curncy,0.0292148675118142,-0.0290259438225385,0.0294551473773383,0,0.00672704015068234,0,-0.00577660259558448,-0.0100534077555275,0,0.00850427490809318,-0.0024329133759438,0.00363585059997711,0,0,-0.00799939893120991,0,-0.0299983356614826,0,0,-0.00667740873017629
SPX.Index,0.00251284620464254,0.0127546925489188,0,0,0,0,-0.000805681527273527,0,0.00130768593626183,-0.00648863780873744,-0.00627447003996185,0.000990015567356089,0,-0.00196905000821724,0,0,0,0,0,-0.0633144277860071
VIX.Index,0.355809137743556,0,0,0.142691985123607,0,-0.238524598304109,-0.0305110557884,-0.203366036201641,0,0.0791222383052905,-0.0874652929017342,0.0650831392470389,1.38777878078145e-17,0.203199035572475,-0.133984487229004,0,0,0,-6.31578288304386,0
