,BTC,ETH,XRP,BCH,LTC,EOS,BNB,BSV,XTZ,XLM,TRX,ADA,LEO,XMR,ATOM,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0.210355482737315,0.175439264170912,0,-0.11054730168471,0.0193318417698416,0.0682886894129324,0,-0.0148784493850898,0,0.0951813024016689,0.240865821861982,0.140392456691556,-0.208880626788472,0,0,0,0.0427998285365414
ETH,0,0,0,0.162154381966444,0.252672239600236,0.170905088894436,0.256895371684148,0,-0.0854594784103709,0,0,0,0,0.0546621939194764,-0.00376970766903143,0,-0.0212655897697606,0,0,0.0164247181948413
XRP,0,0,0,0.306201968928567,0.0538206010403328,0,0.0912693958825084,0,-0.0345769834696035,0.0777648255641881,0,0.268453672847818,-0.0738887086786922,0,-0.154996195692248,-0.127264625532615,0,0,0,0
BCH,0,0.220407107581712,0.179681275028263,0,0,0,0,0.0597170146543554,0,-0.023925871251803,0.290975522725213,0,0,0.0365992404779257,0.143797735719721,0,0,0,0,0
LTC,0.22231497149982,0.13483192042939,0.0897541228786959,0.0473769484972004,0,0.434925882964124,0,0.0225847908118358,-0.0110523019363831,0,0,0,0,-0.0578179768353049,0.118888610172794,0,0,0,0,0.00631190275909141
EOS,0.122519299722006,0.520908734536997,-0.151247524692949,-0.105846807819576,0.504789757270136,0,-0.143950594844766,0.0421999515539478,0,0.0124734947745691,0.212398277692832,0.0188735301430881,0,0.0564055483825194,0.077419239012115,0.0369938016703613,0,0,0,0
BNB,0.00993374556819004,0.106981071146373,0.166841735200235,0.159899439994356,0.333880164153369,0,0,0,0.0286532377615329,0,0.0509561585495032,0,0,0.0275476468123364,0.0472787661320712,0,0,0,0,-0.0329178334472577
BSV,0,0,0,0.542136024264645,0,0,0,0,0.11749570620881,0,0.0769918853289066,0.188070517873052,0,0,0,0,0.131998633780826,0,0,-0.0576365569533874
XTZ,0.499637673508322,0,0.854135783100027,0,-0.152267529326138,-0.504566033116388,0,0,0,0,-0.12243998794826,0.456831957420246,0.105794084866892,0,-0.0907834823193695,0,0,0,0,-0.0640658326382475
XLM,0,0,-0.0116079000301775,0,0,0.015309451694617,0.105865515116493,0.130210506420529,-0.149045926822094,0,-0.000000000000000000433680868994202,-0.0418643891216816,0.456535881688552,0.0973432444895275,0.28356259111451,-0.0987718070669096,0.330611763973057,0,0,0
TRX,-0.401134719261465,0.945194633659019,0.029915344659343,0,0,0,-0.044582930148139,0,-0.172339213590342,0.0693985788223459,0,0.58443173666909,0,0.277887560234577,0,0.214815415530775,0,0,0,-0.196511722424895
ADA,0.024439935186345,0,0.124640590487511,0.000382090955224334,0,0.393683525703257,0.0424440711907999,0,0.0233399367853231,0.0818651414957316,0,0,0,0,0.144664871366484,0,0,0,0,0.0014920073532006
LEO,0.353141178277171,0,0.0707369562805672,0.0275220595570114,0,0,0,-0.0212422601753915,0.0902890004805133,0,-0.180494058292891,0.0257402510728122,0,0,-0.0964054855180127,-0.21994796205653,-0.033574859556333,0,0,0.0610818827971107
XMR,-0.13868495130299,0,0,0.149516570526781,0,0.528356345988856,0.125572182774833,0,0.114834508604055,-0.0542253990586062,0.0464944645459965,-0.190578917754022,0,0,0,0,0,0,0,-0.028764452351237
ATOM,0,0,0,0.177601824150319,0,0,0.260703988322384,0,0.0687574527574608,0.437954809158914,0,0.374481580154906,0.21458522610689,-0.337403113788346,0,-0.462257152691323,-0.0832264323629258,0,0,0
BV010082.INDEX,0,0,0,0.250443601938883,0.252578575720676,0,-0.0698819061494567,-0.0906721479642795,0.10458144153439,-0.23498303393137,0.102612770642357,-0.0847063924467,-0.356298610307061,-0.203224354846068,-0.213869163922235,0,0,0,1.14304918050768,-0.0597840912177314
CVIX.INDEX,0.188524793757366,0,0,0.151576452323336,0,-0.111603952663167,-0.125614558988212,-0.0762759191732461,0.222135955202895,0.164833108544935,0,0.0471544399496407,0.0930922777782736,0,-0.229294849061335,0,0,0,0,0.0917563295022145
DXY.INDEX,0,0.028793583238753,0,0.034704672819344,0,0,-0.0169992752222465,0,-0.00854255770007603,-0.0172275805293966,-0.018754331755665,0,-0.0223017592105556,-0.000650958986676791,-0.00894880114091021,0.0506155027924008,0.0479120397943784,0,0,0
SPX.INDEX,0,0,0,0,0,0.0358938934852278,-0.0142215409122763,-0.00487272042577358,0,0,0,0.00140140719033518,0,0,-0.00354409906362831,0.0513298686876508,0.00217480944229181,0,0,-0.039089143486524
VIX.INDEX,0,0,0,0,-0.0547812787838225,0,-0.163308084774452,-0.105334546823244,0.111863336897145,0,0,0,0,0,-0.149566064140969,0,0.505605831710677,0,-2.8322552634829,0
