,BTC,ETH,XRP,BCH,EOS,XLM,LTC,ADA,XMR,ETC,MIOTA,TRX,DASH,NEO,BNB,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,0.14845131121021,0,0.0771003739992741,0.262741041429328,0,0.144782786665226,0,0.0108759688953704,0.0407271296386524,0.0765917876139653,0,0,0,0,0,0,0.046596896810506
ETH,0.102126273196184,0,0.0259938932359177,0.046106785716631,0,0,0.124107356350508,0,0.107625928135333,0.0946238707431966,1.73472347597681e-18,0.121894985687167,0.0822289036047769,0.128939983397831,0.127275215043497,0,0,0,0,0.0379428637999441
XRP,-0.0433454376071374,0.115875103306219,0,-0.0812397229672308,0.339959861398895,0.112178515465107,0.0482943436652707,-0.211041553366394,0.13914564460753,0.089374507772781,0.21961693276311,0.00896656284175951,0,0,0,-0.0847806974938273,-0.203228739029754,0,0,0.0795536371314583
BCH,0.23458490048477,0,0,0,0,0,0.349497312997211,0.104911112691903,0.121670067962059,0.0813070716034717,0,0.173601358171141,0,0,-0.0170436283265367,0,0,0,0,0
EOS,0,0,0,0,0,0.0199899981042897,0.589043418923221,-2.16840434497101e-19,0,-0.089427789784844,-0.0212680427454463,0.206454077655782,0.467193061135678,0.218923417928237,0,0,0.178592574985334,0,0,0
XLM,0.318597091489328,-0.292016635753205,0.281203362356254,0,-0.102898033153318,0,0,0.248558014381782,0.248713339272937,-0.0205511368035127,-0.10685606807336,0.181943356489477,0.0143281387434846,0.326397349426273,0.0675918513212591,0,0,0,0,0
LTC,0.136372795670116,0,0,0.33511504602937,0.414996236448196,0.0116700119287563,0,0.0774462990420348,0,0.144854519441404,0.0774495580657134,0,-0.0232192623653228,-0.166490303756449,0,0,0,0,0,0.0980569605046018
ADA,0,0,0,0.329007876122749,0,0.303925178891236,0,0,0,0.00687751400343774,0,0.0293132995107596,0.16838155014293,0,0.101147268155652,0,0,0,0,-0.102607871653899
XMR,0.430450811798585,0,0,0.03143190897071,0,0.11864596866508,0.630366791003351,0,0,0,0,-0.0888024032098259,0,0.147459527708378,-0.0134292135616564,0,0,0,0,0
ETC,0,0.728616199461091,0,0,0.272263794936421,0,0,0,0.0287041579973088,0,0.277135826740819,-0.188173232839948,-0.177500950163823,0,0,0,0.217767600111382,0,0,-0.0673811368348007
MIOTA,0,0,0.546244809444797,0,0,0.371826086107869,0,-0.216463496239597,0.142154441105848,0,0,0.0427694832851102,0,0.53119398229252,0,0,0,0,0,0.121024239482859
TRX,0,0.516871308021673,0,0.0603308138980792,0.164639404207764,-0.000358186261269305,0,0.162255547924835,0,-0.0836806726809778,0,0,0.0312512415005323,0.0722576451332756,0.211799268064147,0,0,0,0,0
DASH,0,0,0,0,0,-0.0689164680072678,0,0.346956430951089,0,-4.33680868994202e-19,0.049586346156016,0.0661991306885201,0,0.32607841658013,0.111362055488567,0,0,0,0,0
NEO,0,0.512286024969419,0,0,0,0.0603229686962991,0,0.101174787657607,-0.0411401839353079,-0.198065865926427,0.390873713017967,0.179215693903211,0,0,0.105293601231293,0,0,0,0,0
BNB,-0.0699296997988804,0.792307444942852,0,0,0,-0.0264214350662751,0,0.10057193910547,0,0,0,-0.0340067461143445,0,0.0591991745630351,0,0,0,0,0,-0.154990295431385
BV010082.Index,0.0121613553587122,0,0.0721386317010029,0,0,-0.0109198736443703,-0.0227345736315069,0,0,0,-0.01323919387812,0.0289553027084216,0.0049986994069887,0.0135321428341994,-0.0448780829558149,0,-0.211993535673851,0,0,-0.0191600754600275
CVIX.Index,0,0,0,0,-1.73472347597681e-18,0.112384890679273,0.00428694828146698,-0.00651570427453819,0.177169707487299,0.030260397264783,-0.0528278380646018,0.018114588153587,-0.211835859809354,0.0586207433135169,0,-0.977882360203917,0,0.743869454849797,0,0.082920379125143
DXY.Curncy,0,-0.0478054884006179,0,0,0,0.0101204217933346,0,-0.0194993970669018,0.0324864122684363,0.0301363053529657,-0.0190014458137434,0,0,0,0.0150891131907093,0,0.148969618614092,0,0,-0.00190883870083776
SPX.Index,-0.00618152254347724,0,0,0,-0.0178415336067433,-0.000102092907505437,0,0.0135704357776146,0.00315333672748546,0,-0.00824030385814434,0,0,0,-0.00446510461278601,0,0.0496618560193809,-0.106435123532571,0,-0.0686320552935078
VIX.Index,0.284245996250916,0.111501728132018,-0.243108315220304,0,-0.181597911276871,0,0,0,-0.184357112524234,0.33992107252188,-0.242757873763832,0,-0.335275708792066,0.627169997040531,-0.507674383138959,0,0,0,-4.65026553968052,0
