,BTC,ETH,ETC,XRP,LTC,DASH,XEM,DOGE,XMR,XLM,DGB,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0.0132816347663259,-0.0305239466119575,-0.0505872715202994,0.501754894408766,-0.00274147808653146,0.053416091912381,0.0643760815229494,0.181104564789125,-0.0137333496774996,0.0568842342643113,0,1.73472347597681e-18,0,0,-0.0420622305289135
ETH,2.35528404205589,0,-0.334095448177742,0,-0.711838309668466,1.06855365415539,-0.262660611776892,0.539372640907214,-1.29977464702642,-0.547901687680959,0.192476227164869,0,-0.327745568852606,0,0,0.180381000711844
ETC,1.39643583588163,-1.25827641549016,0,0,0,0,-0.187218912162362,2.31003868697126,-2.12859841652893,0.481154540919867,0.668918235698426,0,0,0,0,0
XRP,0,-0.0177835938272966,0,0,0,0,0.0770385602532766,0,0.053381660774181,0,0,0,0.051648289692899,0,0,0
LTC,1.11975799485366,-0.161187830534387,0.0214826674122316,0,0,0.466893676419153,-0.123049135378945,0.113778290296407,0,0.198418997669842,0,0,0,0,0,-3.46944695195361e-18
DASH,0,0,0.0240509926553052,0.0735994618824745,0.191346419140349,0,-0.0198805806999186,-0.175267921336159,-0.020257766743047,0.174266847261076,0.171355188303317,-0.333184325769862,0.160777884134417,0,0,-0.0637165785992298
XEM,1.66947946424651,0,0.051870424566887,0,-0.454103280974234,0,0,0,0,0.641584332073407,0.321881675070071,0.46553579970591,0,0,0,0.269724097690768
DOGE,0,0.105865959949668,0.0217940349577235,0,0.410877984887024,0,-0.0609199299370439,0,0.28631334239872,0.045469195923143,0.0148183789400069,0,-0.199559165939089,0,0,0.0787308089769456
XMR,1.29429036254624,-0.231738779616047,-0.110515044192813,0,-0.3368977219366,0.220105359100273,-0.082743494650965,0.177893915894348,0,-0.0143400804831695,0.0985218398194671,0.805801212750143,0,0,0,0.00328718358446388
XLM,0.63968378742688,-0.229877029549059,-0.0602641213437162,0,0.226960696007995,0.265851051804938,0.195082694633226,0,-0.0914856722430264,0,-0.0494968332805667,0.141421006327913,-0.382647702067413,0,2.04981222144196,0.362178129785784
DGB,-0.396932889887039,0.62175051939607,0.143058592335777,0.216262025405427,0.386795984929677,0.295801169798194,0,-0.52368927035352,0.145411872950992,0.376526073264642,0,0,0.797982267722888,0,-2.5549647984237,-0.54465384447422
BV010082.Index,-0.281920693588924,0.0708971050905223,0.0408942970720005,-0.170660096392205,0,0,0.0438376251164036,-0.0702714681548424,-0.00772228388998316,0.0512877566758016,-0.0239247562646398,0,3.46944695195361e-18,0.483867819620174,0,-0.132976764798843
CVIX.Index,0,-0.140513120066967,0.0157287685615067,0,0,0.362833183209117,-0.0653589581651007,0,0.0650177926167969,0.133090005394897,-0.0174868724036554,0,0,0,0,0.140867842335167
DXY.Curncy,0,-0.0181667671508227,-0.00132499830996668,-0.00625347480997845,0,0.0694609068336601,0.00647167242128766,0,-0.0280699653066993,0,0,0.15662232542177,-0.0139737280983356,0,0,0.0284828113593353
SPX.Index,0,0,0,0,0,0,-0.0129833862053733,0,0,0.0274193287868314,0,0.000701750388312694,-0.0428304172619906,0,0,-0.0803863619078499
VIX.Index,0.0945383701572495,0.0912945224789444,0.101523904562763,-0.932269265279627,0,0,-0.117058252069937,-0.774582379258558,0,0.52151505780943,-0.225030039436246,0,1.15796442976751,0,-0.667451597996703,0
