,BTC,ETH,BCH,XRP,LTC,DASH,ETC,NEO,XMR,XEM,MIOTA,ADA,ZEC,XLM,EOS,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,0,0.351063082872293,0.0376458365162443,0,0,0.206115989368197,0,-0.40209103371168,2.71050543121376e-20,0.0468374941244374,0,0.246969525339586,0,0,0,0,-0.0149738455789457
ETH,0.0346196930487898,0,0.0091591155026283,0,0.167336175833307,0,0.00386149493727676,0.0361533241267626,0.187367520574053,0.242176022924648,0,0.0341514664605159,0,-0.00789904991610882,0.0709801131477737,0,0,0,0,0
BCH,0.088800160648977,0,0,-0.0557733317537578,0,-0.30992946590803,0.507657739503466,0.145610111054898,0.277486966775565,0.0718981158839858,-0.21968269433502,-0.0705054816400546,-0.227362623221969,0.0563138965864216,0.338805196937366,0,0.420626965322823,0,0,0
XRP,-0.0519207059083636,0.578208101948261,-0.0338311271611814,0,0,0,0,0,0.299947067522967,0,0,-0.0443604330768203,0,0,0.132515688772919,0,0,0,0,-0.0995276885804129
LTC,0.31437575969754,0,0,0.409202511383615,0,0,0.202681778172255,0,0,0.257512479534166,0.0526435057130866,-0.0739206695048913,0.0262931847416121,0.0127555541436705,0.0413807903072909,0,0,0,0,0
DASH,0,0.266607939258346,0.126094594600964,0.0839833411072642,0.0516590877054749,0,0,0.0345011327971365,0.053058409712664,0.0345389832219693,0,0.122599906110517,-0.0553584899423547,0.0311938491449129,0.143663709576325,0,0,0,0,0
ETC,0,0.685390530794673,0.3850634008664,0,0.339906200796152,-0.314540301466546,0,0,0,0,0.0625435310053184,0,0,0.0693240922113497,-0.0369868804185487,0,0,0,0,0
NEO,0,0.132040244489901,0.0342448592914027,-0.00748144845805134,0,0.331062490592628,1.38777878078145e-17,0,0.00590269502328344,0,0,0.11686354380426,0.517703080314359,0.141823557193516,-0.145005532032459,0,0,0,0,0
XMR,0,0,-0.00952142172844935,0.0733165076408014,0.0340073866771361,0,0.226870602961608,0.101240511767206,0,0.229555071527008,-0.0919383816807,0.201584171130387,0.169918995620486,0.0362195925591607,0.0107941428816503,0,0,0,0,0
XEM,0,0.340482637184552,-0.0199138383026026,0,0.102570124789137,0.316678217824172,0.0690654277241738,0.128267513485366,0.116546503292272,0,0,3.46944695195361e-18,0.0912362563270456,0.0110121289997384,-0.0704883045353099,0,0,0,0,-0.246349098985608
MIOTA,-0.489833860864291,0,0,0,0,0,0,0,0,0.634544041900441,0,0.124925222789707,0,0.0949895386705584,0.443147466747582,0,0,0,0,0.0160088982096319
ADA,-0.365072985039142,0,-0.32856344049368,-0.084824501591029,6.93889390390723e-18,0.145678204897617,0,0.166610721478424,-0.235081061196267,0.429662049658077,0.407640791907878,0,0.12501920599529,-0.135475138978875,0,1.42101720042003,2.54053828377044,0,0,0
ZEC,-0.060093658475889,0,0,-0.10257390772648,0,0,0.132781048620714,-0.0541748896907493,0.285382315538934,0.158093147999456,0,0.0504695172529144,0,0.0407619539581206,0.137299180199713,0,0.130454201749676,0,0,0.15167870292241
XLM,0,0,0.13526595999691,0.798115475576413,-0.66237039415071,0,0,0.528562985324245,0,0,0.618938707146686,0.0885044895055345,0,0,0,0,0,0,0,-0.499568621822158
EOS,0.485114510089591,0,0,0,0,0,0,0.0220133745095105,-0.521944710617582,0,0,0,0.877973888077673,0.0775448832693121,0,0,0,0,0,0.102888330067878
BV010082.Index,0.00188732105335358,0.0427118022873152,0,0.000941322194286449,-0.0934393562259954,0,0,0,-0.00567181588090641,0.0372391633777244,0,-0.0284294514076025,-0.0161375616329,0,0.0395554834691181,0,0,0,0,-0.00330382327480304
CVIX.Index,-0.0741101494413588,0,0.0669824410473736,-0.00710659542137187,0.071091648172516,-0.266647149808174,0,-0.0148630816883035,-0.08920375386092,0.0911314419337499,0,0.0508740943095182,0,0.0155451699242753,0,0,0,0,0,0.117542457650727
DXY.Curncy,0,0,-0.00778863192119181,-0.00858893484109712,0.0010085074045818,-0.029873502206887,0,0.00299333522840384,0.00565149924744927,0.00119625284329564,0.0118536844022482,-0.0195385925450599,0.0155834478683206,-3.3881317890172e-21,-0.00559270977189725,0.0914274020374679,0,0,0,0.0142958855784937
SPX.Index,-0.00583166558641291,0,-0.00131301539457941,-0.00564767256411983,0,0.00939782344470813,0,0,0.00274884057572991,0.0082154730576295,0.00641746262299356,0.00193604946440666,-0.0322312966133139,0.000877410198888165,0.00556979381113254,0,-0.0113484777512299,0,0,-0.0377152016386421
VIX.Index,0.0235483266447501,0,-0.147627252233353,0,0.17779058534453,3.46944695195361e-18,0,0.0722180175246999,-0.106100990230665,-0.313550408357077,0.190756555383476,0.125782500248607,0.268796059095584,0.0873343015243821,-0.178615864312481,0,0.948511486169692,0,-3.24203708643369,0
