,BTC,XRP,LTC,ETH,DASH,DOGE,XLM,XMR,XEM,DGB,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0.110221900332809,0.565898448653995,0.220135730533469,-0.120355443911528,0.346891924361769,0,0.0818438419202803,0.00572564096796033,-0.00634946772929822,0,-0.367748591904991,0.454246595405104,0,-0.0255545295811322
XRP,0,0,0.389101125048375,-0.336889704193007,0.439534779491383,0,0.471223005732611,-0.280831977109569,0.177463678246502,-0.0535552486809244,0,-0.698911021279652,0,0,0.340796786847459
LTC,0.727585994385171,0.0471803379829152,0,0,0,0.381718694815856,0,-0.237058094734297,0.00263056280844485,0.0675719770927685,0,0,0,0,-0.071773385402026
ETH,0.227110998461398,-0.197404116737219,0.166632393125734,0,0.451339731314513,0,0,0,-0.110956085123786,0,0,-2.22696197937543,0,0,0.275134435519407
DASH,0.291907674435763,0.240582603879682,0,0.207083059166497,0,0.223717998818186,-0.189232119061986,-0.117701016575574,0.0710303190878867,-0.0423603939236766,0.573095248925936,0.330118382112625,0,0,-1.73472347597681e-18
DOGE,0,0,0.556942944646184,0.0917900949418897,0.0179359391241919,0,0,0,0.114212996824521,0,0,0,0,0,0
XLM,0.4092615472717,-0.00160904225738404,0.391025071933828,-0.197596113896514,0.147648632111393,-0.567081263351383,0,-0.267005461291765,0.0920556785954734,0.167482977543965,-0.412338777736593,-0.172390044313189,0,0,0
XMR,0.0203811585707873,0.353179373115435,-1.38777878078145e-17,-0.0896868342135137,0.106288099256609,0.47377570284583,0,0,-0.103293068580689,0.0886806543032656,0,-1.07803013046745,0,0,-0.0275722787319628
XEM,0,0.0189209905348109,0.897958396168885,-1.60079769092162,0.265875307592396,0.446363587521769,2.77555756156289e-17,0.324070394434999,0,0.388703725590854,2.39147352560823,-4.58838074429195,0,0,0.559055716138791
DGB,0.438825289888603,0.0239264277223524,-0.601521025532078,0,-0.16325980477922,0.428753136488335,0.568328295742735,0.256261924115324,0.170072443376475,0,-1.70745245562711,0.323074918839652,0,0,0
BV010082.Index,0,-0.0678732046829747,0.0596582435859782,0.0648753812813527,0.0719862912025284,0,0,0.013682253378642,0.0245158324025562,-0.0827025741719897,0,0.0323500670891124,0,0,-0.0711357507731651
CVIX.Index,0.0449892538640175,-0.103147295922459,0.0204231395258406,-0.0899795625243679,0.110517856645392,0.106340926881702,-0.0394867168227882,0,-0.0686325297004985,0.0673440793260965,0.13448447787237,0,0.46778124251392,0,0.099042270397025
DXY.Curncy,0,0,0,-0.0069134759963948,0.029831238681849,-0.0260042975396928,-0.0471706990437101,0.0385196510185478,0.00758252926757171,-0.0066384156550034,0,0.147653852468636,0,0,-0.0378325328893732
SPX.Index,0,0,0,0.0104572142245058,0,0,-0.0333886615547477,0,0.013069951993862,0,0,0,0,0,-0.10128452019397
VIX.Index,0,0,-0.07563691235239,0.0462900831589977,0,-0.52816535315,0.0103029565763112,-0.0382833200563704,0,0.233146787401583,0,0.0828969238053534,0,-6.21097743217548,0
