,BTC,ETH,DASH,XRP,XMR,LTC,ETC,XEM,ZEC,DOGE,XLM,NEO,DGB,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,-0.302934956139284,0.00710610256539882,0,0.303216975102196,0,0.283981928999364,0.158826648475163,-0.231610258095105,0.0854568156636367,0.18685803528906,-0.290192801334077,0.0796230439581312,0,0,0,0,0
ETH,0.549684275018115,0,0,0,0.745471951925026,0,0.173514384758617,0,-0.200843695042038,0,0,-0.290656059456506,0.0804271160680372,0,0,0,0,0
DASH,-0.271741451036255,0,0,0,0.0953252922107418,-0.0588671389731387,-0.00895793283544089,0.14631837524391,0,0,0.161779739306891,0,0,0,0.181633453284047,0,0,0.437700565262107
XRP,0,0,-0.103722485219539,0,0,0,0.0859610159473345,0.158590195205728,0.29899496311827,-0.484159827301697,0.254898002691301,-0.117927597908799,0.136529982231523,0,0,0,0,0.320013955474187
XMR,0.204514322036013,0.430600131133776,0,0,0,0,0,0.206877785834897,0.18740577979067,0,0,-0.10677655406002,0.0211066754427421,0,-0.40223414553615,0,0,-0.186588118243568
LTC,0.350451313220779,0.0140837016219237,0.0218859575007879,3.46944695195361e-18,0.10209778403972,0,0.0692499692198431,-0.101971073081957,0.0283424105080358,0,0.0321444292224702,0,-0.0535388803931027,0,0.00655942927006468,0,0,0.083989043686591
ETC,0,0.332451456916598,0.0841122318527359,-0.112591609230074,0,1.02865326233193,0,0.0743652949902205,0.111673362297692,0.16605267501833,0.162903313268005,0.0473986352929323,0,-0.565317188395465,0,0,0,0.40648527540471
XEM,0,0.322838931688967,0.352126128771637,-0.0409464551272593,0,-0.680646064191076,0,0,0,0,0.185821865357382,0,-0.108193366454841,0,0,0,0,-0.298348933515895
ZEC,0.0644298928753024,0.0310277340207294,0.223582278162068,0,0,0,0,-0.0153994311191322,0,0.353192363546716,0,0,-0.183526334161205,0,0.145923974699537,0,0,0
DOGE,0.246676858447567,0.0219379182278213,0,0,0,0,0,0,0.287858546004668,0,0.293011698564608,-0.0589685717716777,0.163575885782183,0,0,0,0,0.14986605399736
XLM,0.0785472948448179,-0.154967235244526,-0.0352153284743825,-0.0634649180083049,0.166274689030297,0.427754828738714,0.371695816013181,0.0361215105098359,-0.135109285335679,0,0,-0.108551772607496,0.27465553236471,0,0.0105313246264606,0,0,-0.39693979352318
NEO,-0.365696994697123,-0.288879833661391,-0.0280737381354009,0,0.379569915975403,-0.591561223591318,0.183023960879022,0.0202184595683796,0.3407393556824,0,0.117136579114517,0,0.143030008822435,-0.148774456448482,0,-3.35970069734284,0,0.242307468282262
DGB,0,0.104494259904148,0,0.0337102712186328,-0.14687760426619,0,0,0.177991627286852,0,0.498433524674509,0,0,0,-0.0998422360109823,0,0,0,-0.39424869466032
BV010082.Index,0,0,0.0663580365484688,0,-0.0629417841806525,0,-0.0771621346377096,-0.0432810631258297,-0.00364927670360615,0.205635278374324,0.107776944768999,0,0.0515546075757445,0,0,0,0,0.103528280943812
CVIX.Index,0,0,-0.0634484054580768,0.126669979710277,0.0471808953939927,0,-0.104635923432059,-0.111078073167252,0.13538857843331,0.217024432578068,0.139614226235758,0.0219719136153952,0,0,0,0,0,0.404364064690322
DXY.Curncy,0.00611361344814919,0,-0.000761626062828526,-4.33680868994202e-19,-0.00833764476916252,0,0.0189169513640107,-0.0107129652888041,-0.012387303562143,0,0,0,0,0.138777076746754,0.0189415556194993,0,0,0
SPX.Index,0.0161047244940171,0.0177279161461647,-0.0178632646471947,-0.0250016606256354,0,0,-0.0165758432703614,0,0,-0.014063831222555,0.0385356551084073,0,-0.00358611805315513,-0.0112191130923165,0,0,0,-0.0275927790791324
VIX.Index,-0.340108274089753,0,0.0350725973665907,0.068980992298195,0,0.554343821304115,0,0,-0.301249717536498,0.155255682146982,0.11291681764467,0.0170298765609816,0.125062416338343,-0.194245661456387,0.330123371301658,0,-0.813433738976405,0
