,BTC,ETH,XRP,BCH,EOS,LTC,XLM,ADA,TRX,MIOTA,NEO,DASH,XMR,BNB,ETC,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0.406021616112777,0,0,-0.017077635063481,0.0443921542379943,0,0.0630225444197274,0.0443412815185625,0.0020815835002833,0,0,0,0.0848766581763448,0.0568600088131162,0,0,0,0,-0.00620506829954387
ETH,0,0,0.340122783021343,0.189735698103443,0.0348104997450736,0,-0.00000000000000000346944695195361,0.123875584165596,0.0146928134790998,0.070533530637915,0.000000000000000000867361737988404,0,0,0.123312728507957,0,0,0,0,0,0
XRP,0,0.189373683323221,0,0,0,0.194486223768528,0.128122054021675,0.177093098977286,0,0.010411930411869,0.0924443912767273,0,0.00648011740239385,0,0.0952789455537719,0,0,0,0,-0.0086516952105921
BCH,0,0.181704671200066,0.4536662880609,0,0,0,0,0.149035573747326,-0.14219739644463,0.204753368291859,0,0,0,0,0.0449135106242684,0,0,0,0,0
EOS,0,0,0,0.000000000000000000867361737988404,0,0,-0.10802344676051,0.527168077210835,0,-0.432766232451875,1.13940023668373,0,0,0.383515465769408,0,0,0,0,0,0
LTC,0,0,0.223573501997169,0.0603560400522746,0.0487830576037046,0,0,0,0.0631630382787412,0.0665357867876256,0.0753107108373703,0.147113919964526,0,0.105919765887911,0.0962681292578995,0,0,0,0,0
XLM,0,0.180049517500106,0,0,0.00991250137092484,0,0,0.431389894600708,0.0104402136776489,0,0.147751461036063,0,0.109456077139779,0,0,0,0,0,0,-0.0133758111014146
ADA,0,0.201611921246499,0.145414144927643,0.0618570386970602,0.163500667444679,0,0.248615065925657,0,0.0491598027200586,0,0,-0.00218963448891009,0.0933272615818016,0.0276183804368857,0,0,0,0,0,0.113612052008506
TRX,0,0.0596436399833928,0.459096800610719,0.0124131880176149,0.202791457285855,0,0.044552567051886,0.0889848016269655,0,-0.226502470951098,0.181429963831546,0.236914913711482,0.163341431416752,0,0,0,0,0,0,0
MIOTA,0,0,0,0.0774105103152708,0,0,0.304989800881477,0.416606480345139,-0.0104950714468966,0,0.165047918280924,0,-0.0836253800041326,-0.00689270022022902,0.0233971468643647,0,0,0,0,0
NEO,0,0,0,0,0.0221486385382646,0.161876229859011,0.182817559004277,0.109967451888749,0.0282498717669742,0.12656062703401,0,0.261525901737406,0,0.0746029500873831,0.0172800622603736,0,0,0,0,0
DASH,0.113975002075177,0.0665752358117807,0,0.119643657798424,0,0.119475366451797,0,0,0,0.0849315624972706,0.175869284828386,0,0.0713615090015495,0.0850823814033543,0.00207853852350747,0,0,0,0,-0.0199359262746952
XMR,0,0.178433343140945,0.109707906343889,0.114857867364825,0,0,0,0.166669801609826,0.148565742758826,0,0,0,0,0.0507388337639863,0.0512227161231465,0,0,0,0,0
BNB,0,0.213552047645077,0,0,-0.0780797090660128,0,0.061771093922061,0.379994011210211,0,0,0,0,0.00957780294800814,0,0.072120701627393,0,0,0,0,0
ETC,0,0,0.310260932437722,0.101561971496261,-0.0663477476815848,0.111015314225327,0,0,0.383783876107178,0.0548814694769549,0,0,0,0.155159152590538,0,0,0,0,0,-0.21992384688204
BV010082.INDEX,0.0289202104551774,0.101863365253743,-0.113755974544572,0.0269730792040878,-0.137287942488917,0,-0.0533664168445573,0,0,0,0,0.00000000000000000173472347597681,0.282489573809552,0,-0.0886979238991652,0,0,0,0,-0.264283946324491
CVIX.INDEX,0,0,0.399923274138729,0.156953966326757,-0.0189700564415712,-0.0832608352799533,-0.245457079023258,-0.0298269640558275,0.0238448398170393,0.0308120498090602,0.132594181143741,-0.224703905615868,-0.0209560658221821,-0.147132845087016,0.0375380135548584,0.483251594748768,0,0,0,0.174982575417002
DXY.INDEX,0,0,0.00965359338836592,0,0.0116089428479201,0,-0.00458657760475588,0,0.0110738418170734,-0.0212824855882897,0,-0.00856081039689266,0,0,0.0178010829911407,-0.0614542842412407,0.00713388726972578,0,0,0
SPX.INDEX,0,-0.00774852234103313,0.00629057870295049,0,-0.0134446722305012,0,0,-0.0111613645134696,0.0143472252850248,-0.0107576123051459,0,0,0.0180461449154814,0.00389191705008095,0.0135541839142773,0,0,0,0,-0.0857538177658733
VIX.INDEX,0,0,0,-0.0615146000451904,-0.323957593056301,-0.11919609447546,-0.422848031337456,0,0,0.162177094650549,0.607028537301765,0.352819813770654,0.180977309395878,-0.189945554484774,-0.0221134837374169,-1.39806938172354,-0.323179847918147,0,-0.298101650640079,0
