,BTC,ETH,XRP,BCH,LTC,XEM,ETC,DASH,MIOTA,NEO,XMR,EOS,ZEC,XLM,DOGE,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,-0.00202572793155743,0,-0.15167288094029,0.226884556491745,0.20035944933194,0.0147324724244724,0.0162406396055523,0,0.0550610725733208,0.140836107081869,0,0,-0.0858423515540827,0,0,0,0,0,0.0599457538827659
ETH,0,0,0.170881478696318,0,0,0,0.224732723994996,0,0.148500147456308,0,0,0.0543730033488043,0.0260674245780394,0.0494208040146039,0.226619512182595,0,0,0,0,0.132705920916619
XRP,0,0.078842700899688,0,0.00381913693353348,0,0.1639074152056,0,0.301203107063164,0.0594667059476394,0,0.00333344520781461,0.0392992141119055,-0.0904376147863429,0.277097102309634,0.0712792921546875,0,0,0,0,0
BCH,-0.461765104878362,0,0.75440587389005,0,-0.858775127204262,0.613228825580673,0.596375421996849,0,-0.359736720327192,0,0.513895371142608,0.128722378365603,0.764218555587648,-1.33358757073957,0.088795019985604,0,-0.867815379061862,0,0,-0.422106755104321
LTC,0.321747214156424,-0.0469556128013619,0,0,0,0,0.215141955787704,-0.142173488284361,-0.0364267432924434,0.13230440998991,0.0180921843745226,0,0.106634539258254,0.00288308902927209,0.175556343284609,0,0,0,0,0
XEM,0.328742811973793,0.0453285437061552,0.229964613180329,0,0.15720200063438,0,0,0,-0.0106799321319738,0,0.277584214429504,0.108666520710925,-0.169972807721914,0.00643244614553603,0,0,0,0,0,0
ETC,0,0.192564719733229,0.0363441226871266,0,0.267383211673814,0,0,0.28206392480924,0.118450990609619,-0.0579734055410674,0.0756108190770693,0.0179763310231732,0,-0.156516948379881,0.00413608196649134,0,0,0,0,0
DASH,0.105104074772038,0.0821977229944457,0,0,0,0.165265801374713,0.19857464908986,0,0,0.0547898013031234,0.168920284364722,0,0,0,0.0416771094073321,0,0,0,0,0.123328647025602
MIOTA,0.369455586992427,-0.0846933743770425,1.15987204433258,0,6.93889390390723e-18,0.010536793476314,0.259986036523916,0,0,0.0146086946628696,0,0.0315395861343795,0,0.19938742091786,0,0,0,0,0,0.149490511190281
NEO,0,0.431986116154221,-2.0700987873836,-0.485774508331399,-0.248120859608536,1.27965704289467,0,0.799907665383887,0,0,0,0.0547094474087074,0.251389772599981,0,0,0,-3.80457471566268,0,0,0
XMR,0,0,0,0,0.13204763590724,0.136250275944238,0,0.449459420875838,0,-0.016510971852279,0,0,0,0.264591732369148,0.0206357506249438,0,0,0,0,0
EOS,0,0.329107567474979,0.201471015707842,-0.120135260810087,-0.430734024881418,0.0517893272013979,0.450072101089855,-0.229759636992611,0,0.102282319228911,0,0,0.255156815127105,0.374125871468122,0,0,0,0,0,0
ZEC,0,0.211435562519899,0,0,0,0,0,0,0.0475501245423098,0.0587091494821613,0,0.0194914640401527,0,0.235933374784977,0.190960948829895,0,0,0,0,0.0521525482742814
XLM,-0.328898365086319,-0.0691484024915983,0.28350253132668,0.0430209878206863,0.013176622443167,0.237327534771269,-0.00272444128028673,0,0,0.0839373780464251,0.607098010202995,0.0602900415078748,0.255646995859284,0,0.0690686873174028,0,0,0,0,0
DOGE,0.231227813274244,0,0.522450274958277,-0.134568219702593,0.218596979514152,0,-0.0265363552313057,0.103452943424132,-0.0199122900911258,-0.0172956217875248,0.257433684184433,-0.0529862253474872,0,0,0,0,0,0,0,-0.240026054519746
BV010082.Index,-0.101767608282924,0,0,-0.00909207347288656,0.00316758956469034,-0.0336148809435932,0,0.0577437029933157,0.0102489038088477,0,0.0111866200411874,0,0.0424174450856516,-0.0273551781151178,0,0,0,0,0,0.0299262976139094
CVIX.Index,-0.104812838340626,0.00619525096227538,0,-0.0210157561921147,-8.67361737988404e-19,0,0.0603863486056592,-0.128615744811824,0.0738259151043658,0,0.0600324039873062,0.0327447158688038,-0.0942670060556205,-0.0397164806625956,0.0853384603763672,0,0,0,0,0.036233960221727
DXY.Curncy,0.0375003669498081,0,0,0,0.00333495107645102,-0.0057101712718162,0,0.0108023265202452,-0.00348622961059704,-0.00976450859905338,0,0.00210914457459007,0.00475385139526752,-0.0111367953757025,-0.0162748717222949,0,-0.0662163097917496,0,0,-0.0334940426796993
SPX.Index,0,0.00307841269857293,0.00597263587848781,-0.00593305923262372,0,0,-0.0013971162026228,0.009131905910414,-0.00661368756415739,-0.00235561359063642,0,0.00111204511044447,0.00628830175292611,-0.00448715841343622,0,0.0192007101781079,0,0,0,-0.0619860960228254
VIX.Index,0.0223630378885557,0.234000104372486,-6.93889390390723e-18,0,-0.454313872862164,0,0.0823150877669817,0,-0.0990482829370682,-0.0828458762009367,0.108960947001213,0.0815962924926413,0,0,0.195299282467617,0,0,0,0,0
