,BTC,ETH,XRP,XEM,ETC,LTC,DASH,XMR,DGB,XLM,DOGE,ZEC,BAT,NEO,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0.0170924460432399,0,0,0.079409742970167,0.112546947354726,0.133196589507363,0.0395819369563878,0.00422785244673372,0,0,0,0,0,0,0,0,0
ETH,0,0,-0.0632807486120177,-0.153386221473646,0.237844135261604,-0.0820794494526089,-0.0345319652594831,0.131393798180735,0,0.0803768475390003,0.125081047599598,0,0,0.0193929493459212,0,0,0,0,-0.047682216997898
XRP,0,-0.0570008732017443,0,-0.727167597872854,0,0,0,0.485901756139206,-0.708314393558936,0.531669471638298,0.259166941918543,0,0,0,0,0,0,0,0.189859312666539
XEM,0.360107123097041,-0.264233249622218,-0.0795614464046967,0,-0.598932353357485,0.0264168339831826,0.133971204644865,0.0695264822168277,-0.0209265799922876,0.0783872408756786,0,0.194496552942376,0,0.447713044988596,0,0.623075206556954,0,0,-0.147486902351408
ETC,0,0.355536936037448,-0.103298128957265,0,0,0.10400981368553,0.149871334224684,0,-0.0209303061365963,0.0239114752285933,-0.0214196651185201,0,0,0.0752427929262674,0,0,0,0,0
LTC,0.637256411284048,-0.0573590101173073,0,0.15579665180075,0,0,0.222036586531661,0.0158987866777371,0,0.144606420994347,0.108894067278277,-0.0400310460027688,0,0.203985995666854,0,0,0,0,0
DASH,0.228850768022432,0.0328488724924613,-0.106375580021499,0.113012529630192,0.137380915495866,0.30140540650496,0,0.140010225060305,0.0432110107112981,0.188369596714778,-0.259979416041392,0.22024089771585,0,0,0,0,0,0,0.119876416776057
XMR,0.236961474247078,0.312596343388672,-0.0852340659216729,0.214229337888296,-0.223683710707971,-0.0896563277895847,0.265160536316785,0,-0.00000000000000000693889390390723,0.183066457374995,-0.178070974626387,0.120200712893695,0,-0.0805464050124069,0,0,0,0,0
DGB,-0.257864509231328,-0.0782439936321297,-0.0750587395587984,-0.317971566283433,-0.648530028465868,-0.0437632966332031,0.0227507352317639,0.667568146314513,0,0,0.45659504149125,-0.259745316455032,0,0.552202596647589,2.90889157347673,-0.509731239186002,-8.46170737401039,0,0.38348481201439
XLM,-0.54167731160114,0,0.282154512925969,0,-0.174716751593904,-0.325159209327818,0.499834659693452,0.58676383343907,0,0,0.307643396388862,-0.421460899911805,0,0.402892127234077,0,0,0,0,0.0425822009985199
DOGE,0,0.0818301283352244,0,0.0550924632949189,0,0.38381225194471,0,-0.0902694999357063,0.0350558707687794,0.25400511351387,0,0.469201967154189,0,0.020481634479901,0,0,0,0,0.333253726809551
ZEC,0,0,0.0496330155876997,0.0398038792961099,0,-0.038557156256717,0.222602584588133,0.170301719700078,-0.0293781229848287,-0.108913999029264,0.256647965031445,0,0.0807946334411009,0.0464840710156036,0,0,0,0,-0.0596978194431564
BAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NEO,0,0,0.0000791965419656248,0.0798530498998856,0.229329954988506,0.330486989549702,0.329371806384099,0,0.102443164393474,-0.0294104778122508,0,0.277487991459685,0,0,0,0,0,0,0
BV010082.INDEX,0,0.0269219361990973,-0.00374713136947713,-0.0401845719076856,0.0380514897475229,0,-0.0817500941015082,0.0307467395831259,0.00500544805860983,0.0557083331434608,-0.0561415909712383,0.0766127671662913,0,0,0,0.126091832858143,0,0,0
CVIX.INDEX,0,-0.0979148678170745,0,-0.417204493434718,-0.397129171723195,0.00335832379981634,0.0644997667833402,0.140219423131257,0.0229732004513461,0.0123435175286457,0,0.0252860152454207,0,0.281365470260944,0,0,0,0,0.111184203830966
DXY.INDEX,0.00963786465100631,0.0127486679249648,0.00250124646335518,-0.0213149911599558,0.00598807832153559,0,0,0,-0.00293379396021486,0.00788674833257295,-0.010575841513212,0.00430278203716603,0,0,0.0337874982486598,-0.0182456273248531,0,0,0.010545959583948
SPX.INDEX,0,0.0129163493708698,0.000165432023154284,-0.0062352540351151,0,-0.000724955952058012,0,0.00452991616200545,0.0049235662397834,0.00557813235047345,-0.00120909776390548,-0.0183529891807417,0,0,0,0,0,0,-0.031948102424433
VIX.INDEX,-0.482918123239834,0.00570605508483256,0,-0.248713078043297,0.341296175546345,0,0.148565061045129,-0.102464776097785,-0.0699358178313532,0.21870508805959,0,0,0,-0.0347762147887628,-3.13532674589476,-0.690646581457061,0,0,0
