,BTC,ETH,XRP,BCH,ADA,XLM,LTC,NEO,EOS,XEM,MIOTA,DASH,XMR,TRX,ETC,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,-0.103480134012907,0,0.097632146372146,0.0258631269698567,0.113502306448459,0.155255742546049,-0.0196007696268421,0.0339902368203947,0,0.261627020169094,-0.0350622004686371,-0.00000000000000000693889390390723,0,0,0,0,-0.0552582380093949
ETH,0,0,0.0330330122519838,-0.00458418335319098,-0.0285587907485861,0,0.248798064653743,0.156716965227438,0.054559746619287,-0.0375638795708765,0,0.193293418662482,-0.128121956338227,-0.00650475581029006,0.216333005288864,0,0,0,0,-0.125375763219155
XRP,-0.424560865285444,-0.252085076854453,0,0,-0.0194558047679771,0.334209203994895,0.161534844887727,0,0.351814652593962,0.11398019057704,-0.0227988762020897,0.304054576447374,0.0000000000000000138777878078145,0.0531626017336791,0.144773648971556,0,0,0,0,0
BCH,0,0,-0.0494724452351502,0,-0.0698738558383665,0,0,0.266039210806277,0.0688130902706862,0.0631297570399931,0,0.365311981992036,0.230584999671364,0.0287945959356312,0,0,0,0,0,0
ADA,0,0,0.198574161025021,0,0,0.222259375434061,0.0469128064462662,0.231694153881723,0,0.0835600900311612,0,0,0,0.0539236430854192,0.0887343852543909,0,0,0,0,0
XLM,0,0,0.221891862168837,0,0.279648199998325,0,0.116568873962207,0.0818916832566228,0,0.00116110179375517,0.079434256828031,0,0.289785071671128,-0.189797233908611,0.0557270877368297,0,0,0,0,0
LTC,0.127395041866413,0.15945409553549,0,0,0,0,0,0,0.0222862011674375,0,0.172447012344995,0,0,0.0574955233505792,0.0193248465317106,0,0,0,0,0
NEO,0.125938338285696,0.452479739036617,0,0,-0.0749352669319265,0.14691475601589,0,0,0,0,-0.176632326020488,0.204805264678715,0,-0.0154668883847998,0.341624245423151,0,0,0,0,0
EOS,0,0.100736316962315,0.0504564386431545,0.273390890644739,-0.00352556492291211,0.154811190571843,0.292695191509469,0,0,0.0617969546935881,0,0.0771262848262878,0,0.0889263941862835,0,0,0,0,0,0
XEM,0,0,0.234355649613642,0.0315139239594096,0.00938497726690782,0,-0.60203945804615,0.172769388989245,0.130333855543982,0,0.327514047406862,0,0,0,0.304879430938705,0,0,0,0,0
MIOTA,0.244391543088833,0,-0.12092658360106,0,-0.0592789897600054,0.12319343750137,0.0000000000000000138777878078145,-0.221578253945491,0.344961368774041,0.245747192854317,0,0,0,-0.0965288825286337,0.53088648023055,0,0,0,0,0
DASH,0,0,0.0430492505674931,0.0603758885133305,0,0.0284069877759677,0.241522581380931,0,0.154021876672928,0,0,0,0.0602096565299084,-0.0443855292412958,0.10065252425224,0,0,0,0,0
XMR,0.126775854674692,0,-0.00692527737320589,0.128581928473062,0.0104368527178382,0.105280797783434,0.0803661691827177,0.0833219608226862,0.0610608218564627,-0.0327539055874709,0.034684015124201,0.0609544365379554,0,0.0550579194719787,0.226910825995593,0,0,0,0,0
TRX,1.40825367341377,0.214743429347385,0.250324810146867,-0.00000000000000000173472347597681,0.0392041613811363,0,-0.707152402491982,-0.0344188454854259,0.256117202646013,-0.797343257959476,0.377061940922143,0,0,0,0,0,0,0,0,0
ETC,0.0254291297835917,0.304385032011944,0.00972360890381815,0.208855653616787,0.229342579708062,-0.111632710997183,0.0398908105930212,0,0,-0.0192626476347281,0.149695381300891,-0.13484788475468,0.342524410585034,0.0548669025325801,0,0,0,0,0,0
BV010082.INDEX,-0.0482516247695922,0,0,-0.00026189796589522,-0.0193177240270178,0,0.0238786462533576,-0.0363605830594342,-0.00866651383042903,-0.00242138239943341,0.026938082050007,0,0.03898381837935,0.00411196205320916,0,0,0,0,0,0
CVIX.INDEX,0,0,0,0,0.038888463727735,-0.00860058395916233,-0.0110036875833608,0,0.00828089256161002,0.0274783045584139,0,-0.0205776357954395,-0.0392886601427583,-0.0138463792144406,-0.0481290432681402,0,0,0,0,0
DXY.INDEX,0,0,0.00280569162926361,0,0.00245429148285683,-0.0106879186440969,0,0,-0.00457236966932917,-0.00138876935627016,0.0116591489122155,0,0,0.003123501205972,-0.0151045298293982,0,-0.0535666541429939,0,0,-0.0307527216987329
SPX.INDEX,0,0.00320215701780058,0,0,0.00551813112653446,-0.0105178477931451,0.00298665121945551,0.00338115252568183,0.00255759385588333,-0.00100539002821048,0,0.00292698302476057,0,-0.00176279993112589,0,0,0,0,0,-0.0472496601870339
VIX.INDEX,0,-0.212060114459032,0.0324386195871683,0,-0.00684238634330005,-0.130991738265324,-0.0666911546203781,0,-0.099001495479557,-0.0360841366739887,0.110388237518516,0,0.20814443532525,-0.0599114695281704,0.0583012614092322,0,0,0,0,0
