,BTC,XRP,ETH,BCH,EOS,XLM,LTC,ADA,XMR,TRX,DASH,MIOTA,BNB,XEM,ETC,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0.0459356290453329,0,-0.0440979019032248,0.393682018849789,0.000519094985127371,0,-0.00649089328249603,0.338035333383757,0,-0.137039805697128,0,0.181245277950658,0.0915462643335423,0,0,-0.135335998667504,0,0,0.00628538183108945
XRP,-0.568479300601942,0,1.26623368700579,0,0.972120631579996,-0.0778789229971209,0,0,-0.452792552084211,-0.024321384480785,0,0.139829893020522,-0.6478546226183,0.281685902347956,0,0,0.771059377469278,0,0,-0.0458589980190045
ETH,0,0.0988136306959714,0,0.0568136189814594,0.252478062092764,0.128573467248795,0,0,0.0189802621453744,0.0950473304128282,0.309839522098343,0,0.113016198129738,0,-1.73472347597681e-18,0,0,0,0,-0.0155832176932933
BCH,0,0,0.902368400928671,0,0,0,0,0.366617933337505,0,0,-0.708019664458172,0.993621607484873,0,0,0,0,0,0,0,0.011843041652483
EOS,0.0559714509722852,-0.104714593719839,0.449323612075339,0.0608803929127568,0,0.073976219329922,0.241565885399922,0,0,0.0762361835298901,0,0,-0.0538648810183405,0.0926893111233691,-0.0694667237526844,0,0,0,0,-0.0263267023540052
XLM,0.31452033039996,0.0703450209779943,0,0,0,0,0,0.648986124373877,0,0,0,0,0,0,0,0,0,0,0,0
LTC,0,0,0.177490602757514,0.180698521626861,0,0.11317850085162,0,0,0.0207862967987041,0.087512535058523,0.224627537244989,0.117455675152842,0,0,0,0,0,0,0,0
ADA,0,0,0.191134021869053,0.0622419109203544,0.0738258896264963,0.188215838733785,0,0,0,0.157168246568519,0.0811846878549485,0.166965277639176,0.0576379028025405,0,0,0,0,0,0,0
XMR,0.655543647231977,0,0,0,0,0,0,0,0,0.0217280925715161,0,0.1066231026674,0.088057536872803,0,0.331852248659499,0,0,0,0,0
TRX,-0.252384749108866,0.0513996467153256,0.333945557944414,0,0.0194319512816326,0,0.147205861599259,0,0.0572671940234168,0,0,0,0.340158924780743,0,0.198848716684676,0,0,0,0,-0.057973064553598
DASH,0.397235955537829,0,0.19189202649637,0,0,0.0155318860245013,0,0.242379762173813,0,0,0,0.0446748540286982,0.197144006537051,0,0,0,0,0,0,0.046565990622487
MIOTA,0,0.0699416888000191,0,0.059975703132162,0,0,0,0.221840870944493,0.116412546296307,0.223855650013094,0,0,0,0.062346027523705,0.19605507619142,0,0,0,0,-0.0382893279528809
BNB,0.318171878137408,0,0,0.0388025378817296,0,0,0,0,0,0.242756407559979,0.120699760047877,0.0763555967600011,0,0.0723957463251448,0.170922853637745,0,0,0,0,0
XEM,0.10444672606968,0,-0.230976248412538,0.081654565149001,0,0.286874357792975,0,0.224152550203967,0,0.229208261448256,0.109502703726536,0.0245287653314742,0,0,0,0.0891213146889446,0,0,0,0.0364941486330758
ETC,0.164397719871558,-0.0582044148001954,0.374330623988242,0.0801338837338393,0,0,0,0.175218167699933,0,0,0.0941907852131646,0,0.0809054480961256,0.0916591032711755,0,0,0,0,0,-0.026406975232077
BV010082.Index,-0.0280478969257772,-0.0918277614821972,0,-0.077010279896954,0,0,0,0.0485873594608115,-0.0426644106554749,0.0220333064112124,0,0,0.141908191432486,0.0556692443553511,0,0,-0.0583233810849469,0,1.33179401998876,0.108226229277147
CVIX.Index,0,0.110038015805882,0,-0.108663584659498,0.175651851729399,-0.362347298322203,-0.0996578073612481,0,-0.311426026325172,0.0182632075212309,0,0.323877925105911,0.305376606718992,-0.044008900109581,0,0,0,0,0,-2.16840434497101e-19
DXY.Curncy,0.0268806276270905,0.00482644776556785,0,-0.00322543429201807,0,-0.043420301639402,-0.0497393359123698,0,0,0,0,0.038273465950778,0.0278267534710509,0,0,0.0316038474950488,0,0,0,0.00157178531371643
SPX.Index,0,-0.0497177668641413,-0.0824120882527819,0.0089328575236838,0.0709992040262737,0.0390341636659114,0,0,0,-0.0197432414733168,0,0,0,0.00881808573183888,0,0.127359828986719,0.0943471143426425,0,0,-0.10961831264333
VIX.Index,0,0,-0.747307430154989,0.286352491895948,0,0.326557552477473,0,0,0,0,0.159407969000535,0,0,0.374937618439707,-0.348436408616599,1.20366058837956,1.40569353715782,0,-5.55309972924958,0
