,BTC,ETH,XRP,LTC,BCH,BNB,EOS,BSV,XLM,ADA,TRX,XMR,LEO,DASH,XTZ,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0.0944027467227289,0.278536569746514,-0.11006976722824,0,-0.15242130750578,0,0,0.131499790541641,0,0,0.123546203852862,0,0.672940914591266,0,0,0,0,0,0.099078169058254
ETH,0.295457437068432,0,0,0,0.204753605797841,0.321980150681984,0.0152414410421632,-0.000000000000000000867361737988404,0,0.180122987039926,-0.112157504358126,0,-0.0817124622177632,0.334204485517007,0,0,-0.00752696708676929,0,0,-0.00350236855004941
XRP,0.173493363715219,0.12999498264284,0,0.0234259579229549,0.204035030708255,0,0.110350794318612,0.0555032341714538,0,0.243818485487107,0,0,0,-0.0826539877729763,-0.0340006103422748,0,0,0,0,-0.0819383166968584
LTC,0,0,0,0,0.144632915260904,0,0.411379887751385,-0.146568032596276,0.195585977417941,0.101614164854067,0.0194028946378433,0,0,0,0.116699081555946,-0.0688065527612823,0,0,0,0
BCH,0.14723104494589,0.599052872330986,0,0.00783947997654495,0,0,0.219415345725953,0.107033120216544,0.163651308652441,-0.0760805440052418,-0.0521171164043374,-0.094835945915349,-0.0315899834738497,0.121913589386371,0.0112772608046916,0,0,0,0,0
BNB,-0.264860580540656,0,-0.0852148444184814,0.368088828336911,0,0,0,0.0699488059255001,0,0,0,0.211860712339617,0,0,0.184776190814781,0.155746379714001,0.13627853552931,0,0,-0.184375054682604
EOS,0,0,0,0.444784942795343,0.727769258091647,0,0,0,0,0,0,0.0748017273602432,0,0,0.00287935014892291,0.1754258498358,0,0,0,-0.132754396934713
BSV,-0.0722008744570519,-0.132789479506859,0,0,0.405700909631382,-0.00581806292099755,0.398444847326933,0,0,0,0.422939778805157,0,0,0,0.0187368786351663,0.253499694342143,0,0,0,0.229478041682845
XLM,0.135528254971967,0,0,0.09066394768951,0.0737468871096443,0,-0.00000000000000000693889390390723,0,0,0.415513428801684,0,0.179211022186741,0,0,0,0,0,0,0,0
ADA,0,0.0739281294654225,0,0.150698450339707,0,0,0.0417435924204589,-0.0153877457590198,0.394880583820654,0,0.0919797255461653,0.0533652528562988,0,0.0397498097247929,0.036427810702022,0.0282001201288152,0,0,0,0
TRX,0.125797519790029,0,0,0.110221526804194,0.120848839512153,0,0.0789943232936343,0,0,0.286710947801785,0,0.45408090159741,-0.17625801926958,0.00551816858516238,0,0,0,0,0,0.093776615915315
XMR,-0.191352934606818,0,0,-0.222466376093653,0,0.135881938591672,0.0746065072099959,0.107695299154538,0.240444770241281,0,-0.00000000000000000693889390390723,0,0.424279042124053,0.564393429579189,0.104014250883059,0.0832029498478105,0,0,0,0
LEO,0,-0.115289775363062,0,0.198310226280554,0.0955722933269459,-0.0186939197080136,0,0,-0.0374704790509336,0,-0.134825422243536,0.332818847673498,0,0,0,0,-0.156320044448435,0,0,-0.147848768078801
DASH,0.189463583261072,0.490264049281219,0,0,0,0.0544364224085179,0.0413643147046506,0.0799364314644058,-0.0560812231013195,0,0,0.173058415760318,0,0,0.00163849611962332,0,0,0,0,-0.175703517098263
XTZ,-0.000000000000000000867361737988404,0,0,0,0.463548193410674,0.167565275939989,0,0,0,0.000000000000000000433680868994202,0,0,0,0.47660033267099,0,0,0,0,0,0.0782126391766716
BV010082.INDEX,-0.0424101042586205,0,0,0,0,0.00000000000000000010842021724855,0,0.212506957200956,-0.405550771729169,0.79057155289216,-0.402417704558302,-0.289228120095402,-0.0662410773702978,0,0.189557707361971,0,0,0,0,0.00867320978779403
CVIX.INDEX,-0.585671515082961,-0.188478719487285,0.801494198476754,0.0782434068427804,0,0,-0.195441732860057,-0.0670374973715522,0,0.0488768454554586,-0.150078556060714,0.261868619976541,0,0.318553925048485,-0.149951968395036,0,0,0,0,-0.189401463790565
DXY.INDEX,0,0,0,0.000000000000000000216840434497101,0,0.000121476022437211,0.00564528267892193,0.00663519053533374,0,0,-0.0181060105731763,0,0.00629897186601485,-0.0190978546203536,0.00792861693084765,0.0473190831668202,0.0145870731909387,0,0,-0.0153947145068133
SPX.INDEX,0,-0.0295587112917284,0,0,0.0101166729539908,0,0,0,0,0,-0.00265134745203005,0,0.0443603282852582,0,0.00311468137183337,0.0227966147449088,0,0,0,-0.0739964457076911
VIX.INDEX,0,0,0.661015520867631,-0.0420776593234502,0.111492711780655,0,-0.420095893559286,0.0369448811694407,-0.00614006512889272,-0.0785023493405391,0.297996496075656,0,0,-0.115139962335283,-0.249726332353003,0.285669566642236,-0.0988863141261164,0,-3.44787459417813,0
