,BTC,ETH,XRP,BCH,LTC,EOS,BNB,BSV,XTZ,TRX,XLM,ADA,ATOM,MIN,LEO,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0.367726290059239,0,0.289555571471556,0,0,0,0.0700497596669659,0,0,0,0.0361018174825048,-0.00000368239176646166,0.138738127947131,-0.203941883008177,0,0,0,-0.0175628100064945
ETH,0,0,0,0.0783460290164326,0.34665131543206,0,0.366525458771851,0,-0.0368432912954082,-0.00344615430764703,0,0.12337101319767,0,0.00657882608832688,0.155760750549165,0,-0.0141067423994369,0,0,0.0239181933294314
XRP,-0.170778514713213,0,0,0.353189974172161,0.0643542224684025,0,0,-0.00000000000000000173472347597681,0.104797105093854,0,0.123905223312614,0.372457330466198,0,-0.0290096267096718,-0.184717490821464,0,0.139492258089181,0,0,0.182355392017677
BCH,0,-0.00000000000000000173472347597681,0.251577546188935,0,0,0,0.329186144829331,0.00422369581104629,-0.00301206733536989,0.28998331288471,-0.0533189400088478,0,0.0732569885507074,-0.00424039230565089,0,0,0,0,0,0
LTC,0.185594313761112,0.0896062842659768,0.0855551146086772,0,0,0.441629684727481,0,0.0330189886391939,0,0,0,0.049547862724085,0.105977672203381,-0.00445963451530953,0,0,0,0,0,0
EOS,0,0.152030238287237,0,0,0.61217546708172,0,0,0.134615751847978,0.0223220805923855,0,0.0934586138643339,0.0825200184355984,0,0,0,0,0,0,0,0
BNB,0,0.0815398880998624,0.136393328886164,0.170529392558847,0.357049874839199,0.0291030733432796,0,0,0.034991789096298,0.0484898420868042,0,0,0.0530352904015016,0,0,0,0,0,0,-0.0293669104143554
BSV,0,0,0,0.464188513034217,0,0.0330916523019004,0,0,0.036747942706401,0.0522679192930644,0.0956483176201111,0.189749177523583,0.00000000000000000693889390390723,-0.0253967469100904,0,0.260537131074444,0.0891388435269831,0,0,-0.0592421018949152
XTZ,0,0,0.527135970121664,0,0,0,0.296860128465091,0,0,-0.473206777775317,0,0.481668830971162,-0.0707733816331995,0.030002346426698,0.153041765166452,0,0,0,0,-0.0502145216046496
TRX,-0.134559465462017,0.545679764537288,0,0,0,0.229086879309504,0,0,0,0,0.0222340134739198,0.595952125371387,0,0.00896319258675242,0,0,0,0,0,-0.000000000000000000867361737988404
XLM,0,0,0.332457035064715,0,0.0962046460685984,0,0,0,-0.00207428398785633,0.130969645416302,0,0,0.154537347063721,-0.0364803825688298,0.0754048063412736,0,0.270511340079657,0,0,-0.191325550693188
ADA,0,0.352924821467974,0.13066282096721,0,0.0461491342361761,-0.00000000000000000173472347597681,0,0.0912510389533464,0.00916603364024375,0.125593855093373,0.0674053370758415,0,0.0974826165955347,0.0117394826036366,0.0480740707799343,0,0,0,0,0
ATOM,0,0,0,0,0,0.188139415843272,0,-0.146699321394926,0.276527704519681,0,0.655544357754085,0.473836512232261,0,-0.0169718866644463,0,0,0,0,0,0
MIN,8.96818873765618,0,5.4032847825505,-5.1742787757407,0.212406877265687,0,-7.036601827366,0,0.317655453415594,2.35592422044028,2.31545801076926,-2.37102279462332,-0.0975762682648765,0,-6.81279918698385,3.28956008084844,-4.83572096157106,0,0,1.12679535675753
LEO,0.323811367670872,0,0,-0.0513702485793364,0.815473339481835,-0.837501935205197,-0.0735015987852107,-0.0629324719646796,0.0612335645629102,0.0573901497747197,0.263494762199585,0,-0.0981786716640471,0.000184626394542816,0,0,-0.19021937815987,0,0,0.0197447629209846
BV010082.INDEX,-0.163830828568706,0,0.323711303124653,0.135925676475711,0,0,-0.0903139283990368,-0.0368549822732536,0.137591365707124,0.195161287139224,-0.362206989879155,0,-0.171982758999212,-0.0107021260132424,0,0,0,0,0.612755509611797,-0.0448379943814841
CVIX.INDEX,0.276194756240779,0,-0.234487389699549,0.314955931557275,0,0,0,-0.177565030969046,0.148296270115649,-0.157151697604165,0.136848118838531,0,-0.195910464788366,0.00737992597012,0,0.226261878499912,0,0,0,0.0632114606036299
DXY.INDEX,-0.00720878176385605,0,0,0.0123361661140271,0,-0.01573715316228,0,0.0226100175621487,0,0,0.00614626537534332,-0.000750547112288059,-0.0215052934071549,0,-0.0063403748751274,0.00205631112519424,0,0,0,-0.00678480860208251
SPX.INDEX,0,0.0259550788967044,0,0,0,0.00260726550685811,0,-0.0103421698894897,0,0.00107648928775974,0.00863456169922308,0,-0.00389811049796773,-0.00240959481125078,0,0.0945806630571804,0,0,0,-0.0425364307684726
VIX.INDEX,0,0,-0.181094068773038,0,0,0,0.154425596555393,-0.372743561536596,0.117353493884848,0,0,0.522014888669045,-0.377711735894792,-0.0391759803198163,0,0,0.360657717854408,0,-5.77937733591419,0
