,BTC,ETH,XMR,XRP,LTC,ETC,DASH,XEM,DOGE,ZEC,XLM,NEO,DGB,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,0,0.429425748355319,0,0,0,0,0.0543599990043777,0.052748905290768,0.158289117001928,0.0343349700169828,0,0,0,0,-0.0495103525524811
ETH,0,0,0.106684143395252,0.665928941128475,0.0515616496223429,0,0.226183521422136,0.219174657551516,0,0,0.0976274452234076,0,0,-0.275771772691704,-0.0516762276939948,0,0,-0.110808992029367
XMR,-0.402963590304655,0.379268825581161,0,-0.456515164443142,0,-0.158238822170693,0.403474656984118,0.401804861792336,0,0.00252322247474886,-0.0580802191086395,0.209123313360355,-0.366887903738807,0,0,0,0,0.224394219453095
XRP,0.192269341227154,0.0994785059508427,0.0193786155597509,0,0,0.0897994372126438,0,0,0,-0.0632225366087279,0.0999535310270035,0.00120740375606069,0.102474012562073,-0.211295926492331,0,0,0,0
LTC,0.540878805092471,0.427659180060689,0,-0.257375777678674,0,0,-0.167372245533427,0.245988028844568,0.114125623151543,0.0469897921122995,-0.0231347993297097,0.0459357578084981,-0.387377725087959,0,0,0,0,0.0802692452249402
ETC,0,0.142209914663225,-0.0140564183269366,-0.772679442015117,-0.251794868554601,0,-0.0504334608045074,0.0396231139401543,0,0,-0.0149091052944038,0.0140165015106663,0.64073243680919,0,0,0,0,-0.211646988413379
DASH,0,0.0460445329707104,0.10962541944234,0,0.273396429169422,0.44072199763883,0,0.124201578836514,0,-0.0127697431466174,0.0691436140095439,-0.109099718183729,-0.432215238889427,-0.30010680433314,0.208284318803525,0,0,-0.142163785035357
XEM,-0.290627701246838,0.12637793534326,0,0.676841182313606,0,-0.108509207288678,0.276479701831398,0,0,0.0073102422609992,-0.073272586226151,-0.0959129008170923,0.401420588845469,0.733108491558866,3.46944695195361e-18,0,0,-0.0629444609575008
DOGE,0,0.116337367732924,-0.0295223575443735,0,0,-0.0160415334879919,0,0.0253843139431658,0,0.0165861610201703,0.00290757436123561,0.129821503560626,0,0,0.227436913535299,0,0,0.0126863596987477
ZEC,0,1.83667913273721,0.775213899027747,-3.80596256002672,1.56255615054004,1.79355978336766,-1.54288391399074,0,0.729550221588545,0,0.336465120236352,-0.159363046086263,0.366754879730403,0,1.41398893151268,0,0,-1.39168356583155
XLM,0,0.342647777326453,0.314407305801883,-0.113956783287249,-0.662612770738251,0,0,0.0982724072500669,0,-0.138368861312455,0,0.155858505151692,0.484895961527901,0,-0.300791484329213,0,-1.06023881148599,0.182958125630505
NEO,0.872140891467437,0.0584164692204748,0.00673182671108169,0.520778842164253,-0.486332192268754,-0.236791725686828,8.67361737988404e-19,0,0,0,0.0127102467785996,0,0.165276495476122,0.155503011384071,0.0454718708195364,0,0,0
DGB,0,0.0243442275536515,0,0,0.418989992353886,0.272593844514251,-0.140860015451825,0,0.631259064910419,-0.00961688554256804,0.0492167428030419,-0.0196814104558843,0,0,0.240152196099188,0,0,-0.0536801206828618
BV010082.Index,-0.0697844047031797,0,0.0687545056734315,0.0315049776733762,0,0,0,-0.100767672556807,0,-0.0169426225325121,0,0,0,0,-0.441512736760957,0,0,-0.0213348684363278
CVIX.Index,0,-0.13633857395443,0.0306999895423034,-0.0857737515295497,-0.0696005326565829,-0.088672361331679,0.25494547483349,-0.242026320557608,0.409512143596829,0,0.061087403609611,-0.0161837440431156,0.177080722562761,0,0,0.688185355531945,0,0.165148248407161
DXY.Curncy,0,0.0143224662050484,-0.00832512052543749,-0.0324352710759264,0,-0.0123812410567759,0,0.0238505512962642,0.0207669351359383,0,-0.0141063465391057,0,0.0286323268942906,0.090349643429815,0,0,0,-0.0209508067010487
SPX.Index,0.00401583456449251,0,0.00971078396588889,0,0,0,0.00940035138472511,0,0,0,-0.00680237396172218,0.0189196552970517,-0.00296464627600699,0,0,0,0,-0.04501828352934
VIX.Index,0,0,0.0968005962075675,0,0.000772199179505385,0.246827562783654,0,-0.797971178873735,0.092068235301227,0.0355727884605732,-0.014923551829707,0,0.136399826055986,-1.04337088914252,0.958561931605248,0,-1.84287337473467,0
