,BTC,XRP,ETH,XEM,LTC,DASH,ETC,XLM,XMR,DOGE,ZEC,DGB,NEO,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,-0.109241714708375,-0.393764074475262,-0.180626733956099,0,0,0.123327856094926,0.0577100117646515,0.270777233318915,-0.0506960937836872,-0.0333294641402571,0.0172569044229734,0.119233627179065,0.133163787341204,-0.343356871992004,0,1.909947112217,-0.168142500038289
XRP,-0.732623348344647,0,1.38777878078145e-17,-0.2733173889387,0.0989805103098643,-0.880797470817494,0.0810799348418757,0.761493821757607,0,-0.21668342505521,0.242965441344975,-0.728386573813749,0.324589121633968,0,0.997867068374445,0,0,0
ETH,0,0.0212393899062021,0,-0.146512916976907,-0.0598805601466653,0,0.213516042852029,-0.00160319342552074,0.304525103875982,0,-0.0901174675259799,-0.0407462804265372,0,0,0,0,0,-0.123226841109453
XEM,0,-0.0173333825298791,-0.0651150796229019,0,0,0.278106076429976,-0.0872997641968059,0.156086343307459,0,-0.031046674076558,0,-2.16840434497101e-19,0.289486500248979,0,0,0,0,-0.475381916480545
LTC,0.102927073793599,-0.0479778524152131,-0.173661176518313,-0.0732922384711077,0,0.183292908214603,0.312009703963546,0.0513848188012079,0,0.367766264838139,0,0,-0.217174279758474,0.29852637325753,0,0,0,0
DASH,0,-0.121659289306377,0.121194369612755,0.152355041748753,0.0758378307161982,0,0.00260017473599959,0.0765557948647168,-0.248395200296376,-0.0616623802706855,0.276804195960694,0.0400436108953152,0.104979660540571,0,0,0,0,-0.187522374624751
ETC,-1.38777878078145e-17,-0.0471160255845845,0.36817988793872,0.0908877623529105,0.100320812891228,0.173834579575891,0,0,0,-0.000654486569622987,0,-0.0165934532189739,-0.0841045064059497,0,0,0,0,0.050295075013812
XLM,0,0.279585291309599,-0.373608675738392,-0.24445933467142,0.0550622306237727,-0.247024721896677,0.610061423101718,0,1.10490408440889,0.0758439697966261,0.43610157400876,0.153152603403661,0,0.414072350840065,0.95719920594651,0,0,0
XMR,0.0664233248874578,-0.0464986880078426,0.185713258075049,0,-0.131842862936666,0.0378787273284884,-0.056669680977448,0.101619873507786,0,0,0.13570282612243,-0.0262974875516375,0.0918771182731638,0,0,0,0,0
DOGE,0,0,0.193825277519824,0.0823974904357503,0.292715083828911,0,0.0790342540070666,0.230230270343776,0.0885529831408797,0,0.270154157447676,0.0428501023104316,0,0,0,0,0,0.314009300856199
ZEC,0,0.0884979756216322,0.244120403242938,0.0730117491002505,-0.102725581132991,0.473587503858759,-0.0901453307817623,-0.0677658144916043,0,0.132203477915151,0,0.0504670258640748,0.0771043100346069,0,0,0,0,0
DGB,0,-0.0458267994804076,0,-0.0612023477773136,-0.383183421607743,0,0,0.12649279524595,-0.1954071664206,0,0.272332024038662,0,0.322439670661781,0,0,0,0,0
NEO,-0.400976613016745,-0.0875015370627378,0.116069300982362,0.0276619500835522,0.111426350643914,0,-0.0573424890048111,-0.00233039211278002,0,0.134218175244687,0.383015918118069,0.0602515217526528,0,0,0,0,0,0.0892019473837488
BV010082.Index,0,0,0.0197416835073124,-0.0257083150764788,-0.0250676449258376,-0.0308719534375331,-0.00834480315920703,0.0306490921242223,0.0417548259190294,-0.00843554383453907,0,0.0102812306149593,0,0,0,0,0,0
CVIX.Index,0,0.023996778788303,-0.0329641846049683,-0.285142350568931,-8.67361737988404e-19,0.0181857082445297,-0.299524172416897,0,0.332556882126466,0,0,0.0328439304557288,0.0868060605615476,0,0,0,0,0.158093462091473
DXY.Curncy,0,-0.000624808182687421,0.0269046518796047,-0.0139735609174444,0.00479637347018476,-0.0155298079783816,0,0.00910972124347568,0.0126660746014862,-0.0146019257568186,0.00151132667688891,-0.00121368033049275,-0.00114981859254575,0,-0.017047271232378,0,0,0.00655515952561784
SPX.Index,0,0.000143088097508158,0.00994367496655217,-0.00246702031466385,0,0,0,0.00529711622734667,0,0,-0.00264332245707948,0.00365914146203156,-0.00262532941516809,0,0,0,0,-0.0367346296267116
VIX.Index,-0.337942654660808,-0.0572947168333881,0,-0.307764672596984,-0.213584641337133,0,0.281441902737082,0.261805886621766,0,0,-0.115451072798945,-0.104417423713794,0,-3.14384595477509,-0.768510887431152,0,-0.622854697576315,0
