,BTC,ETH,XRP,BCH,LTC,DASH,XEM,XMR,NEO,MIOTA,ETC,ADA,ZEC,XLM,EOS,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0.0264799436681984,0.101457143229596,0.029748028132989,0,0.0148008885105618,0.108721569207231,0.155692814401929,0.0750213208438286,0,0,0.0673715683310077,0.0626197728292988,0,0,0,0,0
ETH,0,0,-0.0249999513666516,0.017460251827062,0.112435573404494,-0.000000000000000000867361737988404,0.141737656915768,0.0958384238114321,0,0.149915352018534,0.0554010277213526,0,0.0115571776931918,0.139785311111959,0.0224679714748088,0,0,0,0,0.082523047289445
XRP,-0.381427099873637,0,0,0.10942216646661,0.241070774131284,-0.0270430553087409,-0.0826479237160753,0.104491241980878,0.0679807305967025,0,-0.117864768384186,0.227824642199484,0,0.324564023014479,0.171799043936753,0,0,0,0,0
BCH,0.346610050116628,-0.524127057219469,0.00933691272980347,0,0.267243120923833,0,0.398232654798211,-0.0840803782569161,0,0,0,-0.065402331679217,0.305168304220991,-0.0303677509230252,0.131304777246509,0,0,0,0,0
LTC,0,0.174967872397436,0.0773113491984671,0.0386531392269331,0,-0.176918045104642,0,0,0,0,0.77336337363914,-0.031826261651855,0,0.0142488727007551,-0.0376977504375732,0,0,0,0,0
DASH,0.178826181795859,-0.0416022880956775,0.116295440239255,0.178112374641136,-0.217134904937383,0,0.328383814478687,0.118941842081245,0,0,0,0,0.130576287552632,0,0,0,0,0,0,-0.132722162552144
XEM,0,0.74138533904732,-0.0645567103223303,0.0153012546987135,0.0995872103589753,0.330877616348781,0,-0.120291848055594,0.0686076260615409,0,0.00000000000000000173472347597681,-0.0552007750069392,0,0.0505004835254959,0,0,0,0,0,0.143444693413994
XMR,0,0,0.346654018883428,0.0619548905441999,0,0,0.085548848742324,0,0.121665495078322,-0.000000000000000000433680868994202,0.134469554428485,0,0.180554556725519,0.0276655090782151,0,0,0,0,0,0
NEO,0,-0.152728656013295,0.0615565543221803,0.00594571127348632,0.485136030203785,-0.00916319323540982,0.186768939284815,0,0,0.279908088290901,-0.355570562802497,0,0,0.388625142767164,0.141746724361734,0,0,0,0,-0.385908732434178
MIOTA,0,0,-0.00000000000000000693889390390723,-0.0348501112765834,-0.144492956497677,0,0.138789161090256,0.0705944709976209,-0.208406662632268,0,0.0462753137086206,-0.138948684083224,0.522405381865489,0.00000000000000000693889390390723,0.410884518549119,0,0,0,0,0
ETC,0,0,0,0,0.672045865939961,0,0.0458509779034498,0.113330105480087,0.00935492323872762,0.0378615988252899,0,0,0,0.194709263429898,0,0,0,0,0,0
ADA,0,0,0,0,0,0,0.216228493470334,0,0.0439526856954758,0.0648672765534923,0,0,0,-0.428424893584126,0,0,0,0,0,0
ZEC,0,0.0385701013766051,0,0,0.0448398721816974,0.237855108242816,0.401784826256261,0.0539595571138316,-0.0283497613726258,0.184058053745965,0,0,0,0.0701890818118723,0,0,0,0,0,0.0946247987850979
XLM,0,0,0,0,0.0084704396894296,0,0.37157616315069,0.202228644034586,0.0526870103969978,0,0.104881991689589,0,0,0,0,0,0,0,0,0
EOS,0,0.225819647891441,0,0.0680723927310172,0,0,0,0.201544830409745,0.312554891855237,0.219484927731457,0.0976323272531442,0,0,0.18428048858515,0,0,0,0,0,0
BV010082.INDEX,0.0255569802968644,0,-0.00235772437350102,-0.00508160435738613,-0.00568876584161435,-0.0741461622314291,0,-0.0224392168214325,0.0226441117148381,0,0,0.0513000999996599,0,0.0314224314056027,0.0394861973463458,0,0,0,0,-0.0758621513333573
CVIX.INDEX,0.204257119496004,0,-0.0993281602408662,0,-0.0987234741805102,-0.0160244167035916,0,0.0436789480920805,-0.0186451078705669,0.00731094309146778,0,-0.0215403765757537,0.000000000000000000867361737988404,0,-0.00227153050287926,0,0,0,0,0.150488144159393
DXY.INDEX,0,0,0,0.00364218044681106,0,-0.0201626403831226,-0.00375775483554532,0,0.0112514581465046,0.00321328867498498,0.000928455887963589,0,0.00956690583305589,0.00172267213318581,-0.00489251273193036,0,0,0,0,-0.00384036455488015
SPX.INDEX,0.0103942732284957,0,0.000257796115018974,-0.00922631479686726,0,-0.000879084630061256,0,-0.00259586072873249,0,0,0,0,-0.0132424809513944,0.00692099781076702,0.0020461824739414,0,0,0,0,-0.0363487689610485
VIX.INDEX,0.614399240708526,0,0,-0.114677499293087,-0.139368281782569,-0.176666681567188,-0.0220815661654508,0,-0.149067607315743,0.26920103517233,0,0.133979289883033,0,0.130970356462063,-0.274658246445473,0,1.903698866799,0,-2.03232605981663,0
