,BTC,ETH,BCH,XRP,DASH,BTG,LTC,MIOTA,ADA,XMR,ETC,NEO,XEM,EOS,XLM,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,-0.0951463788109022,-0.102835476355111,-0.0459512006969765,0.0137580067755395,0.327824396376192,-0.129074216847367,0.172524251206005,0,0,0.107827703113985,-0.379045123604292,0.123984393535953,-0.0476496122274215,0,0,0,0,0
ETH,0,0,-3.46944695195361e-18,0.163196703146232,-0.125057672535067,0.0596504871855374,8.67361737988404e-19,-0.000898269299731852,-0.0341934030630827,0.234168910438115,-0.123886414063589,0.0606508230486254,0.220885960140427,0,-0.0293635153823775,0,0,0,0,0.0537078646089956
BCH,0,0,0,-0.050837577813158,0.0314605595717026,0.218787417479336,-1.46593365282626,0,-0.0585850261247365,0,0.445554808554897,0.632208375948878,0,0.18080165745314,0,0,0,0,0,0
XRP,-0.134117555967974,0.414270438713004,-0.0113520090335569,0,-0.168758092801907,-0.0472009336932733,0.170035773856136,0.164192951064528,-0.0453038790803719,0.327698886542896,0.0339205762682702,-0.0107145501184129,0,0.0877886301196962,0,0,0,0,0,-0.22130661590998
DASH,-0.434704137492057,0,0.0588136693414773,0,0,0.0860961179412396,0.16731682221319,0.224619508364187,0.0589349845105143,0.106095175236418,-0.33902168711268,0.0866733015094079,-0.19064319359216,0.0157758954311706,-0.00422654750790007,0,0,0,0,0
BTG,2.49054233659623,0,0,0.0339042763915748,-0.0518498060539413,0,-1.50831422425379,0,-0.119671494604798,-0.296426680020523,1.10068444196756,0,-1.81732647265609,-1.02783212165764,0.180982727370594,0,0,0,0,-1.15014180075362
LTC,0,0,-0.101093010667104,0.201741304560824,0,0,0,0,-0.0356817274463656,0.134103349565546,0.13196265565328,-0.0264512761739544,0.206895040579235,0.0783820295064326,-0.0292276108221806,0,0,0,0,0
MIOTA,0,-0.125107948225692,-0.138698485389174,0.280424580156884,0.182260538427386,-0.00568639443199062,-0.378494220666487,0,0.16031095584333,0.0789647330998246,0,0.17592991708525,0.38549973118309,0.136427160557019,0.0896915343716861,0,0,0,0,0.168059506602538
ADA,0.242319513756779,0.388627933102141,-5.14093364632762e-05,0,0.17618276660596,-0.0203558305197185,0.648549387815211,0.370815042001672,0,0,0,0.275140071727732,0.948391665282313,0,-0.23184740940708,0,0,0,0,0
XMR,0,0.0366383771006248,0,0,0.0796698912422359,-0.0213280966863728,0.171430536467589,0,0.136490049831288,0,0.128428941567653,0.0718007371331604,0.34043597163049,-0.0263830174343397,0.0128690770563002,0,0,0,0,0
ETC,0,0,0.251325224660374,0.35017878419647,-0.367472799989217,0,0.139039575944418,0.0749801467906731,0.0987607439508841,0.193964456572698,0,0.0370951123318526,0,0,0.0425599017574046,0,0,0,0,0
NEO,-0.217942781543791,0.591596723626118,0.0184848249407486,-0.151789448443546,0,-0.0868160354129095,0,-0.239435934530978,0.0401319414246034,0.259394857217468,0.0607754121386347,0,0,0.0719906741359687,0.16715527308643,0,0,0,0,0
XEM,-0.00669823864475881,0.396926339611261,-0.00211100327955324,-0.0639453504389331,0,-0.0476051039683451,0.125548995756786,0.153787844633458,0.0734674326727866,0.0349168656964319,0,0.0298363851776854,0,-0.0320075338830497,0.0734961599233055,0,0,0,0,-0.0061244461530353
EOS,0.822310409860177,0.284063223486202,0.184105636806302,0.585959473242667,0.355343625706607,-0.0782028143922241,0.166312329203056,0,-0.0821470095926821,-0.520087491175601,0.0930841150378257,0.137025087455981,0.330201056278869,0,0.0872907938568907,0,0,0,0,0
XLM,0.378561240381043,0,0.306151225386261,0.414447657332994,0.11530086265915,-0.0980036030070703,0,0.516815851766783,0.235315305007999,0,0,0.0547282111451651,0,0.21490638268821,0,0,0,0,0,-0.244053617074325
BV010082.Index,0.0312760597327414,0,-0.0269440732058049,0.0263549940369044,0.0165598029035162,0.00405398471301016,-0.0985648209844658,0.0407191461778771,-0.0179006061318231,0,0,0.0357584947189342,0,0.0104659782348417,0.00115453252599164,0,0,0,0,-1.0842021724855e-19
CVIX.Index,0,0,0.0153176180642482,-0.0953178118204349,0,-0.00490024704890905,0,0,0.0116416981433465,0,0.0213792494175267,-0.00285347701099222,0.105121181950613,0.00852052680523257,0.0164676358713657,0,0,0,0,0.0848446995536866
DXY.Curncy,0,-0.00759659282114204,-0.0118426999991372,-0.00252723851268933,7.51304910356736e-05,-0.00626036843486646,-0.0132139704150327,-0.00825534166923501,0,0.00659092165564079,0.0173186491132091,0,0,0,0.00483638707531727,0.030538427643108,-0.0915116341468547,0,0,-0.00623424739653364
SPX.Index,0,-0.000567601751878257,0.000184186391737431,0,0,0,0,0.00155782665066433,0,-0.00270822110518674,0,-0.00134271542501882,0,-0.0119747327895965,0.0025300674932291,0,-0.0926604226571463,0,0,-0.0171885442397448
VIX.Index,-0.37938544701756,0.230183292049693,-0.391446462160987,0.20690998735521,0.192453706551358,0,0,0.284691485952334,-0.0718998249572999,-0.351356132417079,0,0.177233615523277,0,0,0.0262994882344649,0,0.0815972564103732,0,0,0
