,BTC,ETH,XRP,BCH,EOS,LTC,XLM,ADA,MIOTA,TRX,NEO,XMR,DASH,ETC,XEM,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,0.00139027942347671,0,0,0,0.0881435683289428,0.173338259568344,0.0225937904421984,0,0.170352252792805,0.0017821538384172,0.123107869822253,0.0302240972915035,0,0,0,0,0
ETH,0,0,0.345084552260034,0.141526071340939,0.0245678768340731,0,0,0.167802729951548,0.0969334716421418,0,0,0.0420401091873767,0,0.128189615089394,0.00733115152781296,0,0,0,0,0
XRP,0,0.36156908931877,0,0.174948202933402,0,0.0564257454257074,0,0,0.0840993594606405,0.12605985049952,0.104883523428796,-0.103121097926301,0,-0.0466654979173064,0,0,0,0,0,0.0612347069861629
BCH,0.385757256621334,0.302332767954596,0,0,0,0,0,0.42359221607708,0,0,-0.01873187085849,-0.014901033684856,0,0.0699148485591855,0,-0.284934028457861,0.0489794239976707,0,0,-0.0559651361080123
EOS,0.556263142666942,0,0,0,0,0.363218624041229,0,0,-0.185665909830766,0.274274681284489,0.351314778622057,0,0,0.0573364055147418,0.184474710171885,0,0,0,0,6.93889390390723e-18
LTC,0,0,0.0656974294895044,0.250254723969053,0.0624584114078391,0,0.0788374357668811,0.0771027529668353,-0.0535414901751637,0,0,0,0,0.12918432314636,0.251538161883527,0,0,0,0,0
XLM,0,0,0,0.09216231005972,0.133998696963565,0,0,0.447872266458236,0,0.0548486843832538,0,0,0.187737492505677,-0.0347130685044439,0,0,-0.0267926233336131,0,0,-0.0124634569169666
ADA,0,0.336908922110257,0,0.0482625380256377,0.112271845481679,0,0,0,0,0,0,0.205838397230259,0,0.0494090616027755,0.110639292232478,0,0,0,0,0.0222160413687545
MIOTA,0.109026507032114,-0.0613714425471933,0,-0.163397803507701,0.144788516512893,0.232788548430392,0.237258224549487,0.00709481801413294,0,0.0467156665011392,0.572487810011441,0,0,-4.33680868994202e-19,0,-0.286152316740659,0,0,0,0.0752846888557677
TRX,0,0.143038453517939,0.394420466035919,0.13446080644882,0.155263237293492,0,0,0,-0.0782656743647603,0,0,0.333875911440771,0,0,0,0,0,0,0,0
NEO,0,0,0,0,0.0492595642237852,0,0,0,0.505926309349827,0,0,0,0,-0.0572050395330539,0.418040275554252,0,0,0,0,0.0671281923795957
XMR,0.527435559397424,0,0,0,0.0600947263785508,0,-0.0075063967905751,0.347837058533484,-0.176403148992123,0.0600018822159776,0.312442181666402,0,0,0.0411585654971267,0,0,-0.127022039271281,0,0,-0.0731993373821786
DASH,0,0,0,0.182791647464226,0,0,0.0471453540354972,0,0,0,0.18649443627455,0,0,0,0.234063492325172,0,0,0,0,-0.0545953689071964
ETC,0.694203986274899,0,0,0,0.196919067214941,0,0,0,0.20822634629334,0,0,0,0,0,0,-0.287940231109276,0.478781072142247,0,0,-0.137550888269889
XEM,0,0.286101434805696,0,0,0,0,0.269260181001515,0,-0.155859141182111,0,0.26229329469523,0,0.296158796029959,0,0,0,-0.280128659137758,0,0,0.0166015422599049
BV010082.Index,0,0,0,0,-0.107058714710962,0,0,-0.118196906831589,-0.0656451089064432,0,0,0.200677645134771,0.097185534525302,-0.001253969416411,0,0,0,0,0,-0.223045581813938
CVIX.Index,0,0,0,0.282631429771621,0,0,0,-0.167701650276112,0,0,0.0879803150208514,0.0603718252999992,-0.250913029175171,0.125270398780242,0,0.207182958907148,0,0,0,0.159319622914641
DXY.Curncy,0,0,0,0,0.0070489502746456,0,0.044915954253567,-0.0717760623028427,-0.00627577553191078,0.0293882520124124,-0.0076950785336983,0,0,0.0218886136686985,-0.0150783908181714,0,0.0324627961487033,0,0,0.00907554698569333
SPX.Index,0,0,0,0.0099054496682916,0,0,0.0106730314705677,0.00416347426016543,-0.0284126971649124,0,0.00801427354275919,0,0,0,4.33680868994202e-19,0,0,0,0,-0.0628276302759507
VIX.Index,0,0,0.124990498309851,0,-0.341413531272104,0.0991885938016108,0,0,-0.182749105061313,0.0772541989401835,0.0589763907078647,0,0,-0.251269653840538,0.445833557744381,0,0,0,-4.64409562960568,0
